时间,粮食类农村居民消费价格指数(上年同期=100),畜肉类农村居民消费价格指数(上年同期=100),蛋类农村居民消费价格指数(上年同期=100),水产品类农村居民消费价格指数(上年同期=100),鲜菜类农村居民消费价格指数(上年同期=100),鲜果类农村居民消费价格指数(上年同期=100)
2025年6月,98.8,99.7,97.1,100.3,93.9,102.3
2025年5月,98.8,100.7,98.2,99.9,93.0,101.6
2025年4月,98.7,100.8,98.7,99.5,93.6,100.7
2025年3月,98.7,100.9,98.4,99.0,93.4,99.3
2025年2月,98.7,101.2,98.4,98.7,94.0,99.1
2025年1月,98.7,103.5,100.3,100.8,101.7,100.6
2024年12月,100.2,101.0,94.8,100.6,104.9,96.8
2024年11月,100.3,100.9,94.4,100.6,105.3,96.7
2024年10月,100.4,100.6,93.9,100.6,104.9,96.4
2024年9月,100.5,100.1,93.6,100.6,103.2,95.5
2024年8月,100.5,99.5,93.4,100.5,100.9,94.2
2024年7月,100.6,98.6,93.0,100.4,98.3,92.9
2024年6月,100.6,97.2,91.9,100.4,97.8,92.3
