时间,固定电话主叫通话时长（含IP）_当期值,固定电话主叫通话时长（含IP）_累计值,固定电话主叫通话时长（含IP）_同比增长,固定电话主叫通话时长（含IP）_累计增长,移动电话通话时长_当期值,移动电话通话时长_累计值,移动电话通话时长_同比增长,移动电话通话时长_累计增长,固定电话用户数_期末值,固定电话用户数_同比增长,移动电话用户_期末值,移动电话用户_同比增长,4G移动电话用户_期末值,4G移动电话用户_同比增长,移动互联网接入流量_当期值,移动互联网接入流量_累计值,移动互联网接入流量_同比增长,移动互联网接入流量_累计增长,移动短信业务量_当期值,移动短信业务量_累计值,移动短信业务量_同比增长,移动短信业务量_累计增长,互联网宽带接入用户_期末值,互联网宽带接入用户_同比增长,5G移动电话用户_期末值,5G移动电话用户_同比增长
2025年5月,602889.44,2922675.63,-10.25,-6.93,35065112.57,170204284.12,-5.28,-5.47,16424.83,-3.64,180658.2431,2.4657452437,61388.92,-15.66,3376894.273088,15367803.300579,18.2091484706,16.162017692,2008.19,9456.53,26.28,23.56,68198.97,4.66,109818.4908,21.360684637
2025年4月,637798.49,2319786.19,-7.96,-6.03,34864318.74,135139171.55,-5.3,-5.53,16458.85,-3.83,180303.6192,2.5114454901,62312.62,-15.51,3226215.922346,11990909.027491,17.959872347,15.5982358801,1966.28,7448.34,27.77,22.84,67991.39,4.73,108091.1941,21.5437871055
2025年3月,648485.97,1681987.7,-3.82,-5.28,35371831.23,100274852.81,-5.55,-5.6,16508.21,-3.93,179954.0433,2.5481667277,62995.39,-15.9,3225863.540809,8764693.105145,16.8062911234,14.7525717766,1984.33,5482.06,26.66,21.17,67804.42,4.77,106849.8359,22.3184408424
2025年2月,528456.75,1033501.73,18.03,-6.16,29929839.91,64903021.58,-5.5,-5.63,16553.06,-3.98,179286.8882,2.6849598507,63720.45,-15.97,2605805.828439,5538829.564336,14.4555599614,13.5894084831,1644.01,3497.72,17.66,18.26,67476.15,4.93,105057.8037,23.4244100892
2024年9月,680404.25,5860380.96,0.71,-1.68,36198488.03,325544238.645,-5.09,-4.5,16817.79,-4.04,178564.2674,2.7819080978,68841.6,-17.22,2879900.82925,24643891.349806,11.9149149522,12.4143136996,1810.07,14474.13,17.83,3.61,66585.85,5.72,98107.0439,30.4956984769
2024年8月,673228.8,5179976.7,-1.0,-2.0,36238436.6,289345750.6,-5.3,-4.4,16891.4,-3.9,177809.7,2.9,69319.6,-17.8,2850141.4,21763990.5,11.6,12.5,1662.0,12664.1,8.2,1.9,65937.8,6.1,96626.3,32.8
2024年7月,709500.9,4506747.87,5.5,-2.13,37128244.08,253107314.06,-3.49,-4.29,16942.48,-3.95,177169.7337,2.811058655,69919.44,-18.07,2876948.077226,18913849.104458,12.7263045077,12.6160191543,1595.11,11002.02,3.88,0.96,65607.55,6.26,95023.0051,34.3733707417
2024年6月,656848.28,3797246.97,-2.28,-3.44,35916490.87,215979069.98,-6.02,-4.42,17001.62,-4.08,176758.9464,2.7266154756,71356.05,-17.76,2807272.611749,16036901.027232,11.9577161541,12.5962572816,1753.37,9406.91,4.1,0.48,65440.29,6.52,92652.4364,34.8933894164
2024年12月,630788.53,7836427.43,-9.38,-2.77,35238713.54,431105152.27,-4.5,-4.63,16650.65,-3.93,178959.5592,2.6391031414,66646.54,-14.46,3091693.31129,33756394.585267,7.0930526133,11.5768034525,2192.19,20162.3,35.82,7.86,66982.59,5.27,101404.5496,23.3679213767
2024年11月,685809.6,7205638.89,-4.34,-2.15,34631579.2,395866438.73,-5.98,-4.65,16715.8,-3.96,179039.7494,2.7494641571,67374.05,-16.2,3002210.668608,30664701.273977,9.6397503352,12.0497901084,1788.56,17970.1,11.95,5.22,67009.89,5.38,100224.7328,27.2740290449
2024年10月,659448.33,6519829.29,-3.87,-1.91,35690620.88,361234859.53,-4.71,-4.52,16762.95,-4.04,178873.3385,2.7158398413,67943.02,-17.09,3018599.255563,27662490.605369,11.5354792607,12.3177405114,1707.41,16181.54,12.98,4.52,66834.45,5.57,99518.9474,29.2167187495
