时间,餐饮收入_当期值,餐饮收入_累计值,餐饮收入_同比增长,餐饮收入_累计增长,限上单位餐饮收入_当期值,限上单位餐饮收入_累计值,限上单位餐饮收入_同比增长,限上单位餐饮收入_累计增长,商品零售_当期值,商品零售_累计值,商品零售_同比增长,商品零售_累计增长,限上单位商品零售类值_当期值,限上单位商品零售类值_累计值,限上单位商品零售类值_同比增长,限上单位商品零售类值_累计增长
2025年5月,4578.2,22772.6,5.9,5.0,1374.2,6583.4,4.8,4.5,36747.6,180398.4,6.5,5.1,15341.6,74165.7,8.2,6.4
2025年4月,4167.0,18194.4,5.2,4.8,1229.5,5197.3,3.7,4.4,33007.1,143650.8,5.1,4.7,13762.1,58884.9,6.6,6.0
2025年3月,4235.5,14027.5,5.6,4.7,1339.6,3969.0,6.8,4.7,36705.0,110643.6,5.9,4.6,15899.4,45247.5,8.6,5.8
2024年12月,5548.5,55717.5,2.7,5.3,1403.2,15297.5,1.2,3.0,39623.0,432177.3,3.9,3.2,18050.2,177255.0,4.2,2.7
2024年11月,5801.6,50169.0,4.0,5.7,1296.7,13901.7,2.5,3.1,37961.4,392554.3,2.8,3.2,16451.4,159495.9,1.2,2.5
2024年10月,4952.1,44367.4,3.2,5.9,1321.8,12469.4,-0.3,3.2,40444.3,354592.9,5.0,3.2,15663.7,142662.0,6.8,2.7
2024年9月,4417.4,39415.4,3.1,6.2,1279.0,11037.8,0.7,3.6,36694.9,314148.6,3.3,3.0,15622.2,126638.7,2.8,2.2
2024年8月,4351.3,34997.8,3.3,6.6,1240.8,9687.6,0.4,4.1,34374.5,277453.9,1.9,3.0,13684.7,110616.9,-0.7,2.1
2024年7月,4403.4,30646.5,3.0,7.1,1216.5,8417.9,-0.7,4.6,33354.0,243079.4,2.7,3.1,13066.3,96903.2,0.0,2.5
2024年6月,4608.5,26242.9,5.4,7.9,1285.8,7192.3,4.0,5.6,36123.1,209725.6,1.5,3.2,15708.2,83864.6,-1.0,2.9
2025年2月,,9792.0,,4.3,,2618.9,,3.6,,73938.6,,3.9,,29333.6,,4.4
