时间,工业亏损企业亏损总额_累计值,工业亏损企业亏损总额_上年同期累计值,工业亏损企业亏损总额_累计增长,采矿业亏损企业亏损总额_累计值,采矿业亏损企业亏损总额_上年同期累计值,采矿业亏损企业亏损总额_累计增长,煤炭开采和洗选业亏损企业亏损总额_累计值,煤炭开采和洗选业亏损企业亏损总额_上年同期累计值,煤炭开采和洗选业亏损企业亏损总额_累计增长,石油和天然气开采业亏损企业亏损总额_累计值,石油和天然气开采业亏损企业亏损总额_上年同期累计值,石油和天然气开采业亏损企业亏损总额_累计增长,黑色金属矿采选业亏损企业亏损总额_累计值,黑色金属矿采选业亏损企业亏损总额_上年同期累计值,黑色金属矿采选业亏损企业亏损总额_累计增长,有色金属矿采选业亏损企业亏损总额_累计值,有色金属矿采选业亏损企业亏损总额_上年同期累计值,有色金属矿采选业亏损企业亏损总额_累计增长,非金属矿采选业亏损企业亏损总额_累计值,非金属矿采选业亏损企业亏损总额_上年同期累计值,非金属矿采选业亏损企业亏损总额_累计增长,开采专业及辅助性活动亏损企业亏损总额_累计值,开采专业及辅助性活动亏损企业亏损总额_上年同期累计值,开采专业及辅助性活动亏损企业亏损总额_累计增长,其他采矿业亏损企业亏损总额_累计值,其他采矿业亏损企业亏损总额_上年同期累计值,其他采矿业亏损企业亏损总额_累计增长,制造业亏损企业亏损总额_累计值,制造业亏损企业亏损总额_上年同期累计值,制造业亏损企业亏损总额_累计增长,农副食品加工业亏损企业亏损总额_累计值,农副食品加工业亏损企业亏损总额_上年同期累计值,农副食品加工业亏损企业亏损总额_累计增长,食品制造业亏损企业亏损总额_累计值,食品制造业亏损企业亏损总额_上年同期累计值,食品制造业亏损企业亏损总额_累计增长,酒、饮料和精制茶制造业亏损企业亏损总额_累计值,酒、饮料和精制茶制造业亏损企业亏损总额_上年同期累计值,酒、饮料和精制茶制造业亏损企业亏损总额_累计增长,烟草制品业亏损企业亏损总额_累计值,烟草制品业亏损企业亏损总额_上年同期累计值,烟草制品业亏损企业亏损总额_累计增长,纺织业亏损企业亏损总额_累计值,纺织业亏损企业亏损总额_上年同期累计值,纺织业亏损企业亏损总额_累计增长,纺织服装、服饰业亏损企业亏损总额_累计值,纺织服装、服饰业亏损企业亏损总额_上年同期累计值,纺织服装、服饰业亏损企业亏损总额_累计增长,皮革、毛皮、羽毛及其制品和制鞋业亏损企业亏损总额_累计值,皮革、毛皮、羽毛及其制品和制鞋业亏损企业亏损总额_上年同期累计值,皮革、毛皮、羽毛及其制品和制鞋业亏损企业亏损总额_累计增长,木材加工和木、竹、藤、棕、草制品业亏损企业亏损总额_累计值,木材加工和木、竹、藤、棕、草制品业亏损企业亏损总额_上年同期累计值,木材加工和木、竹、藤、棕、草制品业亏损企业亏损总额_累计增长,家具制造业亏损企业亏损总额_累计值,家具制造业亏损企业亏损总额_上年同期累计值,家具制造业亏损企业亏损总额_累计增长,造纸和纸制品业亏损企业亏损总额_累计值,造纸和纸制品业亏损企业亏损总额_上年同期累计值,造纸和纸制品业亏损企业亏损总额_累计增长,印刷和记录媒介复制业亏损企业亏损总额_累计值,印刷和记录媒介复制业亏损企业亏损总额_上年同期累计值,印刷和记录媒介复制业亏损企业亏损总额_累计增长,文教、工美、体育和娱乐用品制造业亏损企业亏损总额_累计值,文教、工美、体育和娱乐用品制造业亏损企业亏损总额_上年同期累计值,文教、工美、体育和娱乐用品制造业亏损企业亏损总额_累计增长,石油、煤炭及其他燃料加工业亏损企业亏损总额_累计值,石油、煤炭及其他燃料加工业亏损企业亏损总额_上年同期累计值,石油、煤炭及其他燃料加工业亏损企业亏损总额_累计增长,化学原料和化学制品制造业亏损企业亏损总额_累计值,化学原料和化学制品制造业亏损企业亏损总额_上年同期累计值,化学原料和化学制品制造业亏损企业亏损总额_累计增长,医药制造业亏损企业亏损总额_累计值,医药制造业亏损企业亏损总额_上年同期累计值,医药制造业亏损企业亏损总额_累计增长,化学纤维制造业亏损企业亏损总额_累计值,化学纤维制造业亏损企业亏损总额_上年同期累计值,化学纤维制造业亏损企业亏损总额_累计增长,橡胶和塑料制品业亏损企业亏损总额_累计值,橡胶和塑料制品业亏损企业亏损总额_上年同期累计值,橡胶和塑料制品业亏损企业亏损总额_累计增长,非金属矿物制品业亏损企业亏损总额_累计值,非金属矿物制品业亏损企业亏损总额_上年同期累计值,非金属矿物制品业亏损企业亏损总额_累计增长,黑色金属冶炼和压延加工业亏损企业亏损总额_累计值,黑色金属冶炼和压延加工业亏损企业亏损总额_上年同期累计值,黑色金属冶炼和压延加工业亏损企业亏损总额_累计增长,有色金属冶炼和压延加工业亏损企业亏损总额_累计值,有色金属冶炼和压延加工业亏损企业亏损总额_上年同期累计值,有色金属冶炼和压延加工业亏损企业亏损总额_累计增长,金属制品业亏损企业亏损总额_累计值,金属制品业亏损企业亏损总额_上年同期累计值,金属制品业亏损企业亏损总额_累计增长,通用设备制造业亏损企业亏损总额_累计值,通用设备制造业亏损企业亏损总额_上年同期累计值,通用设备制造业亏损企业亏损总额_累计增长,专用设备制造业亏损企业亏损总额_累计值,专用设备制造业亏损企业亏损总额_上年同期累计值,专用设备制造业亏损企业亏损总额_累计增长,汽车制造业亏损企业亏损总额_累计值,汽车制造业亏损企业亏损总额_上年同期累计值,汽车制造业亏损企业亏损总额_累计增长,铁路、船舶、航空航天和其他运输设备制造业亏损企业亏损总额_累计值,铁路、船舶、航空航天和其他运输设备制造业亏损企业亏损总额_上年同期累计值,铁路、船舶、航空航天和其他运输设备制造业亏损企业亏损总额_累计增长,电气机械和器材制造业亏损企业亏损总额_累计值,电气机械和器材制造业亏损企业亏损总额_上年同期累计值,电气机械和器材制造业亏损企业亏损总额_累计增长,计算机、通信和其他电子设备制造业亏损企业亏损总额_累计值,计算机、通信和其他电子设备制造业亏损企业亏损总额_上年同期累计值,计算机、通信和其他电子设备制造业亏损企业亏损总额_累计增长,仪器仪表制造业亏损企业亏损总额_累计值,仪器仪表制造业亏损企业亏损总额_上年同期累计值,仪器仪表制造业亏损企业亏损总额_累计增长,其他制造业亏损企业亏损总额_累计值,其他制造业亏损企业亏损总额_上年同期累计值,其他制造业亏损企业亏损总额_累计增长,废弃资源综合利用业亏损企业亏损总额_累计值,废弃资源综合利用业亏损企业亏损总额_上年同期累计值,废弃资源综合利用业亏损企业亏损总额_累计增长,金属制品、机械和设备修理业亏损企业亏损总额_累计值,金属制品、机械和设备修理业亏损企业亏损总额_上年同期累计值,金属制品、机械和设备修理业亏损企业亏损总额_累计增长,电力、热力、燃气及水生产和供应业亏损企业亏损总额_累计值,电力、热力、燃气及水生产和供应业亏损企业亏损总额_上年同期累计值,电力、热力、燃气及水生产和供应业亏损企业亏损总额_累计增长,电力、热力生产和供应业亏损企业亏损总额_累计值,电力、热力生产和供应业亏损企业亏损总额_上年同期累计值,电力、热力生产和供应业亏损企业亏损总额_累计增长,燃气生产和供应业亏损企业亏损总额_累计值,燃气生产和供应业亏损企业亏损总额_上年同期累计值,燃气生产和供应业亏损企业亏损总额_累计增长,水的生产和供应业亏损企业亏损总额_累计值,水的生产和供应业亏损企业亏损总额_上年同期累计值,水的生产和供应业亏损企业亏损总额_累计增长
2025年5月,8300.5,8627.3,-3.8,677.5,527.6,28.4,499.7,368.4,35.6,34.5,28.3,21.9,35.7,32.2,10.9,25.0,34.0,-26.5,55.0,46.8,17.5,27.5,17.8,54.5,0.1,0.0,0.0,6906.2,7291.9,-5.3,187.3,271.3,-31.0,95.6,85.9,11.3,50.8,50.4,0.8,1.9,1.1,72.7,114.3,108.1,5.7,62.3,52.2,19.3,26.6,23.4,13.7,32.1,27.6,16.3,47.2,40.6,16.3,89.5,69.0,29.7,33.3,29.3,13.7,51.0,43.1,18.3,461.4,470.3,-1.9,745.4,744.5,0.1,245.9,235.9,4.2,53.6,51.1,4.9,127.7,119.5,6.9,524.3,565.2,-7.2,328.4,581.5,-43.5,164.1,186.0,-11.8,176.4,174.6,1.0,253.7,262.1,-3.2,356.0,349.3,1.9,626.6,620.4,1.0,70.9,79.3,-10.6,650.3,691.7,-6.0,1153.2,1176.0,-1.9,90.9,98.3,-7.5,8.5,7.7,10.4,60.0,63.2,-5.1,17.1,13.0,31.5,716.8,807.8,-11.3,500.2,601.4,-16.8,105.8,105.8,0.0,110.8,100.6,10.1
2025年4月,6859.5,7269.8,-5.6,564.2,452.0,24.8,408.8,318.0,28.6,27.3,20.5,33.2,30.9,26.1,18.4,22.6,30.7,-26.4,48.1,41.5,15.9,26.5,15.2,74.3,0.0,0.0,0.0,5670.3,6095.5,-7.0,158.7,231.9,-31.6,78.1,72.7,7.4,42.2,40.6,3.9,1.9,1.1,72.7,99.5,96.2,3.4,53.5,46.0,16.3,23.3,21.3,9.4,27.4,23.3,17.6,39.8,34.1,16.7,73.0,54.7,33.5,28.4,27.0,5.2,45.1,39.1,15.3,324.3,355.7,-8.8,606.5,567.3,6.9,194.9,193.2,0.9,43.4,40.6,6.9,107.8,103.8,3.9,446.5,469.7,-4.9,288.0,527.4,-45.4,137.3,168.7,-18.6,152.3,153.8,-1.0,221.2,229.2,-3.5,302.4,299.6,0.9,501.2,525.1,-4.6,60.8,69.5,-12.5,530.7,572.9,-7.4,931.5,969.7,-3.9,80.2,88.4,-9.3,7.2,6.8,5.9,48.6,55.5,-12.4,14.6,10.5,39.0,625.0,722.4,-13.5,434.6,535.8,-18.9,92.8,97.9,-5.2,97.7,88.6,10.3
2025年3月,5507.3,5864.3,-6.1,437.7,357.2,22.5,313.7,247.0,27.0,19.1,16.7,14.4,27.1,20.0,35.5,16.8,26.0,-35.4,40.9,34.9,17.2,20.0,12.4,61.3,0.1,0.1,0.0,4553.7,4906.1,-7.2,130.2,189.8,-31.4,64.2,59.2,8.4,33.4,32.6,2.5,1.6,1.1,45.5,84.0,82.7,1.6,43.6,39.3,10.9,19.5,17.7,10.2,22.5,19.9,13.1,34.1,27.5,24.0,53.8,44.0,22.3,25.8,23.8,8.4,35.9,33.4,7.5,220.3,273.2,-19.4,457.9,459.3,-0.3,146.6,155.5,-5.7,30.5,32.4,-5.9,90.8,87.2,4.1,377.7,376.6,0.3,241.7,424.6,-43.1,117.5,129.3,-9.1,132.2,125.8,5.1,189.4,196.5,-3.6,245.5,242.9,1.1,390.0,419.7,-7.1,50.2,60.4,-16.9,448.3,460.5,-2.6,740.7,764.2,-3.1,68.2,69.8,-2.3,6.0,5.8,3.4,38.6,42.1,-8.3,12.6,9.3,35.5,515.8,600.9,-14.2,355.2,439.3,-19.1,81.2,88.2,-7.9,79.4,73.4,8.2
2025年2月,4339.2,4440.0,-2.3,295.1,228.5,29.1,215.5,155.7,38.4,13.1,11.3,15.9,18.7,11.0,70.0,12.7,18.9,-32.8,27.7,23.5,17.9,7.3,8.0,-8.8,0.0,0.0,0.0,3632.6,3718.3,-2.3,97.9,130.6,-25.0,51.8,44.8,15.6,26.4,28.8,-8.3,1.2,0.9,33.3,62.2,61.9,0.5,29.0,29.0,0.0,15.7,13.5,16.3,16.1,14.2,13.4,21.4,19.3,10.9,39.3,33.7,16.6,22.7,21.2,7.1,25.8,22.5,14.7,154.0,185.5,-17.0,341.9,351.0,-2.6,119.0,110.1,8.1,23.1,24.1,-4.1,70.8,63.4,11.7,282.5,257.8,9.6,195.3,286.6,-31.9,94.3,85.2,10.7,98.2,90.6,8.4,162.7,168.7,-3.6,210.4,212.7,-1.1,291.1,347.7,-16.3,41.4,48.4,-14.5,359.7,349.4,2.9,672.1,608.6,10.4,62.4,64.1,-2.7,4.7,4.6,2.2,28.7,30.9,-7.1,10.8,8.6,25.6,411.5,493.3,-16.6,288.9,357.1,-19.1,65.9,79.4,-17.0,56.7,56.7,0.0
2024年9月,13798.6,12638.3,9.2,902.1,715.0,26.2,616.3,481.8,27.9,41.2,33.6,22.6,59.2,58.1,1.9,41.6,40.7,2.2,80.0,65.5,22.1,63.6,33.9,87.6,0.1,1.5,-93.3,11721.3,10566.9,10.9,370.8,365.4,1.5,130.7,138.1,-5.4,80.0,78.1,2.4,1.8,2.0,-10.0,177.7,179.4,-0.9,74.8,80.0,-6.5,32.6,30.4,7.2,47.5,39.3,20.9,62.0,55.3,12.1,130.4,164.5,-20.7,75.2,45.3,66.0,55.8,51.4,8.6,862.8,595.0,45.0,1200.5,1195.6,0.4,372.2,409.3,-9.1,96.2,102.4,-6.1,192.3,174.4,10.3,965.9,684.0,41.2,1155.9,815.6,41.7,267.8,289.7,-7.6,274.8,247.8,10.9,335.5,311.7,7.6,470.8,438.5,7.4,1052.5,1099.8,-4.3,116.2,102.7,13.1,1071.7,689.9,55.3,1806.7,1971.3,-8.3,113.9,95.1,19.8,14.2,11.4,24.6,98.4,89.8,9.6,13.8,14.0,-1.4,1175.3,1356.3,-13.3,896.3,1072.0,-16.4,138.0,141.7,-2.6,140.9,142.7,-1.3
2024年8月,12282.8,11825.8,3.9,786.3,647.3,21.5,539.1,426.3,26.5,36.0,31.4,14.6,50.6,58.6,-13.7,36.6,36.1,1.4,69.2,59.6,16.1,54.7,34.1,60.4,0.1,1.2,-91.7,10432.2,9918.1,5.2,328.0,367.3,-10.7,123.7,132.9,-6.9,71.9,72.4,-0.7,1.8,1.8,0.0,159.9,165.5,-3.4,69.5,75.7,-8.2,30.1,29.0,3.8,41.5,36.6,13.4,57.3,52.6,8.9,115.7,168.0,-31.1,41.8,44.0,-5.0,51.6,51.5,0.2,737.1,596.8,23.5,1075.3,1161.7,-7.4,344.2,365.2,-5.8,79.6,97.2,-18.1,173.7,164.4,5.7,862.2,629.3,37.0,918.7,763.5,20.3,263.7,289.7,-9.0,242.6,234.2,3.6,310.6,297.4,4.4,443.7,407.2,9.0,928.8,995.6,-6.7,106.5,97.2,9.6,986.9,607.7,62.4,1638.7,1813.8,-9.7,112.8,95.1,18.6,13.6,11.0,23.6,87.2,80.9,7.8,13.2,13.2,0.0,1064.3,1260.3,-15.6,808.9,991.1,-18.4,129.6,135.9,-4.6,125.8,133.4,-5.7
2024年7月,10799.3,10834.4,-0.3,695.5,577.5,20.4,467.1,377.9,23.6,33.8,27.2,24.3,44.4,53.5,-17.0,35.8,33.0,8.5,62.8,54.5,15.2,51.5,30.8,67.2,0.1,0.5,-80.0,9153.4,9073.3,0.9,299.5,348.5,-14.1,112.1,122.7,-8.6,65.0,65.0,0.0,1.6,1.3,23.1,140.7,152.6,-7.8,64.1,71.2,-10.0,28.0,27.3,2.6,37.4,33.5,11.6,50.9,49.0,3.9,97.5,148.7,-34.4,38.3,40.7,-5.9,47.7,50.2,-5.0,649.6,572.4,13.5,948.6,1076.9,-11.9,296.1,314.4,-5.8,68.4,90.2,-24.2,155.2,153.6,1.0,768.0,565.5,35.8,737.3,704.1,4.7,227.3,268.2,-15.2,220.7,214.7,2.8,286.9,272.3,5.4,395.2,364.0,8.6,801.0,881.7,-9.2,98.3,91.8,7.1,875.5,550.5,59.0,1439.8,1655.3,-13.0,103.1,88.1,17.0,9.8,9.0,8.9,77.5,77.4,0.1,12.1,12.7,-4.7,950.4,1183.6,-19.7,719.2,929.8,-22.7,117.8,127.1,-7.3,113.4,126.7,-10.5
2024年6月,9479.4,9592.8,-1.2,584.5,494.3,18.2,400.6,321.4,24.6,30.6,22.0,39.1,38.5,46.0,-16.3,34.6,30.8,12.3,55.6,49.2,13.0,24.6,24.5,0.4,0.0,0.3,-100.0,8049.0,8001.6,0.6,280.2,306.6,-8.6,96.7,111.6,-13.4,57.7,58.6,-1.5,1.3,1.1,18.2,125.5,136.3,-7.9,58.6,66.0,-11.2,26.4,25.5,3.5,32.4,30.3,6.9,44.9,43.1,4.2,81.2,129.4,-37.2,34.5,36.1,-4.4,45.2,47.0,-3.8,572.3,499.2,14.6,829.8,932.9,-11.1,242.2,264.8,-8.5,58.2,82.8,-29.7,137.6,137.7,-0.1,667.6,499.1,33.8,638.2,637.2,0.2,208.1,227.6,-8.6,196.5,194.5,1.0,258.4,242.7,6.5,347.5,314.0,10.7,691.9,786.1,-12.0,84.6,84.4,0.2,772.8,471.8,63.8,1273.5,1468.5,-13.3,93.6,76.5,22.4,8.7,8.4,3.6,71.1,70.9,0.3,12.0,10.9,10.1,845.9,1096.9,-22.9,636.1,864.1,-26.4,104.2,117.9,-11.6,105.5,114.9,-8.2
2024年12月,18140.1,16216.2,11.9,1256.8,1093.6,14.9,814.6,650.9,25.1,116.2,204.6,-43.2,80.0,66.8,19.8,62.2,60.9,2.1,100.0,73.6,35.9,83.8,34.0,146.5,0.0,2.7,-100.0,15335.1,13296.1,15.3,470.8,444.7,5.9,166.3,169.9,-2.1,100.5,118.5,-15.2,2.4,3.4,-29.4,230.4,205.6,12.1,89.7,87.8,2.2,43.8,33.3,31.5,59.6,46.1,29.3,74.9,63.5,18.0,167.9,154.3,8.8,81.3,50.8,60.0,64.5,55.4,16.4,1169.9,797.0,46.8,1642.6,1538.6,6.8,550.5,581.5,-5.3,127.9,116.3,10.0,252.2,212.9,18.5,1240.5,836.3,48.3,1229.9,1025.5,19.9,542.6,342.4,58.5,321.8,278.0,15.8,397.6,353.8,12.4,593.9,576.8,3.0,1663.3,1561.2,6.5,141.7,114.9,23.3,1393.5,953.7,46.1,2258.7,2341.7,-3.5,110.9,96.3,15.2,14.4,13.1,9.9,117.5,112.3,4.6,13.2,10.4,26.9,1548.2,1826.5,-15.2,1186.0,1489.1,-20.4,184.4,169.1,9.0,177.8,168.4,5.6
2024年11月,16134.6,14385.2,12.2,1015.1,790.6,28.4,703.1,531.7,32.2,52.3,48.7,7.4,70.4,61.6,14.3,46.6,48.2,-3.3,91.3,67.4,35.5,51.4,31.1,65.3,0.0,1.8,-100.0,13813.7,12037.1,14.8,429.5,400.7,7.2,160.5,156.2,2.8,98.9,119.9,-17.5,1.9,2.4,-20.8,221.2,198.9,11.2,78.4,82.6,-5.1,36.5,33.7,8.3,53.7,43.6,23.2,66.9,60.0,11.5,159.9,161.1,-0.7,79.8,50.1,59.3,60.1,56.0,7.3,1061.1,656.8,61.6,1463.4,1365.2,7.2,456.1,492.1,-7.3,114.8,118.1,-2.8,223.9,194.6,15.1,1119.9,759.5,47.5,1193.0,941.2,26.8,374.3,311.7,20.1,294.2,263.8,11.5,393.9,371.3,6.1,549.2,519.1,5.8,1383.9,1292.3,7.1,125.9,112.1,12.3,1248.6,839.3,48.8,2107.5,2209.2,-4.6,115.3,97.1,18.7,15.3,12.9,18.6,112.0,102.6,9.2,14.2,13.1,8.4,1305.8,1557.6,-16.2,990.1,1237.5,-20.0,158.2,157.6,0.4,157.4,162.4,-3.1
