时间,工业企业营业成本_累计值,工业企业营业成本_上年同期累计值,工业企业营业成本_累计增长,采矿业营业成本_累计值,采矿业营业成本_上年同期累计值,采矿业营业成本_累计增长,煤炭开采和洗选业营业成本_累计值,煤炭开采和洗选业营业成本_上年同期累计值,煤炭开采和洗选业营业成本_累计增长,石油和天然气开采业营业成本_累计值,石油和天然气开采业营业成本_上年同期累计值,石油和天然气开采业营业成本_累计增长,黑色金属矿采选业营业成本_累计值,黑色金属矿采选业营业成本_上年同期累计值,黑色金属矿采选业营业成本_累计增长,有色金属矿采选业营业成本_累计值,有色金属矿采选业营业成本_上年同期累计值,有色金属矿采选业营业成本_累计增长,非金属矿采选业营业成本_累计值,非金属矿采选业营业成本_上年同期累计值,非金属矿采选业营业成本_累计增长,开采专业及辅助性活动营业成本_累计值,开采专业及辅助性活动营业成本_上年同期累计值,开采专业及辅助性活动营业成本_累计增长,其他采矿业营业成本_累计值,其他采矿业营业成本_上年同期累计值,其他采矿业营业成本_累计增长,制造业营业成本_累计值,制造业营业成本_上年同期累计值,制造业营业成本_累计增长,农副食品加工业营业成本_累计值,农副食品加工业营业成本_上年同期累计值,农副食品加工业营业成本_累计增长,食品制造业营业成本_累计值,食品制造业营业成本_上年同期累计值,食品制造业营业成本_累计增长,酒、饮料和精制茶制造业营业成本_累计值,酒、饮料和精制茶制造业营业成本_上年同期累计值,酒、饮料和精制茶制造业营业成本_累计增长,烟草制品业营业成本_累计值,烟草制品业营业成本_上年同期累计值,烟草制品业营业成本_累计增长,纺织业营业成本_累计值,纺织业营业成本_上年同期累计值,纺织业营业成本_累计增长,纺织服装、服饰业营业成本_累计值,纺织服装、服饰业营业成本_上年同期累计值,纺织服装、服饰业营业成本_累计增长,皮革、毛皮、羽毛及其制品和制鞋业营业成本_累计值,皮革、毛皮、羽毛及其制品和制鞋业营业成本_上年同期累计值,皮革、毛皮、羽毛及其制品和制鞋业营业成本_累计增长,木材加工和木、竹、藤、棕、草制品业营业成本_累计值,木材加工和木、竹、藤、棕、草制品业营业成本_上年同期累计值,木材加工和木、竹、藤、棕、草制品业营业成本_累计增长,家具制造业营业成本_累计值,家具制造业营业成本_上年同期累计值,家具制造业营业成本_累计增长,造纸和纸制品业营业成本_累计值,造纸和纸制品业营业成本_上年同期累计值,造纸和纸制品业营业成本_累计增长,印刷和记录媒介复制业营业成本_累计值,印刷和记录媒介复制业营业成本_上年同期累计值,印刷和记录媒介复制业营业成本_累计增长,文教、工美、体育和娱乐用品制造业营业成本_累计值,文教、工美、体育和娱乐用品制造业营业成本_上年同期累计值,文教、工美、体育和娱乐用品制造业营业成本_累计增长,石油、煤炭及其他燃料加工业营业成本_累计值,石油、煤炭及其他燃料加工业营业成本_上年同期累计值,石油、煤炭及其他燃料加工业营业成本_累计增长,化学原料和化学制品制造业营业成本_累计值,化学原料和化学制品制造业营业成本_上年同期累计值,化学原料和化学制品制造业营业成本_累计增长,医药制造业营业成本_累计值,医药制造业营业成本_上年同期累计值,医药制造业营业成本_累计增长,化学纤维制造业营业成本_累计值,化学纤维制造业营业成本_上年同期累计值,化学纤维制造业营业成本_累计增长,橡胶和塑料制品业营业成本_累计值,橡胶和塑料制品业营业成本_上年同期累计值,橡胶和塑料制品业营业成本_累计增长,非金属矿物制品业营业成本_累计值,非金属矿物制品业营业成本_上年同期累计值,非金属矿物制品业营业成本_累计增长,黑色金属冶炼和压延加工业营业成本_累计值,黑色金属冶炼和压延加工业营业成本_上年同期累计值,黑色金属冶炼和压延加工业营业成本_累计增长,有色金属冶炼和压延加工业营业成本_累计值,有色金属冶炼和压延加工业营业成本_上年同期累计值,有色金属冶炼和压延加工业营业成本_累计增长,金属制品业营业成本_累计值,金属制品业营业成本_上年同期累计值,金属制品业营业成本_累计增长,通用设备制造业营业成本_累计值,通用设备制造业营业成本_上年同期累计值,通用设备制造业营业成本_累计增长,专用设备制造业营业成本_累计值,专用设备制造业营业成本_上年同期累计值,专用设备制造业营业成本_累计增长,汽车制造业营业成本_累计值,汽车制造业营业成本_上年同期累计值,汽车制造业营业成本_累计增长,铁路、船舶、航空航天和其他运输设备制造业营业成本_累计值,铁路、船舶、航空航天和其他运输设备制造业营业成本_上年同期累计值,铁路、船舶、航空航天和其他运输设备制造业营业成本_累计增长,电气机械和器材制造业营业成本_累计值,电气机械和器材制造业营业成本_上年同期累计值,电气机械和器材制造业营业成本_累计增长,计算机、通信和其他电子设备制造业营业成本_累计值,计算机、通信和其他电子设备制造业营业成本_上年同期累计值,计算机、通信和其他电子设备制造业营业成本_累计增长,仪器仪表制造业营业成本_累计值,仪器仪表制造业营业成本_上年同期累计值,仪器仪表制造业营业成本_累计增长,其他制造业营业成本_累计值,其他制造业营业成本_上年同期累计值,其他制造业营业成本_累计增长,废弃资源综合利用业营业成本_累计值,废弃资源综合利用业营业成本_上年同期累计值,废弃资源综合利用业营业成本_累计增长,金属制品、机械和设备修理业营业成本_累计值,金属制品、机械和设备修理业营业成本_上年同期累计值,金属制品、机械和设备修理业营业成本_累计增长,电力、热力、燃气及水生产和供应业营业成本_累计值,电力、热力、燃气及水生产和供应业营业成本_上年同期累计值,电力、热力、燃气及水生产和供应业营业成本_累计增长,电力、热力生产和供应业营业成本_累计值,电力、热力生产和供应业营业成本_上年同期累计值,电力、热力生产和供应业营业成本_累计增长,燃气生产和供应业营业成本_累计值,燃气生产和供应业营业成本_上年同期累计值,燃气生产和供应业营业成本_累计增长,水的生产和供应业营业成本_累计值,水的生产和供应业营业成本_上年同期累计值,水的生产和供应业营业成本_累计增长
2025年5月,468815.0,455026.7,3.0,14521.5,15755.3,-7.8,7616.6,8667.6,-12.1,2592.3,2565.4,1.0,1560.6,1816.0,-14.1,935.9,884.6,5.8,1028.5,1004.5,2.4,784.7,811.0,-3.2,3.0,6.2,-51.6,408832.6,393558.4,3.9,19295.8,18769.9,2.8,6996.2,6845.5,2.2,4254.6,4097.7,3.8,1954.4,1883.2,3.8,8311.5,8347.2,-0.4,4008.5,3958.7,1.3,2807.6,2812.2,-0.2,3160.9,3201.1,-1.3,2069.1,2156.0,-4.0,4985.4,5057.2,-1.4,2180.1,2162.3,0.8,5010.4,4693.8,6.7,19217.1,21827.4,-12.0,32257.3,31576.2,2.2,5865.2,5874.4,-0.2,4070.3,4405.0,-7.6,10517.4,9968.4,5.5,16218.1,17294.3,-6.2,29857.7,32711.7,-8.7,35501.6,30393.0,16.8,16447.8,15969.2,3.0,16065.0,15133.2,6.2,11555.2,11117.4,3.9,36350.9,33651.8,8.0,5290.5,4433.4,19.3,38423.4,34394.1,11.7,56982.9,52072.4,9.4,2958.8,2780.4,6.4,714.6,679.7,5.1,4663.7,4577.4,1.9,840.3,714.2,17.7,45461.0,45713.0,-0.6,35088.2,35508.4,-1.2,9008.7,8839.0,1.9,1364.0,1365.7,-0.1
2025年4月,371617.5,359361.8,3.4,11616.8,12542.6,-7.4,6092.2,6892.5,-11.6,2099.1,2048.3,2.5,1259.3,1488.4,-15.4,747.8,697.9,7.2,798.5,778.9,2.5,617.7,631.6,-2.2,2.2,5.1,-56.9,322932.9,309542.8,4.3,15244.7,14894.6,2.4,5576.0,5486.4,1.6,3471.4,3291.8,5.5,1637.8,1587.1,3.2,6592.4,6507.8,1.3,3183.2,3115.8,2.2,2218.5,2199.4,0.9,2515.8,2541.0,-1.0,1642.6,1704.0,-3.6,3945.1,3996.6,-1.3,1736.0,1711.2,1.4,3961.2,3848.9,2.9,15393.9,17245.5,-10.7,25724.5,24968.6,3.0,4677.5,4712.8,-0.7,3194.4,3443.0,-7.2,8312.7,7811.2,6.4,12710.9,13556.9,-6.2,23706.4,25862.8,-8.3,27952.7,23581.1,18.5,12963.4,12500.4,3.7,12631.8,11845.2,6.6,9151.3,8789.4,4.1,28635.6,26546.9,7.9,4061.5,3422.6,18.7,29910.6,26733.0,11.9,45005.5,40821.1,10.3,2316.7,2161.4,7.2,563.4,530.1,6.3,3633.3,3569.0,1.8,662.2,556.9,18.9,37067.8,37276.4,-0.6,28467.6,28802.2,-1.2,7516.8,7383.2,1.8,1083.4,1091.0,-0.7
2025年3月,274389.4,264953.9,3.6,8610.2,9356.4,-8.0,4500.0,5179.1,-13.1,1567.3,1507.1,4.0,947.8,1175.1,-19.3,552.1,492.4,12.1,582.4,566.4,2.8,458.0,430.3,6.4,2.5,5.8,-56.9,237136.5,226663.4,4.6,11341.5,11150.7,1.7,4202.8,4176.9,0.6,2641.7,2570.7,2.8,1334.8,1281.4,4.2,4819.1,4707.2,2.4,2390.6,2298.1,4.0,1648.1,1630.3,1.1,1861.1,1888.0,-1.4,1215.2,1242.3,-2.2,2918.7,2959.1,-1.4,1277.6,1256.7,1.7,2857.6,2833.7,0.8,11467.6,12708.4,-9.8,19051.2,18348.4,3.8,3496.0,3536.0,-1.1,2351.5,2491.1,-5.6,6072.3,5671.5,7.1,9221.4,9865.0,-6.5,17510.7,19174.2,-8.7,20156.1,16844.5,19.7,9207.7,8856.5,4.0,9216.2,8579.2,7.4,6789.7,6483.3,4.7,21118.9,19432.9,8.7,2949.8,2461.2,19.9,21436.9,19271.2,11.2,33355.5,29999.5,11.2,1694.5,1580.6,7.2,413.1,381.8,8.2,2613.8,2554.5,2.3,505.1,428.4,17.9,28642.7,28934.0,-1.0,21922.3,22182.9,-1.2,5909.2,5935.4,-0.4,811.2,815.8,-0.6
2025年2月,171019.5,166189.1,2.9,5470.9,5881.1,-7.0,2885.3,3336.7,-13.5,1037.4,996.6,4.1,578.9,633.5,-8.6,344.4,308.9,11.5,350.4,346.4,1.2,273.0,255.3,6.9,1.5,3.6,-58.3,146535.4,140907.1,4.0,7274.5,7137.2,1.9,2733.7,2652.5,3.1,1716.9,1687.5,1.7,1017.2,946.6,7.5,2986.6,2913.3,2.5,1548.7,1487.8,4.1,1054.9,1043.8,1.1,1154.9,1199.3,-3.7,750.5,777.8,-3.5,1840.8,1878.3,-2.0,815.8,819.8,-0.5,1831.9,1880.1,-2.6,7473.9,8266.8,-9.6,11864.0,11317.9,4.8,2162.5,2191.0,-1.3,1424.7,1520.0,-6.3,3783.2,3537.9,6.9,5717.6,6249.9,-8.5,11029.9,12241.4,-9.9,12156.9,9978.3,21.8,5638.9,5510.2,2.3,5560.3,5189.3,7.1,3980.6,3803.7,4.7,12976.7,11930.9,8.8,1741.1,1445.7,20.4,12594.2,11475.7,9.7,20637.5,18823.4,9.6,999.8,945.6,5.7,256.8,241.4,6.4,1500.9,1542.8,-2.7,309.3,270.8,14.2,19013.2,19400.9,-2.0,14501.4,14746.2,-1.7,3990.9,4126.0,-3.3,521.0,528.8,-1.5
2024年9月,847018.3,827028.5,2.4,28712.4,28962.4,-0.9,15539.6,16724.4,-7.1,4732.0,4414.6,7.2,3041.4,2709.5,12.2,1641.8,1564.4,4.9,1914.7,1869.3,2.4,1832.5,1670.0,9.7,10.4,10.1,3.0,735088.0,718297.5,2.3,34938.8,36692.8,-4.8,12432.0,11937.9,4.1,7641.2,7555.8,1.1,3197.8,3152.8,1.4,15464.1,14940.0,3.5,7653.7,7579.9,1.0,5352.6,5128.5,4.4,5748.6,5839.5,-1.6,3949.9,3847.0,2.7,9361.9,9056.8,3.4,4028.3,3942.1,2.2,8455.7,8239.0,2.6,38358.7,37895.2,1.2,58603.1,55819.2,5.0,10711.4,10489.6,2.1,7844.2,7380.6,6.3,18422.6,17526.8,5.1,31549.2,35156.3,-10.3,56555.5,59621.4,-5.1,59395.5,52057.4,14.1,29898.7,29204.1,2.4,28416.3,27761.7,2.4,21032.2,20652.1,1.8,64530.9,62526.6,3.2,9026.3,8065.5,11.9,66044.2,67360.6,-2.0,100224.3,93420.8,7.3,5435.6,5264.2,3.3,1264.2,1179.1,7.2,8140.1,7792.8,4.5,1410.4,1211.6,16.4,83218.0,79768.6,4.3,67085.2,64654.0,3.8,13603.5,12573.6,8.2,2529.3,2541.0,-0.5
2024年8月,743769.2,724602.0,2.6,25407.6,25575.4,-0.7,13768.7,14855.7,-7.3,4195.2,3875.9,8.2,2746.1,2374.9,15.6,1441.2,1365.5,5.5,1662.4,1631.9,1.9,1584.6,1462.5,8.3,9.4,8.9,5.6,644831.3,628042.1,2.7,30651.2,32190.6,-4.8,10898.3,10430.8,4.5,6731.3,6660.3,1.1,2853.1,2810.9,1.5,13573.8,13095.6,3.7,6651.4,6581.6,1.1,4689.1,4481.5,4.6,5013.2,5112.6,-1.9,3477.9,3354.3,3.7,8252.6,7945.6,3.9,3526.9,3440.6,2.5,7371.4,7173.4,2.8,34313.7,33360.7,2.9,51728.0,49037.4,5.5,9341.4,9198.9,1.5,6926.2,6438.7,7.6,16198.8,15316.9,5.8,27787.5,31028.0,-10.4,50654.8,52768.7,-4.0,52046.6,45769.5,13.7,26376.0,25562.3,3.2,24904.6,24327.3,2.4,18386.0,17949.1,2.4,56207.7,54214.5,3.7,7759.6,6903.1,12.4,57458.2,58652.1,-2.0,86758.7,80769.7,7.4,4718.9,4567.6,3.3,1107.2,1030.1,7.5,7246.9,6812.6,6.4,1220.3,1056.8,15.5,73530.2,70984.6,3.6,59327.2,57572.3,3.0,11991.2,11192.1,7.1,2211.9,2220.2,-0.4
2024年7月,647916.5,629225.0,3.0,22329.7,22371.5,-0.2,12125.8,13071.6,-7.2,3661.7,3374.3,8.5,2438.5,2052.1,18.8,1263.1,1178.5,7.2,1443.1,1418.3,1.7,1389.0,1269.0,9.5,8.4,7.7,9.1,562209.6,545597.2,3.0,26551.8,27810.2,-4.5,9459.7,9060.9,4.4,5900.7,5831.5,1.2,2515.9,2515.1,0.0,11841.1,11350.0,4.3,5731.9,5663.7,1.2,4054.6,3871.6,4.7,4371.4,4450.0,-1.8,3024.6,2895.0,4.5,7192.5,6907.3,4.1,3065.4,2985.4,2.7,6427.6,6189.2,3.9,30274.4,29360.4,3.1,45143.2,42692.8,5.7,8221.2,8125.1,1.2,6197.7,5526.6,12.1,14030.9,13250.3,5.9,24486.3,27043.4,-9.5,44701.3,46071.8,-3.0,45245.6,39708.3,13.9,22950.4,22129.2,3.7,21726.5,21183.4,2.6,16050.1,15810.8,1.5,48719.7,46846.4,4.0,6725.1,5959.4,12.8,49863.8,50805.5,-1.9,75190.0,69898.5,7.6,4101.2,3983.0,3.0,959.1,889.7,7.8,6427.5,5873.1,9.4,1058.3,909.5,16.4,63377.2,61256.3,3.5,50782.5,49404.3,2.8,10663.9,9922.1,7.5,1930.8,1929.9,0.0
2024年6月,553075.6,537590.8,2.9,19102.7,19217.3,-0.6,10360.4,11308.9,-8.4,3123.6,2871.9,8.8,2117.5,1743.3,21.5,1083.5,1001.1,8.2,1228.2,1209.4,1.6,1181.7,1076.1,9.8,7.8,6.5,20.0,480408.2,466651.4,2.9,22675.1,23713.8,-4.4,8146.0,7818.3,4.2,5126.6,4998.3,2.6,2187.3,2188.6,-0.1,10088.1,9697.5,4.0,4827.6,4784.4,0.9,3447.2,3270.7,5.4,3749.9,3795.1,-1.2,2577.7,2452.6,5.1,6157.8,5922.2,4.0,2607.0,2534.6,2.9,5559.7,5289.2,5.1,25885.3,25240.5,2.6,38624.6,36670.5,5.3,7148.2,7085.0,0.9,5305.4,4690.4,13.1,11937.8,11246.5,6.1,20976.1,23121.5,-9.3,38412.2,39503.0,-2.8,38202.1,33942.0,12.6,19551.8,18876.7,3.6,18541.0,18155.6,2.1,13834.9,13719.7,0.8,41730.2,39642.6,5.3,5692.0,5087.0,11.9,42582.7,43552.2,-2.2,64134.9,59715.7,7.4,3490.7,3410.6,2.3,817.9,757.3,8.0,5499.4,4998.5,10.0,890.9,770.6,15.6,53564.7,51722.1,3.6,42575.6,41308.8,3.1,9336.1,8761.3,6.6,1653.1,1652.0,0.1
2024年12月,1173148.2,1144678.9,2.5,39549.3,40271.9,-1.8,21120.4,22896.3,-7.8,6662.7,6280.2,6.1,3942.5,3779.4,4.3,2317.7,2200.8,5.3,2719.6,2647.6,2.7,2773.4,2454.0,13.0,13.0,13.4,-3.0,1020408.5,993776.1,2.7,48735.2,50465.0,-3.4,17051.7,16311.6,4.5,9996.9,9815.0,1.9,4013.2,3947.4,1.7,21204.2,20520.5,3.3,10694.7,10396.1,2.9,7326.0,7118.5,2.9,8119.9,8192.0,-0.9,5584.8,5549.2,0.6,12814.5,12321.8,4.0,5569.6,5451.6,2.2,11658.1,11250.4,3.6,50556.4,51598.1,-2.0,79805.8,76128.8,4.8,14729.6,14444.4,2.0,10721.1,10204.5,5.1,25537.0,24243.6,5.3,43527.0,48161.0,-9.6,77589.3,82594.3,-6.1,79967.2,69297.7,15.4,40980.2,39991.6,2.5,39895.6,38747.1,3.0,29844.7,29110.2,2.5,93301.4,88791.3,5.1,12854.9,11615.3,10.7,93987.6,94210.3,-0.2,141132.0,131299.2,7.5,7971.5,7637.2,4.4,1781.5,1656.5,7.5,11381.4,10962.8,3.8,2075.7,1743.2,19.1,113190.3,110630.9,2.3,90497.9,88791.0,1.9,19080.2,18191.1,4.9,3612.3,3648.8,-1.0
2024年11月,1053776.8,1030426.4,2.3,35387.9,36046.1,-1.8,19138.5,20636.6,-7.3,5807.5,5546.1,4.7,3637.9,3397.6,7.1,2049.3,1972.9,3.9,2423.4,2395.4,1.2,2318.9,2085.2,11.2,12.3,12.2,0.8,917076.8,896771.6,2.3,43747.4,45715.8,-4.3,15350.3,14798.8,3.7,9105.9,8970.8,1.5,3795.1,3730.6,1.7,19144.7,18440.2,3.8,9625.6,9380.1,2.6,6685.9,6465.1,3.4,7261.2,7328.8,-0.9,4971.4,4920.4,1.0,11608.9,11197.6,3.7,4996.8,4917.9,1.6,10563.3,10186.3,3.7,46419.3,47023.3,-1.3,72325.6,69056.6,4.7,13221.5,12939.9,2.2,9751.6,9260.5,5.3,23014.9,21929.1,5.0,39210.8,43698.6,-10.3,70918.8,75805.2,-6.4,72536.4,63139.4,14.9,36870.4,36041.4,2.3,35458.6,34679.8,2.2,26108.6,25552.9,2.2,82949.9,79749.6,4.0,11214.0,10135.6,10.6,83296.4,84341.8,-1.2,126540.4,117905.1,7.3,6871.2,6628.1,3.7,1596.4,1488.4,7.3,10135.2,9837.1,3.0,1780.4,1506.7,18.2,101312.2,97608.6,3.8,81413.4,78667.2,3.5,16758.6,15779.0,6.2,3140.2,3162.4,-0.7
