时间,粮油、食品、饮料、烟酒类商品零售类值_当期值,粮油、食品、饮料、烟酒类商品零售类值_累计值,粮油、食品、饮料、烟酒类商品零售类值_同比增长,粮油、食品、饮料、烟酒类商品零售类值_累计增长,粮油、食品类商品零售类值_当期值,粮油、食品类商品零售类值_累计值,粮油、食品类商品零售类值_同比增长,粮油、食品类商品零售类值_累计增长,饮料类商品零售类值_当期值,饮料类商品零售类值_累计值,饮料类商品零售类值_同比增长,饮料类商品零售类值_累计增长,烟酒类商品零售类值_当期值,烟酒类商品零售类值_累计值,烟酒类商品零售类值_同比增长,烟酒类商品零售类值_累计增长
2025年6月,2862.3,16887.7,5.4,9.5,2050.1,11951.9,8.7,12.3,296.3,1619.7,-4.4,-0.6,515.9,3316.1,-0.7,5.5
2025年5月,2668.3,13984.1,12.4,10.4,1918.5,9892.9,14.6,13.0,267.4,1304.4,0.1,0.2,482.4,2786.8,11.2,6.7
2025年4月,2481.0,11323.0,10.9,10.0,1798.8,7979.6,14.0,12.6,246.3,1038.3,2.9,0.3,435.9,2305.1,4.0,5.8
2025年3月,2750.0,8883.0,11.8,9.7,1978.9,6210.3,13.8,12.2,255.9,793.2,4.4,-0.5,515.2,1879.5,8.5,6.3
2025年2月,,6132.3,,8.7,,4229.5,,11.5,,539.0,,-2.6,,1363.8,,5.5
2024年9月,2925.6,22607.5,7.2,8.7,2037.1,15771.1,11.1,9.9,300.6,2413.4,-0.7,4.5,587.8,4525.6,-0.7,6.8
2024年8月,2411.1,19681.9,7.9,8.9,1695.8,13693.1,10.1,9.7,266.8,2104.7,2.7,5.3,448.5,3919.0,3.1,8.0
2024年7月,2297.4,17270.8,7.5,9.0,1619.5,11990.6,9.9,9.6,268.0,1834.2,6.1,5.6,409.9,3469.3,-0.1,8.7
2024年6月,2634.5,14972.2,8.6,9.2,1832.9,10352.7,10.8,9.6,298.2,1564.0,1.7,5.6,503.4,3055.5,5.2,10.0
2024年12月,3081.0,30926.4,8.1,8.2,2185.3,21736.8,9.9,9.9,263.3,3200.3,-8.5,2.1,632.4,6159.0,10.4,5.7
2024年11月,2659.7,28048.8,5.8,8.2,1894.4,19586.0,10.1,9.9,254.5,2938.8,-4.3,3.2,510.8,5524.0,-3.1,5.2
2024年10月,2578.1,25334.5,6.9,8.5,1843.8,17657.7,10.1,9.9,254.1,2674.7,-0.9,3.9,480.2,5002.1,-0.1,6.1
