时间,交通工具居民消费价格指数(上年同月=100),交通工具用燃料居民消费价格指数(上年同月=100),交通工具使用和维修居民消费价格指数(上年同月=100),通信工具居民消费价格指数(上年同月=100),通信服务居民消费价格指数(上年同月=100),邮递服务居民消费价格指数(上年同月=100)
2025年6月,97.2,89.2,100.4,99.7,100.0,99.8
2025年5月,96.6,87.1,100.4,100.7,100.0,99.8
2025年4月,96.2,89.8,100.5,101.0,100.0,99.7
2025年3月,96.0,94.3,100.3,101.4,100.0,99.7
2025年2月,95.6,98.8,98.0,101.3,100.0,99.5
2025年1月,95.9,99.4,101.2,100.6,100.0,100.9
2024年12月,95.8,96.0,100.5,100.7,99.9,99.5
2024年11月,95.2,91.9,100.5,100.7,100.0,99.5
2024年10月,94.7,89.5,100.5,97.9,100.0,99.5
2024年9月,94.7,92.4,100.6,97.2,100.0,99.4
2024年8月,94.5,97.3,100.5,97.9,100.0,99.4
2024年7月,94.4,105.1,100.5,97.9,100.0,99.5
2024年6月,94.7,105.6,100.4,98.5,99.8,99.5
