时间,工业企业单位数_本月末,采矿业企业单位数_本月末,煤炭开采和洗选业企业单位数_本月末,石油和天然气开采业企业单位数_本月末,黑色金属矿采选业企业单位数_本月末,有色金属矿采选业企业单位数_本月末,非金属矿采选业企业单位数_本月末,开采专业及辅助性活动企业单位数_本月末,其他采矿业企业单位数_本月末,制造业企业单位数_本月末,农副食品加工业企业单位数_本月末,食品制造业企业单位数_本月末,酒、饮料和精制茶制造业企业单位数_本月末,烟草制品业企业单位数_本月末,纺织业企业单位数_本月末,纺织服装、服饰业企业单位数_本月末,皮革、毛皮、羽毛及其制品和制鞋业企业单位数_本月末,木材加工和木、竹、藤、棕、草制品业企业单位数_本月末,家具制造业企业单位数_本月末,造纸和纸制品业企业单位数_本月末,印刷和记录媒介复制业企业单位数_本月末,文教、工美、体育和娱乐用品制造业企业单位数_本月末,石油、煤炭及其他燃料加工业企业单位数_本月末,化学原料和化学制品制造业企业单位数_本月末,医药制造业企业单位数_本月末,化学纤维制造业企业单位数_本月末,橡胶和塑料制品业企业单位数_本月末,非金属矿物制品业企业单位数_本月末,黑色金属冶炼和压延加工业企业单位数_本月末,有色金属冶炼和压延加工业企业单位数_本月末,金属制品业企业单位数_本月末,通用设备制造业企业单位数_本月末,专用设备制造业企业单位数_本月末,汽车制造业企业单位数_本月末,铁路、船舶、航空航天和其他运输设备制造业企业单位数_本月末,电气机械和器材制造业企业单位数_本月末,计算机、通信和其他电子设备制造业企业单位数_本月末,仪器仪表制造业企业单位数_本月末,其他制造业企业单位数_本月末,废弃资源综合利用业企业单位数_本月末,金属制品、机械和设备修理业企业单位数_本月末,电力、热力、燃气及水生产和供应业企业单位数_本月末,电力、热力生产和供应业企业单位数_本月末,燃气生产和供应业企业单位数_本月末,水的生产和供应业企业单位数_本月末
2025年5月,519513.0,12678.0,5158.0,178.0,1526.0,1363.0,3994.0,448.0,11.0,483900.0,26474.0,10916.0,5855.0,153.0,21195.0,13646.0,8703.0,13270.0,7421.0,8096.0,7063.0,10958.0,2442.0,26823.0,9791.0,2443.0,28239.0,50015.0,6252.0,10611.0,38102.0,37599.0,29245.0,20288.0,6465.0,37001.0,29875.0,7642.0,2331.0,4065.0,921.0,22935.0,14503.0,4295.0,4137.0
2025年4月,519208.0,12665.0,5149.0,179.0,1524.0,1363.0,3992.0,448.0,10.0,483650.0,26466.0,10897.0,5852.0,153.0,21193.0,13648.0,8701.0,13269.0,7418.0,8090.0,7058.0,10950.0,2440.0,26823.0,9787.0,2430.0,28222.0,50001.0,6247.0,10584.0,38098.0,37593.0,29235.0,20269.0,6458.0,36980.0,29833.0,7647.0,2331.0,4055.0,922.0,22893.0,14467.0,4289.0,4137.0
2025年3月,519074.0,12662.0,5146.0,180.0,1523.0,1362.0,3990.0,446.0,15.0,483538.0,26448.0,10893.0,5848.0,152.0,21182.0,13656.0,8701.0,13272.0,7426.0,8088.0,7062.0,10955.0,2433.0,26776.0,9790.0,2445.0,28203.0,50002.0,6266.0,10546.0,38074.0,37611.0,29273.0,20238.0,6450.0,36983.0,29829.0,7642.0,2333.0,4043.0,918.0,22874.0,14449.0,4286.0,4139.0
2025年2月,518554.0,12626.0,5132.0,179.0,1517.0,1358.0,3983.0,443.0,14.0,483083.0,26408.0,10879.0,5840.0,152.0,21162.0,13646.0,8696.0,13226.0,7422.0,8086.0,7057.0,10953.0,2432.0,26755.0,9786.0,2446.0,28185.0,49950.0,6255.0,10534.0,38040.0,37588.0,29265.0,20239.0,6442.0,36937.0,29787.0,7642.0,2335.0,4025.0,913.0,22845.0,14423.0,4284.0,4138.0
2024年12月,511640.0,12843.0,5181.0,172.0,1554.0,1352.0,4169.0,405.0,10.0,476913.0,26508.0,10625.0,6030.0,149.0,21263.0,13820.0,8906.0,13484.0,7459.0,8042.0,7013.0,10897.0,2443.0,26287.0,9793.0,2422.0,27230.0,50566.0,6326.0,10299.0,37225.0,36283.0,28419.0,19769.0,6163.0,36113.0,29130.0,7318.0,2231.0,3841.0,859.0,21884.0,13807.0,4100.0,3977.0
2024年11月,511642.0,12843.0,5181.0,172.0,1554.0,1352.0,4169.0,405.0,10.0,476915.0,26508.0,10625.0,6030.0,149.0,21263.0,13820.0,8906.0,13484.0,7459.0,8042.0,7013.0,10897.0,2443.0,26287.0,9793.0,2422.0,27230.0,50566.0,6326.0,10299.0,37225.0,36283.0,28419.0,19769.0,6164.0,36114.0,29130.0,7318.0,2231.0,3841.0,859.0,21884.0,13807.0,4100.0,3977.0
2024年10月,508339.0,12760.0,5153.0,169.0,1552.0,1341.0,4135.0,400.0,10.0,473886.0,26339.0,10550.0,6002.0,148.0,21161.0,13742.0,8848.0,13389.0,7421.0,7999.0,6980.0,10831.0,2428.0,26121.0,9748.0,2413.0,27028.0,50322.0,6283.0,10203.0,37033.0,36090.0,28249.0,19620.0,6126.0,35865.0,28799.0,7273.0,2218.0,3812.0,845.0,21693.0,13671.0,4072.0,3950.0
2024年9月,505355.0,12661.0,5135.0,168.0,1535.0,1328.0,4091.0,394.0,10.0,471231.0,26145.0,10485.0,5964.0,148.0,21030.0,13674.0,8807.0,13231.0,7378.0,7949.0,6959.0,10787.0,2412.0,25968.0,9708.0,2400.0,26890.0,50099.0,6246.0,10139.0,36831.0,35920.0,28101.0,19510.0,6081.0,35684.0,28633.0,7239.0,2208.0,3771.0,834.0,21463.0,13518.0,4027.0,3918.0
2024年8月,503527.0,12566.0,5096.0,168.0,1525.0,1318.0,4057.0,393.0,9.0,469681.0,26031.0,10456.0,5937.0,148.0,20940.0,13645.0,8782.0,13121.0,7352.0,7924.0,6949.0,10749.0,2403.0,25883.0,9679.0,2394.0,26829.0,49975.0,6220.0,10071.0,36739.0,35839.0,28044.0,19437.0,6068.0,35564.0,28507.0,7220.0,2204.0,3740.0,831.0,21280.0,13381.0,3995.0,3904.0
2024年7月,502932.0,12545.0,5092.0,168.0,1524.0,1316.0,4043.0,393.0,9.0,469147.0,25998.0,10448.0,5928.0,148.0,20915.0,13641.0,8772.0,13091.0,7342.0,7917.0,6948.0,10738.0,2401.0,25862.0,9665.0,2391.0,26810.0,49918.0,6216.0,10036.0,36705.0,35814.0,28017.0,19406.0,6060.0,35514.0,28457.0,7213.0,2205.0,3742.0,829.0,21240.0,13346.0,3989.0,3905.0
2024年6月,502363.0,12521.0,5077.0,167.0,1523.0,1313.0,4039.0,393.0,9.0,468643.0,25961.0,10431.0,5918.0,148.0,20882.0,13635.0,8769.0,13072.0,7338.0,7912.0,6931.0,10728.0,2399.0,25839.0,9660.0,2390.0,26765.0,49874.0,6209.0,10014.0,36671.0,35801.0,28011.0,19393.0,6055.0,35475.0,28390.0,7204.0,2206.0,3737.0,825.0,21199.0,13312.0,3982.0,3905.0
