时间,草鱼（1-2公斤）集贸市场价格_当期值,草鱼（1-2公斤）集贸市场价格_环比增长,草鱼（1-2公斤）集贸市场价格_同比增长,鲤鱼（1-2公斤）集贸市场价格_当期值,鲤鱼（1-2公斤）集贸市场价格_环比增长,鲤鱼（1-2公斤）集贸市场价格_同比增长,鲢鱼（1-2公斤）集贸市场价格_当期值,鲢鱼（1-2公斤）集贸市场价格_环比增长,鲢鱼（1-2公斤）集贸市场价格_同比增长,带鱼（0.5-1公斤）集贸市场价格_当期值,带鱼（0.5-1公斤）集贸市场价格_环比增长,带鱼（0.5-1公斤）集贸市场价格_同比增长
2025年6月,20.50889771,5.36356791,12.60631941,16.15111111,0.97336911,2.67211787,13.29142715,1.56255839,-5.19729027,33.6044863,-0.2489571,1.67845704
2025年5月,19.46488536,4.33960935,6.5134291,15.99541667,3.04043659,0.97511891,13.08693613,0.68518223,-7.15103881,33.68835586,0.64997202,1.31118387
2025年4月,18.65531746,1.21786036,3.82624732,15.52343643,0.82504623,-1.42684721,12.99787698,0.04512846,-6.50555141,33.47080499,0.08342452,0.03853854
2025年3月,18.43085538,2.54168643,3.23106585,15.39640893,1.02123237,0.20962482,12.99201389,-0.19506515,-6.53742501,33.44290541,-0.22778355,-1.26450613
2025年2月,17.97401235,-1.07373606,-0.60927292,15.24076531,-1.9036276,-0.71077557,13.01740631,-2.53801759,-7.37242068,33.51925676,-1.26612275,-1.35868948
2025年1月,18.16910053,0.48145182,0.8241531,15.53652284,0.8673361,2.04801845,13.35639394,-2.78133757,-4.34638008,33.94909396,2.44945702,-0.78240949
2024年9月,18.58,0.2698327037,0.37817396,15.85,-0.2517306482,2.5889967638,14.07,-0.3541076487,-0.2127659574,32.97,-0.4528985507,-3.5118525022
2024年8月,18.53,0.9809264305,-0.2691065662,15.89,0.8888888889,2.9812054439,14.12,0.929235168,0.2840909091,33.12,0.4549590537,-2.8454092109
2024年7月,18.35,0.7688083471,-1.3970983342,15.75,0.1271455817,1.8758085382,13.99,-0.2139800285,-0.4270462633,32.97,-0.2420574887,-2.8293545535
2024年6月,18.21,-0.328407225,-2.7762947144,15.73,-0.6944444444,1.6149870801,14.02,-0.4968062456,0.2861230329,33.05,-0.6015037594,-2.421021553
2024年12月,18.0820442,-0.52304037,-0.12280843,15.40292769,-0.90054788,1.28235843,13.73850823,-0.30519511,-0.99738942,33.13740741,0.40092903,-2.32605996
2024年11月,18.19,-0.655379574,0.0,15.51,-1.2730744749,2.4438573316,13.78,-1.0768126346,-0.9345794393,33.01,0.5482790131,-2.8546203649
2024年10月,18.31,-1.4531754575,-0.2723311547,15.71,-0.8832807571,3.2194480946,13.93,-0.9950248756,0.5050505051,32.83,-0.4246284501,-3.5829662261
