时间,旅客周转量_当期值,旅客周转量_累计值,旅客周转量_同比增长,旅客周转量_累计增长,铁路旅客周转量_当期值,铁路旅客周转量_累计值,铁路旅客周转量_同比增长,铁路旅客周转量_累计增长,公路旅客周转量_当期值,公路旅客周转量_累计值,公路旅客周转量_同比增长,公路旅客周转量_累计增长,水运旅客周转量_当期值,水运旅客周转量_累计值,水运旅客周转量_同比增长,水运旅客周转量_累计增长,民航旅客周转量_当期值,民航旅客周转量_累计值,民航旅客周转量_同比增长,民航旅客周转量_累计增长
2025年6月,2831.94755462,17258.75510043,3.2354710488,4.9052323124,1296.69243,7995.81221,2.2063562399,2.7803316249,433.99922443,2540.95667628,0.0980738117,1.5237611519,4.19825019,25.00984415,-0.3840414807,-1.5983439672,1097.05765,6696.97637,5.8,9.0
2025年5月,2960.18669905,14426.80754191,7.8194626424,5.2393644004,1373.50731,6699.11978,7.6252182778,2.8921767218,444.73455959,2106.95745185,-0.0951930945,1.8224888339,5.4624906,20.81159396,9.1507,-1.8397,1136.48233886,5599.9187161,11.5132542167,9.6453200726
2025年4月,2841.64488278,11466.61128562,5.2799033343,4.5931377745,1306.75648,5325.61247,1.7998260215,1.7382665011,439.01006839,1662.22289226,1.5946800229,2.3481206966,4.68970439,15.34910336,-1.4973628174,-5.2355015779,1091.18863,4463.42682,11.5,9.2
2025年3月,2612.71833367,8625.39291779,2.5281307063,4.3672370909,1121.33881,4018.85599,-1.3092481783,1.7182660699,421.60447571,1223.63933987,3.222657349,2.6110138663,3.489451,10.65939897,-7.2991316388,-6.7917349897,1066.28559696,3372.23818895,6.640317929,8.4469727202
2025年2月,,6007.21369913,,5.1858553987,,2897.51718,,2.9403647496,,796.57398116,,2.2641012926,,7.16994797,,-6.5427817729,,2305.95259,,9.3
2024年9月,2740.31317854,26177.5243838,6.03798977890948,15.2047753810044,1229.4645,12555.73348,-1.3456417728,8.7507514786,431.60334845,3834.59752267,3.2156824584,9.7328118078,3.953699,43.26921757,-9.6918344824,2.8298163549,1075.29163109,9743.92416356,17.4532876407,27.5279749747
2024年8月,3621.78594988,23437.20470479,10.7782173795536,16.3811133882934,1871.73785,11326.26898,6.7356253708,9.9724470315,451.24578631,3402.99416622,3.9556026034,10.6186666121,8.06282357,39.31551857,8.3693443822,4.2839069215,1290.73949,8668.62604,20.2,28.9
2024年7月,3366.12091054,19815.4189732,4.43275708818554,17.4670276749331,1675.01526,9454.53113,-3.1695172463,10.6366693934,451.21446865,2951.74837991,3.9183432532,11.7132900766,5.83661446,31.252695,-10.3483431794,3.2794170047,1234.05456743,7377.88676829,17.2,30.6
2024年6月,2742.89,16448.99,9.64371767272819,20.5435970972119,1268.7,7779.52,5.0,14.1,433.61,2500.53,5.9,13.2,4.21,25.42,-1.8,7.0,1036.36,6143.52,17.9,33.6
2024年12月,2405.67904471,33885.4869723,7.0,13.6,958.48785,15799.09741,0.0033220095,7.262653696,406.68289304,5117.00385758,2.1708696105,7.9526927546,2.65522167,54.67157472,-2.7407243853,1.6787015845,1037.85308,12914.71413,16.7,25.3
2024年11月,2413.23297921,31479.42865343,9.36228546087247,14.123611643733,981.35337,14840.60956,2.484629943,7.7679039282,425.16196424,4710.35791519,2.8877351804,8.4835777354,3.54738352,52.01635305,-4.6544772428,1.9150943752,1003.17026145,11876.44482519,20.6,26.1
2024年10月,2888.67129042,29066.19567422,8.82658238116166,14.5376295310095,1303.52271,13859.25619,2.8083226836,8.162731559,450.59842828,4285.19595095,3.7561266232,9.0721495629,5.19975196,48.46896953,-0.7658156615,2.4316478224,1129.35040018,10873.27456374,19.3,26.6
