时间,结构性金属制品制造工业生产者出厂价格指数(上年同月=100),金属工具制造工业生产者出厂价格指数(上年同月=100),集装箱及金属包装容器制造工业生产者出厂价格指数(上年同月=100),金属丝绳及其制品制造工业生产者出厂价格指数(上年同月=100),建筑、安全用金属制品制造工业生产者出厂价格指数(上年同月=100),金属表面处理及热处理加工工业生产者出厂价格指数(上年同月=100),搪瓷制品制造工业生产者出厂价格指数(上年同月=100),金属制日用品制造工业生产者出厂价格指数(上年同月=100),锻造及其他金属制品制造工业生产者出厂价格指数(上年同月=100)
2025年6月,96.9,98.7,95.2,96.4,98.7,99.2,96.5,99.8,96.9
2025年5月,97.0,98.9,95.8,96.2,99.0,99.3,96.4,99.6,97.7
2025年4月,96.7,98.6,95.7,97.0,98.6,99.6,96.3,99.4,98.2
2025年3月,96.7,98.5,96.3,97.7,99.3,98.9,96.4,99.3,97.9
2025年2月,97.0,98.4,97.7,98.1,98.9,99.4,96.4,99.1,97.9
2025年1月,97.2,98.4,98.4,96.5,99.1,99.4,96.2,99.0,98.1
2024年9月,96.9,98.9,97.5,96.5,99.1,98.7,93.9,98.0,98.7
2024年8月,97.2,98.9,97.4,98.5,99.5,98.5,93.1,98.8,99.3
2024年7月,97.8,99.1,97.6,99.6,99.1,98.2,95.3,98.9,100.2
2024年6月,97.8,98.6,98.2,100.0,99.0,97.2,101.6,99.2,100.0
2024年12月,97.4,99.0,98.7,97.1,99.0,99.5,95.6,97.8,98.6
2024年11月,97.4,99.0,98.6,98.0,98.7,98.7,95.4,97.6,98.7
2024年10月,97.0,98.9,97.4,97.3,98.7,98.0,94.4,97.8,98.3
