时间,房地产投资_累计值,房地产投资_累计增长,房地产住宅投资_累计值,房地产住宅投资_累计增长,房地产办公楼投资_累计值,房地产办公楼投资_累计增长,房地产商业营业用房投资_累计值,房地产商业营业用房投资_累计增长,其它房地产投资_累计值,其它房地产投资_累计增长,房地产开发建筑工程投资_累计值,房地产开发建筑工程投资_累计增长,房地产开发安装工程投资_累计值,房地产开发安装工程投资_累计增长,房地产设备工器具购置投资_累计值,房地产设备工器具购置投资_累计增长,房地产其它费用投资_累计值,房地产其它费用投资_累计增长,房地产土地购置费_累计值,房地产土地购置费_累计增长,房地产开发计划总投资_累计值,房地产开发计划总投资_累计增长
2025年5月,36233.84,-10.7,27730.96,-10.0,1411.51,-16.3,2573.28,-7.6,4518.09,-14.7,19154.81,-12.6,1064.51,-15.1,250.82,-10.2,15763.71,-8.0,14211.83,-7.1,873572.6,-4.5
2025年4月,27729.57,-10.3,21178.53,-9.6,1108.21,-16.7,1981.86,-8.3,3460.97,-13.8,14873.13,-12.6,825.16,-14.8,200.52,-9.7,11830.75,-6.9,10564.72,-5.9,879238.03,-5.7
2025年3月,19904.1692,-9.9,15132.803,-9.0,819.0797,-17.0,1438.264,-9.4,2514.0225,-13.3,11002.0181,-12.5,594.4171,-15.7,139.4246,-15.4,8168.3094,-5.6,7191.4325,-4.5,871346.418,-5.4
2025年2月,10719.7377,-9.8,8055.7053,-9.2,491.7032,-14.9,781.9436,-12.3,1390.3856,-10.0,6110.7067,-14.4,317.9715,-17.8,75.3986,-11.4,4215.6609,-1.4,3722.7131,-0.3,864586.2125,-4.5
2024年12月,100280.2129,-10.6,76039.9431,-10.5,4159.8777,-9.0,6943.9715,-13.9,13136.4206,-9.7,55810.139,-10.3,3220.0394,-17.2,724.0741,-26.6,40525.9604,-10.1,35655.2444,-8.7,961721.1171,-5.5
2024年11月,93634.0983,-10.4,71189.5421,-10.5,3802.8912,-7.4,6430.0606,-13.6,12211.6044,-9.5,51186.8914,-10.8,2972.442,-16.7,653.9246,-27.1,38820.8403,-9.1,34616.9934,-7.8,953297.27,-5.3
2024年10月,86308.854,-10.3,65644.2775,-10.4,3487.1037,-7.0,5895.3647,-13.9,11282.1081,-8.9,46931.006,-10.8,2709.2865,-16.8,588.8094,-26.1,36079.7521,-8.9,32232.4038,-7.4,946799.9336,-4.9
2024年9月,78680.2837,-10.1,59701.2144,-10.5,3178.2469,-6.5,5388.8904,-13.4,10411.932,-7.3,42754.6399,-10.9,2446.0977,-17.2,533.9719,-23.3,32945.5742,-8.3,29408.7602,-6.9,941135.2143,-4.6
2024年8月,69283.5502,-10.2,52627.0916,-10.5,2807.0735,-6.4,4731.1919,-13.2,9118.1932,-7.8,37290.8805,-11.5,2129.6304,-17.5,457.3795,-24.0,29405.6598,-7.5,26407.6103,-5.8,933576.5834,-4.4
2024年7月,60877.4211,-10.2,46230.0404,-10.6,2493.285,-5.7,4175.2219,-12.8,7978.8738,-7.6,32702.9766,-11.6,1871.5297,-17.3,402.9353,-23.5,25899.9795,-7.5,23166.1895,-5.8,927391.6659,-4.3
2024年6月,52528.8258,-10.1,39882.9177,-10.4,2160.4469,-5.6,3611.4853,-13.2,6873.9759,-8.4,28322.2146,-11.3,1616.4904,-16.7,349.1347,-23.0,22240.9861,-7.8,19812.8739,-6.1,919832.4395,-4.3
