时间,电机制造工业生产者出厂价格指数(上年同月=100),输配电及控制设备制造工业生产者出厂价格指数(上年同月=100),电线、电缆、光缆及电工器材制造工业生产者出厂价格指数(上年同月=100),电池制造工业生产者出厂价格指数(上年同月=100),家用电力器具制造工业生产者出厂价格指数(上年同月=100),非电力家用器具制造工业生产者出厂价格指数(上年同月=100),照明器具制造工业生产者出厂价格指数(上年同月=100),其他电气机械及器材制造工业生产者出厂价格指数(上年同月=100)
2025年6月,99.5,96.6,98.5,95.6,98.3,99.0,97.6,92.3
2025年5月,99.1,95.8,99.7,96.2,98.4,99.8,97.5,93.5
2025年4月,99.4,96.5,102.6,96.5,98.8,99.7,97.2,90.9
2025年3月,99.2,96.1,103.8,95.8,98.8,99.5,97.5,90.4
2025年2月,99.4,96.4,103.5,95.5,99.2,100.3,97.6,90.2
2025年1月,98.9,95.0,103.5,95.1,99.2,100.1,98.2,89.9
2024年9月,98.3,91.2,103.9,92.5,98.7,100.0,97.9,95.5
2024年8月,98.4,90.9,105.3,92.2,98.5,99.9,97.9,96.8
2024年7月,98.1,91.4,106.2,91.8,98.5,99.4,98.1,97.1
2024年6月,97.3,90.6,106.5,92.4,98.6,99.1,98.5,96.9
2024年12月,98.7,93.9,104.4,93.2,98.8,100.1,98.2,92.7
2024年11月,98.4,93.1,104.8,92.3,98.9,99.9,98.1,94.2
2024年10月,98.2,92.1,105.1,91.6,98.9,99.8,98.3,95.2
