时间,工业企业流动资产合计_本月末,工业企业流动资产合计_上年同期,工业企业流动资产合计_增减,采矿业流动资产合计_本月末,采矿业流动资产合计_上年同期,采矿业流动资产合计_增减,煤炭开采和洗选业流动资产合计_本月末,煤炭开采和洗选业流动资产合计_上年同期,煤炭开采和洗选业流动资产合计_增减,石油和天然气开采业流动资产合计_本月末,石油和天然气开采业流动资产合计_上年同期,石油和天然气开采业流动资产合计_增减,黑色金属矿采选业流动资产合计_本月末,黑色金属矿采选业流动资产合计_上年同期,黑色金属矿采选业流动资产合计_增减,有色金属矿采选业流动资产合计_本月末,有色金属矿采选业流动资产合计_上年同期,有色金属矿采选业流动资产合计_增减,非金属矿采选业流动资产合计_本月末,非金属矿采选业流动资产合计_上年同期,非金属矿采选业流动资产合计_增减,开采专业及辅助性活动流动资产合计_本月末,开采专业及辅助性活动流动资产合计_上年同期,开采专业及辅助性活动流动资产合计_增减,其他采矿业流动资产合计_本月末,其他采矿业流动资产合计_上年同期,其他采矿业流动资产合计_增减,制造业流动资产合计_本月末,制造业流动资产合计_上年同期,制造业流动资产合计_增减,农副食品加工业流动资产合计_本月末,农副食品加工业流动资产合计_上年同期,农副食品加工业流动资产合计_增减,食品制造业流动资产合计_本月末,食品制造业流动资产合计_上年同期,食品制造业流动资产合计_增减,酒、饮料和精制茶制造业流动资产合计_本月末,酒、饮料和精制茶制造业流动资产合计_上年同期,酒、饮料和精制茶制造业流动资产合计_增减,烟草制品业流动资产合计_本月末,烟草制品业流动资产合计_上年同期,烟草制品业流动资产合计_增减,纺织业流动资产合计_本月末,纺织业流动资产合计_上年同期,纺织业流动资产合计_增减,纺织服装、服饰业流动资产合计_本月末,纺织服装、服饰业流动资产合计_上年同期,纺织服装、服饰业流动资产合计_增减,皮革、毛皮、羽毛及其制品和制鞋业流动资产合计_本月末,皮革、毛皮、羽毛及其制品和制鞋业流动资产合计_上年同期,皮革、毛皮、羽毛及其制品和制鞋业流动资产合计_增减,木材加工和木、竹、藤、棕、草制品业流动资产合计_本月末,木材加工和木、竹、藤、棕、草制品业流动资产合计_上年同期,木材加工和木、竹、藤、棕、草制品业流动资产合计_增减,家具制造业流动资产合计_本月末,家具制造业流动资产合计_上年同期,家具制造业流动资产合计_增减,造纸和纸制品业流动资产合计_本月末,造纸和纸制品业流动资产合计_上年同期,造纸和纸制品业流动资产合计_增减,印刷和记录媒介复制业流动资产合计_本月末,印刷和记录媒介复制业流动资产合计_上年同期,印刷和记录媒介复制业流动资产合计_增减,文教、工美、体育和娱乐用品制造业流动资产合计_本月末,文教、工美、体育和娱乐用品制造业流动资产合计_上年同期,文教、工美、体育和娱乐用品制造业流动资产合计_增减,石油、煤炭及其他燃料加工业流动资产合计_本月末,石油、煤炭及其他燃料加工业流动资产合计_上年同期,石油、煤炭及其他燃料加工业流动资产合计_增减,化学原料和化学制品制造业流动资产合计_本月末,化学原料和化学制品制造业流动资产合计_上年同期,化学原料和化学制品制造业流动资产合计_增减,医药制造业流动资产合计_本月末,医药制造业流动资产合计_上年同期,医药制造业流动资产合计_增减,化学纤维制造业流动资产合计_本月末,化学纤维制造业流动资产合计_上年同期,化学纤维制造业流动资产合计_增减,橡胶和塑料制品业流动资产合计_本月末,橡胶和塑料制品业流动资产合计_上年同期,橡胶和塑料制品业流动资产合计_增减,非金属矿物制品业流动资产合计_本月末,非金属矿物制品业流动资产合计_上年同期,非金属矿物制品业流动资产合计_增减,黑色金属冶炼和压延加工业流动资产合计_本月末,黑色金属冶炼和压延加工业流动资产合计_上年同期,黑色金属冶炼和压延加工业流动资产合计_增减,有色金属冶炼和压延加工业流动资产合计_本月末,有色金属冶炼和压延加工业流动资产合计_上年同期,有色金属冶炼和压延加工业流动资产合计_增减,金属制品业流动资产合计_本月末,金属制品业流动资产合计_上年同期,金属制品业流动资产合计_增减,通用设备制造业流动资产合计_本月末,通用设备制造业流动资产合计_上年同期,通用设备制造业流动资产合计_增减,专用设备制造业流动资产合计_本月末,专用设备制造业流动资产合计_上年同期,专用设备制造业流动资产合计_增减,汽车制造业流动资产合计_本月末,汽车制造业流动资产合计_上年同期,汽车制造业流动资产合计_增减,铁路、船舶、航空航天和其他运输设备制造业流动资产合计_本月末,铁路、船舶、航空航天和其他运输设备制造业流动资产合计_上年同期,铁路、船舶、航空航天和其他运输设备制造业流动资产合计_增减,电气机械和器材制造业流动资产合计_本月末,电气机械和器材制造业流动资产合计_上年同期,电气机械和器材制造业流动资产合计_增减,计算机、通信和其他电子设备制造业流动资产合计_本月末,计算机、通信和其他电子设备制造业流动资产合计_上年同期,计算机、通信和其他电子设备制造业流动资产合计_增减,仪器仪表制造业流动资产合计_本月末,仪器仪表制造业流动资产合计_上年同期,仪器仪表制造业流动资产合计_增减,其他制造业流动资产合计_本月末,其他制造业流动资产合计_上年同期,其他制造业流动资产合计_增减,废弃资源综合利用业流动资产合计_本月末,废弃资源综合利用业流动资产合计_上年同期,废弃资源综合利用业流动资产合计_增减,金属制品、机械和设备修理业流动资产合计_本月末,金属制品、机械和设备修理业流动资产合计_上年同期,金属制品、机械和设备修理业流动资产合计_增减,电力、热力、燃气及水生产和供应业流动资产合计_本月末,电力、热力、燃气及水生产和供应业流动资产合计_上年同期,电力、热力、燃气及水生产和供应业流动资产合计_增减,电力、热力生产和供应业流动资产合计_本月末,电力、热力生产和供应业流动资产合计_上年同期,电力、热力生产和供应业流动资产合计_增减,燃气生产和供应业流动资产合计_本月末,燃气生产和供应业流动资产合计_上年同期,燃气生产和供应业流动资产合计_增减,水的生产和供应业流动资产合计_本月末,水的生产和供应业流动资产合计_上年同期,水的生产和供应业流动资产合计_增减
2025年5月,932974.2,887517.0,5.1,53408.7,52742.7,1.3,34858.6,34761.5,0.3,4953.7,5137.3,-3.6,4320.8,4339.7,-0.4,2832.1,2491.6,13.7,4645.3,4352.3,6.7,1791.9,1656.5,8.2,6.4,3.7,73.0,805678.9,765484.6,5.3,23027.0,22083.7,4.3,13421.2,13015.5,3.1,14768.1,14115.7,4.6,8770.8,8617.9,1.8,13922.9,13368.2,4.1,6924.1,6716.9,3.1,4325.8,4229.8,2.3,3781.9,3796.7,-0.4,4362.1,4433.2,-1.6,8745.3,8764.8,-0.2,4504.6,4373.8,3.0,6689.7,6471.5,3.4,18475.4,19333.9,-4.4,52661.3,50210.3,4.9,30036.2,29588.1,1.5,5614.7,5486.4,2.3,19956.4,18780.1,6.3,47156.8,47654.4,-1.0,35043.4,35276.3,-0.7,31596.7,29972.1,5.4,29200.9,27573.0,5.9,46935.1,44279.3,6.0,45487.8,43117.9,5.5,75733.0,69157.0,9.5,17288.1,15000.4,15.3,90935.8,82409.7,10.3,126301.5,119034.3,6.1,11821.7,11146.7,6.1,1416.9,1362.9,4.0,4556.3,4190.2,8.7,2217.2,1923.6,15.3,73886.6,69289.7,6.6,54768.1,51175.8,7.0,7558.6,7475.8,1.1,11559.8,10638.1,8.7
2025年4月,927698.6,878890.2,5.6,53347.0,52087.1,2.4,35023.0,34409.8,1.8,4792.3,4908.8,-2.4,4301.3,4284.7,0.4,2880.2,2588.5,11.3,4601.3,4264.5,7.9,1744.3,1627.1,7.2,4.7,3.6,30.6,800849.5,758303.7,5.6,22790.0,21973.0,3.7,13443.2,13107.4,2.6,14652.0,14042.1,4.3,8778.9,8598.9,2.1,13839.5,13176.4,5.0,6849.8,6628.9,3.3,4265.3,4123.9,3.4,3757.7,3762.1,-0.1,4323.5,4407.2,-1.9,8747.8,8837.3,-1.0,4477.8,4336.5,3.3,6709.7,6482.6,3.5,18338.2,19260.9,-4.8,52202.6,50076.3,4.2,29853.3,29703.7,0.5,5571.0,5463.5,2.0,19718.9,18492.1,6.6,46802.4,47291.2,-1.0,35817.1,34528.3,3.7,31294.8,29077.6,7.6,28967.3,27154.0,6.7,46507.3,43861.9,6.0,45296.9,43049.6,5.2,75008.4,69019.6,8.7,17079.1,14799.7,15.4,89682.9,81598.1,9.9,126253.8,116990.3,7.9,11733.6,11084.0,5.9,1399.0,1315.4,6.4,4467.7,4162.4,7.3,2220.0,1898.5,16.9,73502.1,68499.4,7.3,54313.5,50489.6,7.6,7750.5,7491.0,3.5,11438.1,10518.8,8.7
2025年3月,920376.9,871476.6,5.6,52522.0,52069.0,0.9,34576.3,34349.8,0.7,4527.6,5067.5,-10.7,4289.0,4314.9,-0.6,2862.4,2462.2,16.3,4551.6,4274.3,6.5,1698.9,1584.5,7.2,16.2,15.8,2.5,794251.1,750625.4,5.8,22757.7,21945.6,3.7,13177.2,13001.3,1.4,14592.1,13897.3,5.0,8876.2,8696.1,2.1,13813.7,13004.0,6.2,6862.8,6587.8,4.2,4222.0,4117.1,2.5,3726.6,3694.5,0.9,4347.6,4398.6,-1.2,8784.1,8784.3,0.0,4473.3,4329.8,3.3,6679.8,6515.1,2.5,18395.5,19238.3,-4.4,52041.2,49498.0,5.1,30002.2,29719.4,1.0,5527.9,5407.2,2.2,19668.6,18335.3,7.3,46638.5,46999.6,-0.8,35890.6,33999.5,5.6,30828.5,28472.4,8.3,28602.6,26674.1,7.2,46333.9,43800.5,5.8,44764.4,42245.0,6.0,74129.8,68179.2,8.7,16618.7,14401.6,15.4,89178.9,80881.7,10.3,123437.9,115458.8,6.9,11662.2,11054.6,5.5,1396.9,1294.6,7.9,4481.1,4028.1,11.2,2338.4,1966.2,18.9,73603.8,68782.2,7.0,54710.0,50908.4,7.5,7518.5,7410.0,1.5,11375.4,10463.8,8.7
2025年2月,902428.2,860818.4,4.8,51164.5,51846.4,-1.3,33701.5,34523.2,-2.4,4263.7,4825.6,-11.6,4208.8,4246.5,-0.9,2788.5,2482.2,12.3,4450.7,4175.5,6.6,1735.9,1578.2,10.0,15.4,15.2,1.3,778670.4,741563.5,5.0,22285.5,21326.5,4.5,13320.9,13237.3,0.6,14164.5,13495.5,5.0,8643.4,8356.0,3.4,13566.8,12741.4,6.5,6832.8,6517.7,4.8,4212.5,4066.0,3.6,3669.4,3624.1,1.2,4245.0,4354.3,-2.5,8744.0,8541.4,2.4,4374.9,4248.0,3.0,6566.9,6288.2,4.4,18452.5,19146.6,-3.6,51119.0,48426.5,5.6,29599.1,29165.7,1.5,5395.1,5228.7,3.2,19330.0,18034.3,7.2,45988.5,46278.2,-0.6,35157.6,33739.5,4.2,29846.7,27660.9,7.9,28078.9,26189.7,7.2,45463.1,43743.2,3.9,43867.2,41539.9,5.6,71968.1,66305.1,8.5,16131.5,14156.5,14.0,86484.2,79944.6,8.2,121749.6,117250.1,3.8,11494.9,10902.6,5.4,1396.4,1277.4,9.3,4246.2,3825.2,11.0,2275.1,1952.5,16.5,72593.2,67408.5,7.7,53782.3,49661.8,8.3,7589.5,7429.9,2.1,11221.5,10316.9,8.8
2024年12月,908946.1,870548.7,4.4,51290.7,51518.0,-0.4,34106.8,34472.5,-1.1,3891.6,4247.7,-8.4,4154.8,4152.1,0.1,2681.8,2501.5,7.2,4494.0,4256.0,5.6,1957.4,1883.6,3.9,4.3,4.5,-4.4,786255.8,752194.4,4.5,22671.2,22360.6,1.4,13003.9,12258.8,6.1,14757.2,13829.3,6.7,7610.1,7506.4,1.4,14083.5,13289.5,6.0,7290.1,7016.0,3.9,4367.8,4304.3,1.5,3928.3,3894.3,0.9,4564.0,4490.8,1.6,8633.2,8469.7,1.9,4567.6,4396.6,3.9,6712.0,6508.5,3.1,17752.9,18784.6,-5.5,50084.0,48545.6,3.2,29302.9,28840.1,1.6,5248.1,5049.0,3.9,19506.7,18684.1,4.4,48416.9,48813.7,-0.8,34274.4,33512.8,2.3,29182.2,27857.7,4.8,28687.9,27212.5,5.4,45778.2,43691.9,4.8,44600.9,42461.8,5.0,74941.4,70213.7,6.7,16065.9,14168.1,13.4,86641.5,82195.8,5.4,124174.9,115484.4,7.5,11565.3,11053.1,4.6,1395.5,1329.7,4.9,4270.6,4007.8,6.6,2176.6,1963.1,10.9,71399.6,66836.3,6.8,53437.8,49732.1,7.5,7171.2,7250.7,-1.1,10790.7,9853.5,9.5
2024年11月,925158.8,890086.1,3.9,54505.9,54955.5,-0.8,35568.9,36390.3,-2.3,4910.5,5145.6,-4.6,4391.8,4328.3,1.5,2807.4,2589.7,8.4,4533.8,4263.1,6.3,2288.7,2232.6,2.5,4.7,5.9,-20.3,799671.1,768279.1,4.1,22816.8,22922.3,-0.5,13068.0,12960.1,0.8,14698.0,13916.1,5.6,8229.6,8542.3,-3.7,14082.7,13466.5,4.6,7421.7,7108.5,4.4,4459.2,4362.6,2.2,3949.6,3927.9,0.6,4622.3,4477.2,3.2,8826.2,8687.5,1.6,4572.0,4405.5,3.8,6793.4,6659.9,2.0,18412.0,19574.0,-5.9,52113.6,50249.9,3.7,29489.3,28983.5,1.7,5420.2,5172.3,4.8,19553.8,18775.8,4.1,48903.9,49316.3,-0.8,35423.1,35179.8,0.7,31268.7,29006.6,7.8,28848.1,27475.4,5.0,45891.4,44090.7,4.1,44655.3,42598.8,4.8,76542.6,70982.0,7.8,16217.3,14678.7,10.5,87445.6,83234.6,5.1,126542.6,119030.0,6.3,11471.8,11046.2,3.9,1392.7,1363.3,2.2,4254.0,4077.0,4.3,2285.8,2008.1,13.8,70981.8,66851.5,6.2,52706.3,49335.8,6.8,7480.2,7458.0,0.3,10795.2,10057.7,7.3
2024年10月,911192.8,879833.3,3.6,54190.0,54091.8,0.2,35588.4,36067.5,-1.3,4916.0,4989.7,-1.5,4258.9,4204.4,1.3,2774.2,2526.2,9.8,4397.1,4121.3,6.7,2251.0,2177.0,3.4,4.5,5.8,-22.4,787302.2,759703.9,3.6,22597.7,22505.2,0.4,12853.5,13006.9,-1.2,14279.2,13711.7,4.1,8195.1,8941.8,-8.4,13991.2,13336.4,4.9,7370.4,7077.0,4.1,4405.5,4276.5,3.0,3918.9,3841.0,2.0,4470.1,4402.8,1.5,8793.9,8632.7,1.9,4517.3,4310.1,4.8,6796.3,6624.3,2.6,18429.8,19397.3,-5.0,51138.3,49535.5,3.2,29424.8,28649.7,2.7,5468.7,5182.1,5.5,19303.9,18486.6,4.4,48276.8,48548.8,-0.6,34169.2,34421.2,-0.7,31649.5,28832.9,9.8,28615.7,27404.6,4.4,45226.8,43499.6,4.0,44099.1,42358.7,4.1,74799.9,69865.0,7.1,15862.9,14448.6,9.8,85530.4,82368.3,3.8,123984.1,117839.2,5.2,11297.9,10856.2,4.1,1384.3,1348.0,2.7,4193.7,4036.0,3.9,2257.4,1959.3,15.2,69700.7,66037.5,5.5,51781.1,48923.3,5.8,7200.8,7189.2,0.2,10718.8,9925.0,8.0
2024年9月,902128.2,869590.4,3.7,54386.5,54182.3,0.4,35731.3,36477.8,-2.0,5057.6,4757.9,6.3,4296.0,4206.1,2.1,2764.3,2556.6,8.1,4365.4,4041.8,8.0,2167.7,2136.8,1.4,4.2,5.2,-19.2,778960.6,750409.4,3.8,22352.4,22276.3,0.3,12603.5,12654.5,-0.4,14311.8,13754.4,4.1,8696.7,8817.9,-1.4,13886.5,13196.1,5.2,7215.3,6968.5,3.5,4368.1,4198.9,4.0,3859.9,3787.2,1.9,4461.3,4307.9,3.6,8758.5,8562.9,2.3,4485.3,4261.9,5.2,6695.0,6542.8,2.3,18470.7,19346.3,-4.5,50622.0,49289.3,2.7,29421.0,28529.4,3.1,5421.0,5183.3,4.6,19107.8,18354.1,4.1,47901.5,48133.6,-0.5,34629.6,34392.3,0.7,31363.2,28756.9,9.1,28468.0,27097.7,5.1,44858.9,43033.7,4.2,43782.8,42058.2,4.1,72899.4,69088.2,5.5,15736.4,14272.7,10.3,84624.3,81142.2,4.3,121013.1,114381.4,5.8,11249.5,10774.2,4.4,1366.8,1334.8,2.4,4138.2,3982.6,3.9,2192.4,1929.3,13.6,68781.0,64998.7,5.8,51124.3,48264.5,5.9,7125.7,6966.1,2.3,10530.9,9768.1,7.8
2024年8月,895796.6,861996.3,3.9,53913.1,53756.7,0.3,35519.2,36042.9,-1.5,4949.2,4872.1,1.6,4252.4,4219.2,0.8,2703.8,2555.6,5.8,4282.2,3944.9,8.6,2201.9,2115.8,4.1,4.3,6.2,-30.6,772817.8,742674.9,4.1,22380.7,22232.8,0.7,12707.6,12734.6,-0.2,14276.7,13223.9,8.0,8635.5,8779.1,-1.6,13728.1,13050.0,5.2,7148.5,6920.0,3.3,4326.2,4204.2,2.9,3824.8,3773.0,1.4,4454.1,4293.2,3.7,8718.9,8606.6,1.3,4429.4,4221.5,4.9,6579.0,6395.0,2.9,18545.4,18953.1,-2.2,50525.8,48607.3,3.9,29153.9,28091.1,3.8,5521.8,5174.5,6.7,18972.9,18105.0,4.8,47703.8,47697.4,0.0,34621.6,33894.8,2.1,31046.7,28521.0,8.9,28356.8,26806.7,5.8,44596.4,42606.2,4.7,43501.6,41802.7,4.1,71516.7,68032.2,5.1,15572.5,14013.7,11.1,83702.1,79797.0,4.9,119568.9,114361.9,4.6,11113.0,10677.3,4.1,1365.5,1286.7,6.1,4087.8,3902.2,4.8,2135.0,1910.1,11.8,69065.6,65564.7,5.3,51564.2,49133.3,4.9,7118.9,6887.9,3.4,10382.5,9543.4,8.8
2024年7月,888313.1,849718.1,4.5,53386.4,53174.3,0.4,35300.4,36008.7,-2.0,4672.2,4580.1,2.0,4249.6,4118.1,3.2,2649.9,2514.3,5.4,4337.6,3899.9,11.2,2172.9,2047.2,6.1,3.8,6.0,-36.7,766667.0,731594.5,4.8,22068.8,21965.5,0.5,12446.0,12354.1,0.7,14483.5,13335.2,8.6,8761.1,8758.2,0.0,13560.4,12846.4,5.6,7041.5,6768.7,4.0,4284.0,4117.7,4.0,3796.9,3740.4,1.5,4436.6,4241.2,4.6,8751.9,8534.5,2.5,4420.3,4161.0,6.2,6491.8,6299.5,3.1,18689.3,18690.5,0.0,50129.4,47973.9,4.5,29171.9,28150.3,3.6,5463.8,5051.5,8.2,18849.0,17837.3,5.7,47574.5,47223.1,0.7,35110.2,33311.8,5.4,30886.3,28209.9,9.5,28041.8,26472.8,5.9,44416.1,42104.9,5.5,43289.4,41239.1,5.0,70326.1,66802.4,5.3,15268.0,13667.7,11.7,82935.4,78572.7,5.6,117341.1,111629.6,5.1,11067.1,10487.4,5.5,1357.5,1274.4,6.5,4103.2,3851.0,6.5,2104.0,1922.0,9.5,68259.7,64949.3,5.1,50979.7,48705.7,4.7,6969.7,6801.9,2.5,10310.3,9441.7,9.2
