时间,发动机产量_当期值,发动机产量_累计值,发动机产量_同比增长,发动机产量_累计增长
2025年6月,19618.10007,115617.32718,8.8,0.7
2025年5月,18367.8,95955.9,1.9,-0.3
2025年4月,19199.7,77867.8,-2.5,-0.7
2025年3月,23354.9845,58618.58846,-4.6,-0.6
2025年2月,,35239.4,,2.0
2024年9月,19384.5865,168648.32575,-15.1,-3.2
2024年8月,18265.70985,149699.10097,-8.0,-1.2
2024年7月,19952.43651,133875.40293,8.0,0.9
2024年6月,17907.87132,113947.74506,-9.4,0.8
2024年12月,24068.10881,237766.77648,12.9,-1.5
2024年11月,23605.90601,213932.25115,0.2,-2.9
2024年10月,19693.22608,190293.3532,-11.5,-3.1
