时间,大白菜（中等）集贸市场价格_当期值,大白菜（中等）集贸市场价格_环比增长,大白菜（中等）集贸市场价格_同比增长,黄瓜（中等）集贸市场价格_当期值,黄瓜（中等）集贸市场价格_环比增长,黄瓜（中等）集贸市场价格_同比增长,西红柿（中等）集贸市场价格_当期值,西红柿（中等）集贸市场价格_环比增长,西红柿（中等）集贸市场价格_同比增长,菜椒（中等）集贸市场价格_当期值,菜椒（中等）集贸市场价格_环比增长,菜椒（中等）集贸市场价格_同比增长,四季豆（中等）集贸市场价格_当期值,四季豆（中等）集贸市场价格_环比增长,四季豆（中等）集贸市场价格_同比增长
2025年6月,2.73377617,7.02206728,-7.86740814,4.71108696,-2.18902329,1.06486301,5.60488782,-8.17581662,7.07146494,6.64083333,-5.42533919,2.36062019,9.86117021,1.65692773,10.04587625
2025年5月,2.55440419,-2.35194797,-17.98386549,4.81652174,-15.19943751,4.65192841,6.10393429,-14.07971108,-10.24077033,7.02178922,-10.99582871,-2.77488107,9.70044092,-17.11485164,2.65577
2025年4月,2.61592949,9.81133472,-20.68614738,5.67982287,-14.47112883,-4.07862295,7.10418269,-4.38227161,0.71759477,7.88928105,-2.52005249,-3.20976512,11.70347295,-7.79973531,-5.12926928
2025年3月,2.38220353,-0.6586026,-21.00705109,6.64082524,2.31596685,-9.09560047,7.42977564,-0.49770677,4.91217951,8.09323481,3.545761,-10.29801813,12.69353509,1.21013232,-12.72357619
2025年2月,2.39799679,-6.04180664,-14.84839959,6.49050725,-17.56088432,-18.85591694,7.4669391,-5.88262623,-12.73873584,7.81609477,-15.01516251,-21.33499112,12.54176316,-9.50558946,-13.63723506
2025年1月,2.55219551,2.3831367,7.81722801,7.87309179,17.09241235,1.75377465,7.93364583,4.46900125,-10.35132985,9.1970462,9.7594702,5.62362453,13.8591578,13.98184277,11.93575577
2024年12月,2.49278894,-6.64207162,5.31867463,6.72382747,-3.28167071,-15.3065821,7.59425833,-7.59884614,-12.15729178,8.3792735,-4.75841206,3.28521521,12.15909259,4.54721328,-2.40014172
2024年11月,2.67,-21.4705882353,12.1848739496,6.95,11.5569823435,-7.9470198675,8.22,-13.5646687697,17.5965665236,8.79,-16.4448669202,29.6460176991,11.63,-1.273344652,-2.8404344194
2024年10月,3.4,-19.4312796209,19.298245614,6.23,-14.0689655172,0.4838709677,9.51,-1.7561983471,48.59375,10.52,-5.0541516245,54.9337260677,11.78,-8.8235294118,3.1523642732
2024年9月,4.22,0.7159904535,27.8787878788,7.25,-3.2042723632,19.4398682043,9.68,34.4444444444,62.1440536013,11.08,28.68757259,58.9670014347,12.92,5.2117263844,16.8173598553
2024年8月,4.19,35.1612903226,25.0746268657,7.49,14.1768292683,46.2890625,7.2,26.9841269841,26.3157894737,8.61,16.1943319838,29.2792792793,12.28,24.9237029502,18.418514947
2024年7月,3.1,4.3771043771,-7.1856287425,6.56,40.7725321888,38.9830508475,5.67,8.413001912,-5.9701492537,7.41,14.1756548536,8.9705882353,9.83,9.7098214286,-3.1527093596
2024年6月,2.97,-4.501607717,-12.1301775148,4.66,1.3043478261,-1.2711864407,5.23,-23.0882352941,-13.4105960265,6.49,-10.1108033241,-8.7201125176,8.96,-5.1851851852,-10.3103103103
