时间,铁路运输设备制造工业生产者出厂价格指数(上年同月=100),城市轨道交通设备制造工业生产者出厂价格指数(上年同月=100),船舶及相关装置制造工业生产者出厂价格指数(上年同月=100),航空、航天器及设备制造工业生产者出厂价格指数(上年同月=100),摩托车制造工业生产者出厂价格指数(上年同月=100),自行车和残疾人座车制造工业生产者出厂价格指数(上年同月=100),助动车制造工业生产者出厂价格指数(上年同月=100),非公路休闲车及零配件制造工业生产者出厂价格指数(上年同月=100),潜水救捞及其他未列明运输设备制造工业生产者出厂价格指数(上年同月=100)
2025年6月,99.5,100.1,100.6,101.1,99.5,100.5,99.5,97.1,103.5
2025年5月,99.5,99.6,100.6,102.5,100.0,100.2,99.2,97.5,103.2
2025年4月,99.7,99.4,100.8,101.3,100.3,100.0,99.0,97.5,100.4
2025年3月,99.6,99.6,100.7,102.0,100.0,100.1,99.2,95.3,100.0
2025年2月,100.3,99.7,100.8,102.5,100.0,100.2,99.0,100.8,101.6
2025年1月,100.0,99.0,100.9,103.6,99.6,100.1,98.4,100.9,99.9
2024年9月,101.0,98.8,100.8,103.6,99.6,99.3,98.7,101.8,99.6
2024年8月,101.1,99.1,100.8,104.4,99.8,99.3,98.7,101.6,98.4
2024年7月,101.1,99.4,100.6,102.6,99.5,100.0,99.1,101.2,100.0
2024年6月,99.8,99.0,100.5,103.3,99.6,100.1,98.3,101.4,97.7
2024年12月,100.4,99.1,100.4,102.3,99.6,99.9,98.1,100.7,101.0
2024年11月,100.7,99.0,100.5,102.7,99.6,99.3,97.7,101.7,100.1
2024年10月,100.5,98.9,100.7,103.0,99.5,99.0,98.1,101.8,100.4
