时间,国有控股企业增加值_同比增长,国有控股企业增加值_累计增长,私营企业增加值_同比增长,私营企业增加值_累计增长,股份制企业增加值_同比增长,股份制企业增加值_累计增长,外商及港澳台投资企业增加值_同比增长,外商及港澳台投资企业增加值_累计增长
2025年6月,5.7,4.2,6.2,6.7,7.1,6.9,5.5,4.3
2025年5月,3.8,3.9,5.9,6.8,6.3,6.9,3.9,4.0
2025年4月,2.9,3.9,6.7,7.1,6.6,7.1,3.9,4.0
2025年3月,5.3,4.2,8.2,7.3,8.3,7.2,5.2,4.0
2025年2月,,3.7,,6.7,,6.6,,3.2
2024年9月,3.9,4.3,5.6,5.5,6.2,6.1,2.4,3.9
2024年8月,3.6,4.3,4.5,5.5,5.0,6.1,2.8,4.1
2024年7月,3.5,4.4,5.2,5.6,5.4,6.3,4.2,4.3
2024年6月,3.0,4.6,5.7,5.7,5.9,6.5,2.9,4.3
2024年12月,3.1,4.2,5.7,5.3,6.5,6.1,5.6,4.0
2024年11月,3.9,4.3,4.5,5.3,6.0,6.1,3.4,3.8
2024年10月,3.8,4.3,4.8,5.4,5.9,6.1,2.9,3.8
