时间,籼稻（中等）集贸市场价格_当期值,籼稻（中等）集贸市场价格_环比增长,籼稻（中等）集贸市场价格_同比增长,粳稻（中等）集贸市场价格_当期值,粳稻（中等）集贸市场价格_环比增长,粳稻（中等）集贸市场价格_同比增长,小麦（中等）集贸市场价格_当期值,小麦（中等）集贸市场价格_环比增长,小麦（中等）集贸市场价格_同比增长,玉米（中等）集贸市场价格_当期值,玉米（中等）集贸市场价格_环比增长,玉米（中等）集贸市场价格_同比增长,大豆（中等）集贸市场价格_当期值,大豆（中等）集贸市场价格_环比增长,大豆（中等）集贸市场价格_同比增长,籼米（中等）集贸市场价格_当期值,籼米（中等）集贸市场价格_环比增长,籼米（中等）集贸市场价格_同比增长,粳米（中等）集贸市场价格_当期值,粳米（中等）集贸市场价格_环比增长,粳米（中等）集贸市场价格_同比增长
2025年6月,2.94333333,0.2768117,-1.96966295,3.19040161,0.51941972,-3.89980687,2.8027284,-0.59493093,-3.45952434,2.52437729,1.51688683,-2.31313489,7.21554101,0.09090359,-3.08987922,5.25309524,0.07200485,-0.91944841,5.82994759,0.21875332,-0.58912226
2025年5月,2.93520833,-0.1842012,-1.26481908,3.17391566,0.13176816,-5.22833106,2.81950249,0.2148189,-4.26180908,2.48665751,1.40487936,-2.76998987,7.20898778,0.23160702,-3.72865388,5.24931548,-0.17884127,-0.03570619,5.81722222,0.1736459,-0.50763507
2025年4月,2.940625,0.08863677,-2.00886095,3.16973896,0.10971588,-5.58118655,2.81345865,-0.04229572,-6.26387166,2.45220696,1.15708036,-4.15152948,7.19232984,0.01334739,-4.36947682,5.25872024,0.1686551,-0.69148203,5.80713836,0.12908475,-0.83118201
2025年3月,2.93802083,0.05138088,-2.33971695,3.16626506,0.20958708,-5.76407567,2.81464912,0.17929859,-7.68252201,2.42415751,2.15171605,-7.05380279,7.19136998,0.30781327,-5.12035569,5.24986607,0.25405161,-1.25703857,5.7996519,-0.05289967,-1.18080359
2025年2月,2.93651203,-0.22418252,-2.23107018,3.15964286,0.21585496,-5.90405284,2.80961153,0.13666755,-9.17164959,2.37309524,1.10215085,-10.16113962,7.16930192,-0.1358907,-5.76344604,5.2365625,-0.14811914,-1.60668082,5.80272152,-0.2183921,-1.06588301
2025年1月,2.94310997,0.37258153,-2.12249084,3.1528373,-1.20613735,-5.84530243,2.80577694,-0.30719018,-9.68916756,2.34722527,0.08467413,-12.13167233,7.17905759,-0.21766076,-5.86732313,5.24433036,-0.06314974,-1.76001162,5.81542194,0.16803022,-1.34992467
2024年12月,2.93218519,-0.0473446,-3.00224139,3.19132911,-0.64107196,-5.48815873,2.81442257,-0.49552956,-10.75150271,2.34523946,-1.44862785,-14.91217256,7.19471767,-0.70438822,-6.38882799,5.24764423,-0.10280973,-1.73492105,5.80566667,-0.13989703,-1.40730003
2024年11月,2.93,0.0,-2.657807309,3.21,-1.2307692308,-5.5882352941,2.83,-0.3521126761,-10.7255520505,2.38,-0.8333333333,-15.6028368794,7.25,-0.956284153,-6.0880829016,5.25,-0.1901140684,-1.5009380863,5.82,-0.1715265866,-1.1884550085
2024年10月,2.93,-0.6779661017,-2.3333333333,3.25,-1.5151515152,-2.9850746269,2.84,0.0,-10.6918238994,2.4,-2.4390243902,-16.0839160839,7.32,-1.3477088949,-5.4263565891,5.26,-0.1897533207,-1.3133208255,5.83,-0.3418803419,-0.6814310051
2024年9月,2.95,-0.3378378378,-0.6734006734,3.3,-0.6024096386,0.0,2.84,-0.350877193,-10.4100946372,2.46,-2.766798419,-16.3265306122,7.42,-0.8021390374,-5.1150895141,5.27,-0.1893939394,-0.9398496241,5.85,-0.1706484642,0.1712328767
2024年8月,2.96,-0.3367003367,0.0,3.32,0.3021148036,1.2195121951,2.85,-0.6968641115,-9.2356687898,2.53,-1.9379844961,-14.527027027,7.48,0.2680965147,-4.1025641026,5.28,-0.1890359168,-0.5649717514,5.86,-0.1703577513,0.6872852234
2024年7月,2.97,-1.0,0.6779661017,3.31,-0.3012048193,1.5337423313,2.87,-1.0344827586,-7.1197411003,2.58,0.0,-11.3402061856,7.46,0.1342281879,-4.1131105398,5.29,-0.1886792453,-0.5639097744,5.87,0.1706484642,1.0327022375
2024年6月,3.0,-0.3322259136,1.3513513514,3.32,-0.8955223881,2.1538461538,2.9,-1.6949152542,-6.1488673139,2.58,0.78125,-10.4166666667,7.45,-0.5340453939,-4.1184041184,5.3,0.0,-0.3759398496,5.86,0.1709401709,1.0344827586
