时间,房地产施工面积_累计值,房地产施工面积_累计增长,房地产新开工施工面积_累计值,房地产新开工施工面积_累计增长,房地产竣工面积_累计值,房地产竣工面积_累计增长
2025年6月,633321.43,-9.1,30364.32,-20.0,22566.61,-14.8
2025年5月,625019.54,-9.2,23183.61,-22.8,18385.14,-17.3
2025年4月,620315.05,-9.7,17835.84,-23.8,15647.85,-16.9
2025年3月,613705.444,-9.5,12996.4559,-24.4,13060.2722,-14.3
2025年2月,605972.3457,-9.1,6613.94,-29.6,8764.211,-15.6
2024年9月,715967.5875,-12.2,56050.7507,-22.2,36815.5602,-24.4
2024年8月,709420.4975,-12.0,49464.8918,-22.5,33393.562,-23.6
2024年7月,703285.7363,-12.1,43732.8861,-23.2,30016.5207,-21.8
2024年6月,696817.8464,-12.0,38022.5271,-23.7,26518.8902,-21.8
2024年12月,733247.3576,-12.7,73892.8408,-23.0,73743.211,-27.7
2024年11月,726013.914,-12.7,67308.4425,-23.0,48151.7102,-26.2
2024年10月,720659.8008,-12.4,61226.9266,-22.6,41995.1456,-23.9
