时间,基础化学原料制造工业生产者出厂价格指数(上年同月=100),肥料制造工业生产者出厂价格指数(上年同月=100),农药制造工业生产者出厂价格指数(上年同月=100),涂料、油墨、颜料及类似产品制造工业生产者出厂价格指数(上年同月=100),合成材料制造工业生产者出厂价格指数(上年同月=100),专用化学产品制造工业生产者出厂价格指数(上年同月=100),炸药、火工及焰火产品制造工业生产者出厂价格指数(上年同月=100),日用化学产品制造工业生产者出厂价格指数(上年同月=100)
2025年6月,91.7,96.3,96.0,96.7,90.4,96.9,97.7,99.3
2025年5月,92.9,96.8,95.3,96.9,91.5,97.7,97.5,99.5
2025年4月,95.2,96.3,94.9,97.2,93.6,98.1,99.1,99.1
2025年3月,96.0,92.2,94.8,97.0,95.6,98.7,99.2,99.4
2025年2月,96.5,88.9,94.1,97.6,96.3,98.8,99.2,99.3
2025年1月,96.1,87.4,93.7,97.0,96.2,98.6,99.1,98.7
2024年9月,94.4,93.8,91.9,96.6,96.3,97.1,100.8,100.1
2024年8月,99.3,97.7,91.8,97.4,100.3,97.9,102.3,99.9
2024年7月,102.5,100.4,91.6,97.4,101.7,97.7,102.5,99.7
2024年6月,101.3,97.1,90.1,97.1,100.9,97.5,102.3,99.9
2024年12月,95.0,87.2,91.7,95.3,95.7,97.9,99.5,98.7
2024年11月,93.8,88.1,91.4,97.0,95.5,97.3,99.4,99.6
2024年10月,91.7,90.6,90.9,97.1,95.2,96.6,100.4,100.1
