时间,办公楼销售额_累计值,办公楼销售额_累计增长,办公楼现房销售额_累计值,办公楼现房销售额_累计增长,办公楼期房销售额_累计值,办公楼期房销售额_累计增长
2025年6月,1496.76,-4.2,775.2,4.3,721.56,-12.0
2025年5月,1032.78,-10.8,552.32,-1.6,480.45,-19.4
2025年4月,838.69,-12.3,440.09,-6.0,398.6,-18.3
2025年3月,661.3737,-12.6,358.2754,5.0,303.0983,-27.0
2025年2月,247.0281,-25.5,150.8644,-8.1,96.1637,-42.5
2024年9月,2303.7338,-12.7,1120.8882,3.4,1182.8456,-24.0
2024年8月,1934.2268,-13.0,914.1254,-0.7,1020.1014,-21.7
2024年7月,1721.7105,-10.4,814.5186,5.4,907.1919,-21.0
2024年6月,1566.8767,-9.0,744.5425,7.6,822.3342,-20.2
2024年12月,3207.6377,-14.3,1577.6954,-5.0,1629.9423,-21.7
2024年11月,2687.9534,-13.0,1359.9323,3.7,1328.0211,-25.2
2024年10月,2468.6206,-12.8,1225.5024,3.9,1243.1182,-24.8
