时间,农村居民消费价格指数(上年同期=100),食品烟酒类农村居民消费价格指数(上年同期=100),衣着类农村居民消费价格指数(上年同期=100),居住类农村居民消费价格指数(上年同期=100),生活用品及服务类农村居民消费价格指数(上年同期=100),交通通信类农村居民消费价格指数(上年同期=100),教育文化娱乐类农村居民消费价格指数(上年同期=100),医疗保健类农村居民消费价格指数(上年同期=100),其他用品及服务类农村居民消费价格指数(上年同期=100)
2025年6月,99.7,99.3,100.9,99.8,100.0,97.3,101.0,100.7,106.0
2025年5月,99.7,99.3,100.9,99.7,99.8,97.5,101.0,100.6,105.8
2025年4月,99.7,99.2,100.9,99.7,99.7,97.9,101.0,100.5,105.6
2025年3月,99.8,99.1,100.9,99.7,99.5,98.4,101.0,100.5,105.5
2025年2月,99.8,99.1,100.8,99.8,98.8,98.8,101.0,100.6,105.3
2025年1月,100.3,100.3,100.8,99.8,98.6,99.4,101.3,100.8,104.9
2024年9月,100.3,99.6,100.9,100.3,101.1,99.1,101.7,101.6,103.4
2024年8月,100.3,99.2,100.9,100.3,101.2,99.4,101.8,101.6,103.4
2024年7月,100.2,98.8,100.9,100.3,101.3,99.6,101.8,101.6,103.4
2024年6月,100.2,98.6,100.9,100.3,101.4,99.6,101.8,101.6,103.3
2024年12月,100.3,99.9,100.9,100.1,100.8,98.5,101.6,101.5,103.6
2024年11月,100.3,99.9,100.9,100.2,100.9,98.5,101.6,101.5,103.6
2024年10月,100.3,99.8,100.9,100.2,101.0,98.7,101.6,101.5,103.4
