时间,锅炉及原动设备制造工业生产者出厂价格指数(上年同月=100),金属加工机械制造工业生产者出厂价格指数(上年同月=100),物料搬运设备制造工业生产者出厂价格指数(上年同月=100),泵、阀门、压缩机及类似机械制造工业生产者出厂价格指数(上年同月=100),轴承、齿轮和传动部件制造工业生产者出厂价格指数(上年同月=100),烘炉、风机、包装等设备制造工业生产者出厂价格指数(上年同月=100),文化、办公用机械制造工业生产者出厂价格指数(上年同月=100),通用零部件制造工业生产者出厂价格指数(上年同月=100),其他通用设备制造工业生产者出厂价格指数(上年同月=100)
2025年6月,99.2,99.4,96.7,99.6,98.4,98.9,97.3,97.3,99.6
2025年5月,99.0,99.5,97.0,99.8,98.5,99.0,97.6,97.5,99.7
2025年4月,98.9,99.3,97.0,100.0,98.2,99.3,98.6,97.8,99.2
2025年3月,99.3,99.1,96.8,99.9,98.2,98.7,98.9,97.6,99.0
2025年2月,99.6,99.4,97.3,99.5,98.4,98.7,98.7,97.7,99.5
2025年1月,99.8,99.2,98.0,99.4,98.1,98.8,98.8,98.2,98.9
2024年9月,100.0,99.3,97.6,99.7,97.9,98.8,97.6,99.7,99.5
2024年8月,100.2,98.8,97.4,99.9,97.8,99.0,97.3,100.0,98.9
2024年7月,100.3,98.8,97.7,99.6,97.9,99.0,97.5,98.9,98.8
2024年6月,101.0,98.5,97.9,99.4,98.1,99.2,99.4,99.0,99.0
2024年12月,99.8,99.4,98.5,99.5,98.1,98.6,98.5,98.7,98.9
2024年11月,99.9,99.6,98.5,99.3,98.1,98.7,97.6,99.0,98.2
2024年10月,99.9,99.7,97.8,99.6,97.9,98.8,96.9,99.7,99.3
