时间,生活资料工业生产者出厂价格指数(上年同期=100),食品类工业生产者出厂价格指数(上年同期=100),衣着类工业生产者出厂价格指数(上年同期=100),一般日用品类工业生产者出厂价格指数(上年同期=100),耐用消费品类工业生产者出厂价格指数(上年同期=100)
2025年6月,98.6,98.5,99.9,100.7,97.0
2025年5月,98.6,98.5,99.9,100.7,96.9
2025年4月,98.6,98.5,99.8,100.7,97.0
2025年3月,98.7,98.5,99.8,100.7,97.2
2025年2月,98.8,98.5,99.8,100.7,97.5
2025年1月,98.8,98.6,99.9,100.5,97.4
2024年12月,98.9,98.9,99.9,100.0,97.8
2024年11月,98.9,98.9,99.9,100.0,97.9
2024年10月,99.0,99.0,100.0,100.0,97.9
2024年9月,99.0,99.1,100.0,99.9,98.0
2024年8月,99.1,99.1,100.1,100.0,98.0
2024年7月,99.1,99.2,100.1,100.0,98.0
2024年6月,99.1,99.2,100.2,100.0,98.0
