时间,工业生产者购进价格指数(上年同月=100),燃料、动力类购进价格指数(上年同月=100),黑色金属材料类购进价格指数(上年同月=100),有色金属材料和电线类购进价格指数(上年同月=100),化工原料类购进价格指数(上年同月=100),木材及纸浆类购进价格指数(上年同月=100),建筑材料及非金属矿类购进价格指数(上年同月=100),其它工业原材料及半成品类购进价格指数(上年同月=100),农副产品类购进价格指数(上年同月=100),纺织原料类购进价格指数(上年同月=100)
2025年6月,95.7,89.6,92.0,102.4,93.8,95.8,97.4,98.0,95.8,97.6
2025年5月,96.4,90.2,92.7,104.6,94.6,96.1,98.9,98.2,97.4,97.5
2025年4月,97.3,92.3,93.3,108.5,95.9,96.9,98.6,98.4,97.1,97.7
2025年3月,97.6,93.2,92.2,110.8,96.6,97.3,97.9,98.4,97.0,98.0
2025年2月,97.7,95.0,91.2,111.1,96.1,97.6,97.7,98.4,96.5,98.3
2025年1月,97.7,94.8,91.1,110.9,95.9,97.5,97.7,98.6,96.7,98.6
2024年9月,97.8,95.9,93.2,107.4,96.7,99.9,95.8,98.3,96.2,98.3
2024年8月,99.2,99.0,95.9,109.1,99.4,100.3,95.6,98.6,97.1,99.0
2024年7月,99.9,100.5,97.4,111.3,100.6,99.9,94.8,98.6,98.1,99.5
2024年6月,99.5,99.4,97.7,111.3,99.3,99.3,93.1,98.7,97.6,99.8
2024年12月,97.7,94.1,92.1,111.4,95.3,97.7,97.7,98.7,96.1,98.4
2024年11月,97.5,93.5,92.9,111.0,95.0,98.0,97.3,98.5,96.2,98.3
2024年10月,97.3,93.8,93.1,109.3,94.7,99.0,95.9,98.3,95.5,98.1
