时间,办公楼销售面积_累计值,办公楼销售面积_累计增长,办公楼现房销售面积_累计值,办公楼现房销售面积_累计增长,办公楼期房销售面积_累计值,办公楼期房销售面积_累计增长
2025年6月,1159.79,-3.0,584.62,6.3,575.18,-10.9
2025年5月,810.17,-7.4,427.57,5.0,382.6,-18.3
2025年4月,663.54,-6.7,345.24,5.3,318.31,-17.0
2025年3月,515.6421,-10.6,274.847,10.0,240.7951,-26.4
2025年2月,189.2707,-29.5,111.2102,-15.9,78.0605,-42.6
2024年9月,1757.0799,-9.8,835.5866,4.9,921.4933,-20.0
2024年8月,1490.1882,-9.2,690.2481,2.2,799.9401,-17.1
2024年7月,1327.2541,-6.9,608.8477,5.6,718.4064,-15.5
2024年6月,1201.5376,-4.8,552.1464,9.1,649.3912,-14.1
2024年12月,2402.814,-11.5,1192.8058,3.7,1210.0082,-22.7
2024年11月,2080.7789,-8.8,1031.876,9.7,1048.9029,-21.7
2024年10月,1891.0103,-9.9,915.093,6.2,975.9173,-21.2
