时间,工业生产者购进价格指数(上月=100),燃料、动力类购进价格指数(上月=100),黑色金属材料类购进价格指数(上月=100),有色金属材料和电线类购进价格指数(上月=100),化工原料类购进价格指数(上月=100),木材及纸浆类购进价格指数(上月=100),建筑材料及非金属矿类购进价格指数(上月=100),其它工业原材料及半成品类购进价格指数(上月=100),农副产品类购进价格指数(上月=100),纺织原料类购进价格指数(上月=100)
2025年6月,99.3,98.0,98.9,100.3,99.3,99.6,98.5,99.8,99.5,99.9
2025年5月,99.4,97.9,99.4,99.9,98.8,99.5,99.8,99.8,100.0,99.6
2025年4月,99.4,97.7,99.4,100.7,99.3,99.4,99.6,99.8,99.8,99.8
2025年3月,99.8,98.8,99.4,100.5,100.5,99.7,99.6,99.8,99.9,99.9
2025年2月,99.8,99.9,99.9,100.2,100.0,99.9,99.5,99.7,99.3,99.8
2025年1月,99.8,99.9,99.7,99.9,99.8,99.8,99.9,99.9,99.6,99.8
2024年9月,99.2,98.6,97.6,99.4,98.9,99.6,99.2,99.8,99.6,99.5
2024年8月,99.4,99.5,98.1,98.3,99.2,99.7,99.5,99.8,100.7,99.7
2024年7月,99.9,99.8,99.4,100.3,99.8,99.7,99.9,99.9,100.4,99.9
2024年6月,100.1,98.7,99.5,102.4,100.2,100.0,100.0,100.0,101.3,99.8
2024年12月,99.9,100.2,99.8,100.3,99.6,99.8,100.7,100.0,99.0,99.9
2024年11月,99.9,99.6,100.1,101.2,99.4,99.6,101.6,99.9,99.3,99.8
2024年10月,99.7,99.2,100.1,101.5,98.9,99.5,99.8,99.9,98.6,99.9
