时间,焙烤食品制造工业生产者出厂价格指数(上年同月=100),糖果、巧克力及蜜饯制造工业生产者出厂价格指数(上年同月=100),方便食品制造工业生产者出厂价格指数(上年同月=100),乳制品制造工业生产者出厂价格指数(上年同月=100),罐头食品制造工业生产者出厂价格指数(上年同月=100),调味品、发酵制品制造工业生产者出厂价格指数(上年同月=100),其他食品制造工业生产者出厂价格指数(上年同月=100)
2025年6月,99.6,99.5,98.8,98.5,98.3,98.3,99.2
2025年5月,98.9,99.6,98.6,99.2,99.1,98.4,99.2
2025年4月,98.9,99.2,98.6,99.6,99.0,98.6,99.7
2025年3月,99.0,99.1,98.9,98.8,99.1,98.1,99.3
2025年2月,98.8,98.8,99.0,97.4,98.7,97.2,98.5
2025年1月,98.9,99.2,98.8,97.9,98.9,96.5,97.9
2024年12月,99.0,99.9,98.7,98.2,98.8,96.4,98.4
2024年11月,98.6,99.5,99.4,98.1,99.1,96.5,97.7
2024年10月,98.9,99.4,99.6,97.8,99.4,96.0,97.9
2024年9月,98.8,99.4,99.7,97.3,99.7,96.7,98.2
2024年8月,98.9,99.4,100.1,97.0,99.7,97.0,98.6
2024年7月,99.5,99.7,100.2,97.6,100.6,96.9,98.8
2024年6月,99.4,99.8,100.6,98.5,101.2,96.3,98.3
