时间,粮食类农村居民消费价格指数(上月=100),畜肉类农村居民消费价格指数(上月=100),蛋类农村居民消费价格指数(上月=100),水产品类农村居民消费价格指数(上月=100),鲜菜类农村居民消费价格指数(上月=100),鲜果类农村居民消费价格指数(上月=100)
2025年6月,99.9,99.3,96.8,101.1,100.2,96.3
2025年5月,100.0,99.8,98.9,100.7,93.3,103.0
2025年4月,100.0,99.6,98.9,100.8,98.9,102.6
2025年3月,100.0,97.1,96.6,99.4,95.1,98.4
2025年2月,100.0,99.4,94.0,101.2,96.3,101.7
2025年1月,99.9,100.5,99.5,102.4,105.3,103.1
2024年12月,99.9,97.8,100.4,99.4,97.4,99.0
2024年11月,99.7,97.6,99.0,98.7,86.1,97.1
2024年10月,99.8,97.7,97.7,98.6,97.9,99.4
2024年9月,100.1,100.2,102.5,99.6,104.5,102.7
2024年8月,100.0,104.5,103.1,100.4,118.7,103.5
2024年7月,99.7,101.2,104.1,100.4,108.9,99.2
2024年6月,99.9,105.5,101.8,100.0,91.8,95.9
