时间,农林牧渔业民间固定资产投资_累计增长,采矿业民间固定资产投资_累计增长,煤炭开采和洗选业民间固定资产投资_累计增长,石油和天然气开采业民间固定资产投资_累计增长,黑色金属矿采选业民间固定资产投资_累计增长,有色金属矿采选业民间固定资产投资_累计增长,非金属矿采选业民间固定资产投资_累计增长,制造业民间固定资产投资_累计增长,非金属矿物制品业民间固定资产投资_累计增长,黑色金属冶炼和压延加工业民间固定资产投资_累计增长,有色金属冶炼和压延加工业民间固定资产投资_累计增长,通用设备制造业民间固定资产投资_累计增长,专用设备制造业民间固定资产投资_累计增长,汽车制造业民间固定资产投资_累计增长,铁路、船舶、航空航天和其他运输设备制造业民间固定资产投资_累计增长,电气机械和器材制造业民间固定资产投资_累计增长,计算机、通信和其他电子设备制造业民间固定资产投资_累计增长,电力、热力、燃气及水的生产和供应业民间固定资产投资_累计增长,电力、热力生产和供应业民间固定资产投资_累计增长,建筑业民间固定资产投资_累计增长,交通运输、仓储和邮政业民间固定资产投资_累计增长,铁路运输业民间固定资产投资_累计增长,道路运输业民间固定资产投资_累计增长,水利、环境和公共设施管理业民间固定资产投资_累计增长,水利管理业民间固定资产投资_累计增长,公共设施管理业民间固定资产投资_累计增长,教育民间固定资产投资_累计增长,卫生和社会工作民间固定资产投资_累计增长,文化、体育和娱乐业民间固定资产投资_累计增长,公共管理、社会保障和社会组织民间固定资产投资_累计增长,第一产业民间固定资产投资_累计增长,第二产业民间固定资产投资_累计增长,第三产业民间固定资产投资_累计增长
2025年5月,12.3,21.7,19.2,79.3,28.5,30.2,13.9,8.1,-4.5,-7.2,13.7,14.5,10.4,25.9,15.6,-6.1,4.9,25.0,27.3,-18.7,5.5,-18.4,9.0,7.9,52.2,5.5,7.0,5.2,10.0,54.0,9.0,9.7,-7.2
2025年4月,12.4,23.0,12.6,76.7,21.8,29.5,17.5,9.0,-4.1,-1.6,13.9,15.9,10.2,24.6,20.5,-5.0,5.2,25.3,27.7,1.5,5.5,-15.4,10.7,11.8,59.2,10.0,14.9,9.9,7.9,49.4,8.7,10.6,-7.6
2025年3月,15.0,25.7,15.1,45.8,18.3,52.2,18.2,9.7,-3.1,0.8,14.1,15.4,8.2,25.6,26.7,-2.0,5.6,26.6,30.6,-17.5,4.7,-33.5,13.7,16.2,66.0,14.0,14.2,15.9,9.8,46.4,11.8,11.3,-7.7
2025年2月,11.2,17.3,18.8,94.8,1.3,59.8,9.0,10.2,-0.2,2.0,6.3,18.3,8.3,28.0,30.8,-3.9,7.2,23.2,29.0,-21.4,5.3,-1.6,1.3,6.8,23.5,5.9,21.1,10.1,4.4,23.3,7.8,11.3,-7.2
2024年12月,5.5,16.2,4.0,48.1,24.7,58.9,4.9,10.8,3.0,7.8,19.8,16.2,9.6,8.6,37.7,-4.0,8.2,31.6,39.1,-13.4,5.7,-15.1,1.2,5.6,50.0,1.9,2.9,3.8,4.7,9.4,3.2,12.4,-8.3
2024年11月,5.2,16.5,2.0,52.5,27.8,64.5,2.7,11.2,3.8,9.2,20.4,15.9,9.5,7.6,37.3,-3.5,10.0,33.0,41.1,-13.8,5.2,-15.5,-0.4,3.3,39.6,0.9,2.4,2.6,5.9,0.3,3.1,12.8,-9.2
2024年10月,5.8,15.9,2.5,48.3,37.1,70.8,1.9,11.4,4.4,10.4,21.1,15.5,9.5,7.1,40.7,-2.5,9.6,34.9,43.5,-12.6,5.2,-16.8,1.1,4.5,39.9,2.7,3.0,3.6,5.7,-2.4,3.8,13.1,-9.1
2024年9月,6.6,14.6,-3.3,53.3,35.7,68.6,8.7,11.6,5.4,12.4,19.4,16.0,9.3,6.0,41.5,-1.1,9.2,34.5,43.6,-11.3,4.4,-17.6,0.6,1.6,20.1,0.7,3.9,4.2,6.7,-4.0,4.8,13.2,-8.9
2024年8月,7.6,17.2,-0.2,51.2,33.0,68.3,12.9,11.4,6.3,12.3,20.9,14.9,10.1,6.4,41.6,0.3,9.9,33.6,43.3,-5.4,4.3,-19.0,-0.5,1.6,17.9,0.4,4.1,2.6,6.6,-6.4,5.6,13.0,-8.8
2024年7月,8.5,18.1,3.1,55.1,23.4,76.2,16.6,11.5,6.9,14.6,18.7,15.0,10.3,7.0,41.2,1.9,11.5,34.7,44.9,12.5,5.0,-19.8,2.1,1.4,15.4,0.4,5.4,1.6,9.0,-10.8,6.7,13.1,-8.6
2024年6月,8.0,18.7,12.5,55.2,4.6,65.1,19.9,11.5,8.0,12.2,15.4,15.2,8.4,6.7,38.8,2.8,12.5,33.6,42.7,0.4,6.3,-8.4,5.5,1.3,12.1,0.1,6.3,1.9,9.3,-11.1,6.5,13.1,-8.1
