时间,工业企业应收账款_本月末,工业企业应收账款_上年同期,工业企业应收账款_增减,采矿业应收账款_本月末,采矿业应收账款_上年同期,采矿业应收账款_增减,煤炭开采和洗选业应收账款_本月末,煤炭开采和洗选业应收账款_上年同期,煤炭开采和洗选业应收账款_增减,石油和天然气开采业应收账款_本月末,石油和天然气开采业应收账款_上年同期,石油和天然气开采业应收账款_增减,黑色金属矿采选业应收账款_本月末,黑色金属矿采选业应收账款_上年同期,黑色金属矿采选业应收账款_增减,有色金属矿采选业应收账款_本月末,有色金属矿采选业应收账款_上年同期,有色金属矿采选业应收账款_增减,非金属矿采选业应收账款_本月末,非金属矿采选业应收账款_上年同期,非金属矿采选业应收账款_增减,开采专业及辅助性活动应收账款_本月末,开采专业及辅助性活动应收账款_上年同期,开采专业及辅助性活动应收账款_增减,其他采矿业应收账款_本月末,其他采矿业应收账款_上年同期,其他采矿业应收账款_增减,制造业应收账款_本月末,制造业应收账款_上年同期,制造业应收账款_增减,农副食品加工业应收账款_本月末,农副食品加工业应收账款_上年同期,农副食品加工业应收账款_增减,食品制造业应收账款_本月末,食品制造业应收账款_上年同期,食品制造业应收账款_增减,酒、饮料和精制茶制造业应收账款_本月末,酒、饮料和精制茶制造业应收账款_上年同期,酒、饮料和精制茶制造业应收账款_增减,烟草制品业应收账款_本月末,烟草制品业应收账款_上年同期,烟草制品业应收账款_增减,纺织业应收账款_本月末,纺织业应收账款_上年同期,纺织业应收账款_增减,纺织服装、服饰业应收账款_本月末,纺织服装、服饰业应收账款_上年同期,纺织服装、服饰业应收账款_增减,皮革、毛皮、羽毛及其制品和制鞋业应收账款_本月末,皮革、毛皮、羽毛及其制品和制鞋业应收账款_上年同期,皮革、毛皮、羽毛及其制品和制鞋业应收账款_增减,木材加工和木、竹、藤、棕、草制品业应收账款_本月末,木材加工和木、竹、藤、棕、草制品业应收账款_上年同期,木材加工和木、竹、藤、棕、草制品业应收账款_增减,家具制造业应收账款_本月末,家具制造业应收账款_上年同期,家具制造业应收账款_增减,造纸和纸制品业应收账款_本月末,造纸和纸制品业应收账款_上年同期,造纸和纸制品业应收账款_增减,印刷和记录媒介复制业应收账款_本月末,印刷和记录媒介复制业应收账款_上年同期,印刷和记录媒介复制业应收账款_增减,文教、工美、体育和娱乐用品制造业应收账款_本月末,文教、工美、体育和娱乐用品制造业应收账款_上年同期,文教、工美、体育和娱乐用品制造业应收账款_增减,石油、煤炭及其他燃料加工业应收账款_本月末,石油、煤炭及其他燃料加工业应收账款_上年同期,石油、煤炭及其他燃料加工业应收账款_增减,化学原料和化学制品制造业应收账款_本月末,化学原料和化学制品制造业应收账款_上年同期,化学原料和化学制品制造业应收账款_增减,医药制造业应收账款_本月末,医药制造业应收账款_上年同期,医药制造业应收账款_增减,化学纤维制造业应收账款_本月末,化学纤维制造业应收账款_上年同期,化学纤维制造业应收账款_增减,橡胶和塑料制品业应收账款_本月末,橡胶和塑料制品业应收账款_上年同期,橡胶和塑料制品业应收账款_增减,非金属矿物制品业应收账款_本月末,非金属矿物制品业应收账款_上年同期,非金属矿物制品业应收账款_增减,黑色金属冶炼和压延加工业应收账款_本月末,黑色金属冶炼和压延加工业应收账款_上年同期,黑色金属冶炼和压延加工业应收账款_增减,有色金属冶炼和压延加工业应收账款_本月末,有色金属冶炼和压延加工业应收账款_上年同期,有色金属冶炼和压延加工业应收账款_增减,金属制品业应收账款_本月末,金属制品业应收账款_上年同期,金属制品业应收账款_增减,通用设备制造业应收账款_本月末,通用设备制造业应收账款_上年同期,通用设备制造业应收账款_增减,专用设备制造业应收账款_本月末,专用设备制造业应收账款_上年同期,专用设备制造业应收账款_增减,汽车制造业应收账款_本月末,汽车制造业应收账款_上年同期,汽车制造业应收账款_增减,铁路、船舶、航空航天和其他运输设备制造业应收账款_本月末,铁路、船舶、航空航天和其他运输设备制造业应收账款_上年同期,铁路、船舶、航空航天和其他运输设备制造业应收账款_增减,电气机械和器材制造业应收账款_本月末,电气机械和器材制造业应收账款_上年同期,电气机械和器材制造业应收账款_增减,计算机、通信和其他电子设备制造业应收账款_本月末,计算机、通信和其他电子设备制造业应收账款_上年同期,计算机、通信和其他电子设备制造业应收账款_增减,仪器仪表制造业应收账款_本月末,仪器仪表制造业应收账款_上年同期,仪器仪表制造业应收账款_增减,其他制造业应收账款_本月末,其他制造业应收账款_上年同期,其他制造业应收账款_增减,废弃资源综合利用业应收账款_本月末,废弃资源综合利用业应收账款_上年同期,废弃资源综合利用业应收账款_增减,金属制品、机械和设备修理业应收账款_本月末,金属制品、机械和设备修理业应收账款_上年同期,金属制品、机械和设备修理业应收账款_增减,电力、热力、燃气及水生产和供应业应收账款_本月末,电力、热力、燃气及水生产和供应业应收账款_上年同期,电力、热力、燃气及水生产和供应业应收账款_增减,电力、热力生产和供应业应收账款_本月末,电力、热力生产和供应业应收账款_上年同期,电力、热力生产和供应业应收账款_增减,燃气生产和供应业应收账款_本月末,燃气生产和供应业应收账款_上年同期,燃气生产和供应业应收账款_增减,水的生产和供应业应收账款_本月末,水的生产和供应业应收账款_上年同期,水的生产和供应业应收账款_增减
2025年5月,264024.6,242172.4,9.0,8219.6,8099.6,1.5,5040.1,5109.1,-1.4,759.1,732.9,3.6,877.2,806.8,8.7,387.3,362.9,6.7,681.8,653.1,4.4,471.3,433.5,8.7,2.8,1.3,115.4,233320.3,213736.5,9.2,3981.8,3752.7,6.1,2538.7,2236.1,13.5,1679.8,1532.0,9.6,865.4,977.8,-11.5,3390.7,3171.3,6.9,1855.0,1735.2,6.9,1224.1,1168.3,4.8,1264.5,1263.1,0.1,1171.5,1196.6,-2.1,2323.2,2180.6,6.5,1349.8,1279.4,5.5,1595.2,1545.0,3.2,2401.6,2363.9,1.6,11193.7,10517.4,6.4,6443.1,6240.9,3.2,809.6,752.7,7.6,6741.4,6182.6,9.0,17301.8,17472.6,-1.0,4697.1,5204.1,-9.7,5791.1,5855.6,-1.1,9874.7,9202.0,7.3,15691.1,14318.9,9.6,14140.0,12977.2,9.0,26332.2,23674.7,11.2,4801.3,4141.3,15.9,33063.7,28828.6,14.7,44943.1,38541.5,16.6,3679.4,3442.9,6.9,403.4,375.4,7.5,1112.7,1035.4,7.5,659.6,570.6,15.6,22484.7,20336.3,10.6,18710.8,17048.3,9.8,1417.9,1276.6,11.1,2355.9,2011.3,17.1
2025年4月,258579.8,235782.4,9.7,8177.9,7925.9,3.2,5021.2,5007.6,0.3,767.3,738.3,3.9,865.7,782.7,10.6,384.4,352.0,9.2,668.5,618.6,8.1,468.6,425.7,10.1,2.3,1.0,130.0,228346.0,207743.2,9.9,3932.3,3714.2,5.9,2475.8,2159.1,14.7,1535.3,1466.4,4.7,946.6,1019.4,-7.1,3310.7,3044.0,8.8,1814.3,1691.3,7.3,1182.7,1100.0,7.5,1242.5,1227.6,1.2,1162.5,1162.2,0.0,2260.5,2215.0,2.1,1354.4,1262.6,7.3,1612.9,1548.0,4.2,2281.7,2352.2,-3.0,10986.8,10350.5,6.1,6376.4,6224.4,2.4,785.9,695.5,13.0,6556.0,5987.3,9.5,16952.9,17101.3,-0.9,4985.8,4976.0,0.2,5832.2,5517.1,5.7,9613.9,8826.4,8.9,15382.5,13978.5,10.0,13960.9,12869.6,8.5,25693.6,23208.0,10.7,4685.3,4055.7,15.5,32032.5,27734.5,15.5,43599.4,36925.1,18.1,3647.6,3385.4,7.7,396.9,359.4,10.4,1103.5,1027.2,7.4,641.8,559.3,14.8,22056.0,20113.3,9.7,18327.4,16833.4,8.9,1426.3,1318.3,8.2,2302.3,1961.6,17.4
2025年3月,255869.0,232815.5,9.9,8205.8,8021.3,2.3,5066.4,5136.9,-1.4,778.4,740.8,5.1,870.8,787.9,10.5,381.8,335.7,13.7,639.3,608.8,5.0,466.7,409.2,14.1,2.5,1.9,31.6,225437.9,204481.3,10.2,3986.3,3814.5,4.5,2443.3,2303.5,6.1,1610.2,1571.5,2.5,1109.2,1129.2,-1.8,3269.0,2963.0,10.3,1846.3,1692.8,9.1,1173.3,1117.5,5.0,1224.8,1196.2,2.4,1173.3,1134.9,3.4,2259.4,2151.5,5.0,1345.4,1258.7,6.9,1555.4,1465.4,6.1,2486.3,2568.5,-3.2,10723.7,10045.5,6.8,6462.9,6254.4,3.3,762.9,695.3,9.7,6471.6,5796.4,11.6,16660.3,16829.7,-1.0,5158.9,4920.1,4.9,5815.5,5445.5,6.8,9428.4,8647.6,9.0,15100.7,13752.9,9.8,13879.8,12658.1,9.7,25050.2,22324.7,12.2,4644.7,3998.6,16.2,31097.6,27168.1,14.5,42956.3,36335.1,18.2,3632.1,3349.4,8.4,392.2,348.3,12.6,1088.8,994.6,9.5,629.1,549.6,14.5,22225.3,20312.9,9.4,18506.8,16987.8,8.9,1456.2,1367.8,6.5,2262.3,1957.3,15.6
2025年2月,250737.1,229541.2,9.2,8065.2,8080.4,-0.2,5003.1,5105.9,-2.0,763.3,839.2,-9.0,853.4,813.3,4.9,365.4,325.0,12.4,633.6,589.6,7.5,444.4,405.9,9.5,2.0,1.6,25.0,221202.6,202053.3,9.5,3937.8,3818.6,3.1,2499.8,2241.7,11.5,1596.0,1543.0,3.4,1170.4,1064.0,10.0,3140.6,2884.6,8.9,1842.2,1711.2,7.7,1174.4,1102.7,6.5,1217.7,1179.5,3.2,1159.1,1127.9,2.8,2258.2,2007.5,12.5,1323.2,1246.5,6.2,1566.1,1476.2,6.1,2548.6,2463.1,3.5,10415.8,9664.7,7.8,6274.3,6173.4,1.6,719.5,638.1,12.8,6425.2,5753.2,11.7,16426.1,16488.7,-0.4,5287.9,4801.1,10.1,5611.7,5277.0,6.3,9363.0,8547.2,9.5,14737.6,13995.7,5.3,13558.8,12233.7,10.8,24028.9,21553.8,11.5,4472.4,3892.6,14.9,30244.5,26817.4,12.8,42604.8,37188.0,14.6,3596.4,3283.9,9.5,382.7,351.8,8.8,1006.7,977.4,3.0,612.2,549.1,11.5,21469.3,19407.4,10.6,17671.4,16107.9,9.7,1489.6,1418.3,5.0,2308.3,1881.3,22.7
2024年12月,260566.1,239902.2,8.6,7957.8,7970.2,-0.2,4891.0,5080.6,-3.7,699.9,761.3,-8.1,765.6,708.0,8.1,354.4,320.1,10.7,706.9,672.9,5.1,538.5,425.9,26.4,1.5,1.3,15.4,231626.1,212837.4,8.8,3998.2,3896.1,2.6,2510.1,2303.5,9.0,1529.1,1552.4,-1.5,416.7,423.7,-1.7,3491.9,3192.8,9.4,2028.1,1916.4,5.8,1272.0,1232.5,3.2,1340.6,1304.9,2.7,1305.6,1231.7,6.0,2354.9,2105.6,11.8,1398.2,1292.3,8.2,1634.7,1536.8,6.4,2488.9,2406.9,3.4,10385.1,9693.3,7.1,6245.9,6072.4,2.9,742.7,709.6,4.7,6735.1,6157.5,9.4,18209.0,18517.1,-1.7,4634.7,4208.5,10.1,5343.4,5203.4,2.7,9996.3,9293.4,7.6,15179.9,13989.6,8.5,13991.3,12795.3,9.3,26549.5,23656.7,12.2,4568.3,4161.7,9.8,32023.9,29262.4,9.4,45452.9,39292.0,15.7,3772.6,3480.9,8.4,395.2,362.3,9.1,1031.0,1044.1,-1.3,600.5,541.6,10.9,20982.2,19094.6,9.9,17570.6,16063.8,9.4,1291.1,1242.7,3.9,2120.5,1788.0,18.6
2024年11月,269198.9,248012.3,8.5,8690.5,8546.2,1.7,5429.0,5380.9,0.9,722.7,818.9,-11.7,871.4,804.0,8.4,403.6,347.1,16.3,711.7,687.7,3.5,550.5,506.3,8.7,1.5,1.3,15.4,239688.3,220158.0,8.9,4038.5,3982.9,1.4,2533.0,2447.4,3.5,1597.9,1620.9,-1.4,982.2,782.7,25.5,3526.3,3212.0,9.8,2122.8,2009.5,5.6,1293.4,1228.7,5.3,1345.6,1302.5,3.3,1308.0,1252.1,4.5,2377.9,2199.7,8.1,1410.3,1319.4,6.9,1666.5,1570.7,6.1,2622.6,2586.6,1.4,11174.5,10546.8,6.0,6411.1,6195.6,3.5,807.4,778.6,3.7,6746.2,6235.4,8.2,18464.4,18886.1,-2.2,5375.8,4654.1,15.5,6150.4,5645.0,9.0,10056.8,9310.4,8.0,15328.0,14323.4,7.0,14088.5,12761.5,10.4,28351.2,25225.2,12.4,4866.5,4416.3,10.2,32536.9,30168.2,7.9,46724.6,40024.7,16.7,3737.7,3484.2,7.3,392.8,349.7,12.3,1033.7,1068.3,-3.2,616.9,569.2,8.4,20820.1,19308.2,7.8,17301.0,16180.3,6.9,1319.6,1272.5,3.7,2199.5,1855.4,18.5
2024年10月,263317.1,244253.7,7.8,8520.8,8455.3,0.8,5328.8,5374.7,-0.9,745.5,842.7,-11.5,849.4,772.9,9.9,399.7,338.4,18.1,683.1,672.3,1.6,512.7,452.9,13.2,1.6,1.3,23.1,234045.6,216532.9,8.1,4014.8,3953.7,1.5,2477.0,2405.7,3.0,1551.5,1538.2,0.9,970.1,870.1,11.5,3428.4,3190.4,7.5,2123.6,2009.1,5.7,1286.0,1223.3,5.1,1320.0,1266.7,4.2,1255.8,1214.1,3.4,2369.2,2200.9,7.6,1383.8,1300.6,6.4,1653.7,1584.6,4.4,2591.9,2745.4,-5.6,11009.7,10460.2,5.3,6355.2,6100.6,4.2,807.2,746.4,8.1,6548.8,6086.8,7.6,18147.5,18576.8,-2.3,4943.7,4447.8,11.1,6525.1,5585.9,16.8,9911.7,9218.9,7.5,14916.9,14002.4,6.5,13762.4,12597.3,9.2,27925.6,24963.9,11.9,4720.3,4275.5,10.4,31356.0,29391.9,6.7,45039.9,39300.9,14.6,3627.2,3339.2,8.6,384.5,336.8,14.2,1032.2,1050.1,-1.7,605.8,548.8,10.4,20750.8,19265.6,7.7,17300.5,16236.0,6.6,1263.5,1194.8,5.7,2186.8,1834.7,19.2
2024年9月,257198.1,238943.9,7.6,8295.2,8273.9,0.3,5186.0,5286.3,-1.9,715.4,848.3,-15.7,844.6,732.2,15.4,396.3,331.5,19.5,668.2,633.3,5.5,483.3,441.1,9.6,1.4,1.2,16.7,227815.5,211186.4,7.9,3995.9,3892.2,2.7,2411.5,2440.6,-1.2,1628.5,1533.2,6.2,1146.5,1117.7,2.6,3356.2,3100.6,8.2,2073.4,1960.8,5.7,1257.9,1211.1,3.9,1281.4,1236.5,3.6,1205.1,1165.6,3.4,2303.4,2119.7,8.7,1365.1,1276.8,6.9,1640.1,1587.5,3.3,2520.0,2769.9,-9.0,10701.1,10197.7,4.9,6360.0,6146.3,3.5,780.3,708.0,10.2,6411.1,5954.8,7.7,17818.5,18195.6,-2.1,4828.3,4373.9,10.4,6310.8,5608.7,12.5,9714.5,8989.1,8.1,14679.0,13801.2,6.4,13525.1,12395.5,9.1,26670.2,24408.3,9.3,4694.2,4242.5,10.6,30621.6,28626.8,7.0,42957.1,36930.1,16.3,3586.2,3309.0,8.4,380.9,333.3,14.3,991.7,1025.3,-3.3,600.0,528.0,13.6,21087.4,19483.6,8.2,17710.2,16534.2,7.1,1233.3,1173.5,5.1,2143.9,1775.9,20.7
2024年8月,255022.6,235345.6,8.4,8454.5,8257.6,2.4,5293.2,5300.3,-0.1,754.3,835.0,-9.7,845.8,726.6,16.4,387.0,331.3,16.8,687.9,623.6,10.3,484.9,439.6,10.3,1.4,1.2,16.7,224521.5,206201.9,8.9,3975.7,3794.6,4.8,2349.8,2259.6,4.0,1655.7,1516.5,9.2,1074.2,961.2,11.8,3314.0,3047.3,8.8,2003.1,1892.3,5.9,1244.4,1182.6,5.2,1270.0,1231.9,3.1,1205.3,1160.4,3.9,2284.6,2116.2,8.0,1335.7,1239.3,7.8,1598.4,1463.0,9.3,2547.6,2607.1,-2.3,10944.9,9969.2,9.8,6155.6,5882.8,4.6,829.4,745.1,11.3,6385.7,5850.7,9.1,17834.6,18150.6,-1.7,5097.2,4131.6,23.4,6199.2,5677.9,9.2,9762.4,8927.7,9.3,14598.5,13642.5,7.0,13350.9,12124.6,10.1,26061.3,23769.7,9.6,4521.1,4171.7,8.4,30130.7,27813.7,8.3,41305.5,35797.9,15.4,3514.0,3208.9,9.5,385.0,328.2,17.3,993.6,1013.2,-1.9,593.5,523.9,13.3,22046.6,20886.0,5.6,18695.1,17931.2,4.3,1244.3,1201.9,3.5,2107.3,1752.9,20.2
2024年7月,250958.2,232112.8,8.1,8267.4,8380.3,-1.3,5141.9,5493.5,-6.4,759.2,789.1,-3.8,828.2,685.9,20.7,368.6,328.9,12.1,680.5,643.2,5.8,487.8,437.8,11.4,1.2,1.9,-36.8,220782.7,203136.1,8.7,3881.9,3761.3,3.2,2220.0,2176.7,2.0,1575.3,1512.7,4.1,975.8,1019.4,-4.3,3273.4,3018.1,8.5,1925.7,1798.8,7.1,1214.5,1133.5,7.1,1257.2,1221.3,2.9,1218.2,1142.8,6.6,2274.2,2046.0,11.2,1307.6,1211.9,7.9,1566.0,1446.1,8.3,2550.9,2585.2,-1.3,10762.1,9751.6,10.4,6174.5,5899.2,4.7,786.4,693.1,13.5,6292.1,5751.3,9.4,17770.8,17880.3,-0.6,5036.6,3866.3,30.3,6140.5,5538.4,10.9,9621.5,8753.0,9.9,14555.0,13471.4,8.0,13266.2,12134.7,9.3,25257.5,23356.8,8.1,4507.0,4051.7,11.2,29747.8,27499.3,8.2,40114.4,35365.3,13.4,3510.9,3194.7,9.9,382.3,324.2,17.9,1024.9,1008.0,1.7,591.4,523.1,13.1,21908.2,20596.4,6.4,18590.1,17705.0,5.0,1241.5,1189.0,4.4,2076.5,1702.3,22.0
