时间,股份制工业企业单位数_本月末,股份制工业企业亏损企业数_本月末,股份制工业企业亏损企业数_上年同期,股份制工业企业亏损企业数_增减,股份制工业企业流动资产合计_本月末,股份制工业企业流动资产合计_上年同期,股份制工业企业流动资产合计_增减,股份制工业企业应收账款_本月末,股份制工业企业应收账款_上年同期,股份制工业企业应收账款_增减,股份制工业企业存货_本月末,股份制工业企业存货_上年同期,股份制工业企业存货_增减,股份制工业企业产成品存货_本月末,股份制工业企业产成品存货_上年同期,股份制工业企业产成品存货_增减,股份制工业企业资产总计_本月末,股份制工业企业资产总计_上年同期,股份制工业企业资产总计_增减,股份制工业企业负债合计_本月末,股份制工业企业负债合计_上年同期,股份制工业企业负债合计_增减,股份制工业企业所有者权益合计_本月末,股份制工业企业所有者权益合计_上年同期,股份制工业企业所有者权益合计_增减,股份制工业企业营业收入_累计值,股份制工业企业营业收入_上年同期累计值,股份制工业企业营业收入_累计增长,股份制工业企业营业成本_累计值,股份制工业企业营业成本_上年同期累计值,股份制工业企业营业成本_累计增长,股份制工业企业销售费用_累计值,股份制工业企业销售费用_上年同期累计值,股份制工业企业销售费用_累计增长,股份制工业企业管理费用_累计值,股份制工业企业管理费用_上年同期累计值,股份制工业企业管理费用_累计增长,股份制工业企业财务费用_累计值,股份制工业企业财务费用_上年同期累计值,股份制工业企业财务费用_累计增长,股份制工业企业投资收益_累计值,股份制工业企业投资收益_上年同期累计值,股份制工业企业投资收益_累计增长,股份制工业企业营业利润_累计值,股份制工业企业营业利润_上年同期累计值,股份制工业企业营业利润_累计增长,股份制工业企业利润总额_累计值,股份制工业企业利润总额_上年同期累计值,股份制工业企业利润总额_累计增长,股份制工业企业亏损企业亏损总额_累计值,股份制工业企业亏损企业亏损总额_上年同期累计值,股份制工业企业亏损企业亏损总额_累计增长,股份制工业企业平均用工人数_累计值,股份制工业企业平均用工人数_上年同期累计值,股份制工业企业平均用工人数_累计增长
2025年5月,468096.0,143306.0,141280.0,1.4,741887.8,703075.7,5.5,205544.6,187809.0,9.4,139746.9,134826.5,3.6,54468.7,52109.7,4.5,1499229.7,1419895.1,5.6,881036.1,833146.0,5.7,618193.6,586749.1,5.4,440622.2,426447.3,3.3,378764.4,365201.7,3.7,8951.2,9129.8,-2.0,13540.4,13420.9,0.9,3595.9,3787.1,-5.0,2287.8,2744.3,-16.6,19663.5,19941.9,-1.4,20170.7,20479.1,-1.5,6887.5,7129.4,-3.4,5932.3,5938.5,-0.1
2025年4月,467784.0,149204.0,149557.0,-0.2,736021.2,695321.1,5.9,201187.2,182852.4,10.0,138911.5,133382.0,4.1,54108.3,51478.0,5.1,1489676.7,1408990.7,5.7,874802.8,824875.0,6.1,614873.9,584115.7,5.3,349268.2,336500.2,3.8,299888.9,288026.9,4.1,7141.1,7279.2,-1.9,10901.1,10778.5,1.1,2787.5,3043.6,-8.4,1456.1,1805.3,-19.3,15146.7,14966.7,1.2,15596.4,15431.1,1.1,5732.1,6008.6,-4.6,5926.9,5919.5,0.1
2025年3月,467386.0,167742.0,167905.0,-0.1,730926.5,687797.3,6.3,199111.1,180454.0,10.3,136891.7,130847.7,4.6,53545.9,50839.8,5.3,1480924.5,1397320.0,6.0,869878.6,817227.5,6.4,611045.9,580092.5,5.3,257616.2,248089.2,3.8,220601.1,211876.2,4.1,5339.8,5438.2,-1.8,8252.4,8136.9,1.4,2230.8,2310.0,-3.4,957.9,1373.8,-30.3,10782.8,10774.7,0.1,11101.5,11087.9,0.1,4609.5,4832.7,-4.6,5899.1,5871.1,0.5
2025年2月,466889.0,158935.0,157384.0,1.0,716938.8,678868.6,5.6,195390.0,177745.9,9.9,135278.6,129277.3,4.6,51906.3,49401.7,5.1,1463398.5,1384298.1,5.7,855728.4,807043.6,6.0,607670.1,577254.5,5.3,160954.8,155902.8,3.2,137219.2,132603.1,3.5,3359.9,3403.4,-1.3,5328.3,5244.2,1.6,1490.5,1496.0,-0.4,514.7,690.9,-25.5,6526.3,6638.3,-1.7,6739.2,6874.7,-2.0,3625.0,3624.2,0.0,5840.2,5811.3,0.5
2024年12月,458513.0,104552.0,94674.0,10.4,718710.9,684995.1,4.9,201942.6,185228.1,9.0,134295.7,129506.9,3.7,52111.8,50113.6,4.0,1459141.4,1389087.7,5.0,854072.8,811136.5,5.3,605068.6,577951.2,4.7,1100663.0,1071027.6,2.8,939332.0,909551.6,3.3,23356.8,23455.3,-0.4,34849.6,34217.0,1.8,9009.9,9108.5,-1.1,8518.8,8070.7,5.6,55205.7,57166.8,-3.4,56166.4,58259.0,-3.6,14597.4,13173.4,10.8,5965.1,6044.1,-1.3
2024年11月,458477.0,117089.0,106205.0,10.2,730205.6,701032.3,4.2,207424.3,191195.0,8.5,137055.2,132630.6,3.3,53215.3,51180.3,4.0,1459759.8,1387042.5,5.2,858877.3,816753.0,5.2,600882.5,570289.5,5.4,984732.9,960268.3,2.5,842461.0,817261.0,3.1,20580.7,20597.7,-0.1,30168.4,29568.9,2.0,8302.3,8403.7,-1.2,6762.0,6681.9,1.2,49146.5,52038.8,-5.6,50143.0,53181.8,-5.7,13113.2,11668.7,12.4,5911.0,5989.9,-1.3
2024年10月,455227.0,122578.0,112869.0,8.6,717978.6,691692.5,3.8,201811.6,187354.8,7.7,135628.5,131476.7,3.2,52884.4,50587.3,4.5,1440028.5,1369542.7,5.1,844826.3,806308.2,4.8,595202.2,563234.5,5.7,883626.2,861202.0,2.6,756586.4,733740.6,3.1,18581.5,18522.0,0.3,27185.8,26608.7,2.2,7656.5,7610.8,0.6,5929.9,5664.2,4.7,42816.0,45234.8,-5.3,43718.5,46377.3,-5.7,12306.4,10983.7,12.0,5867.1,5948.6,-1.4
2024年9月,452317.0,126546.0,118664.0,6.6,710948.5,682505.5,4.2,196918.5,183120.0,7.5,133958.1,129448.1,3.5,52224.5,49703.2,5.1,1425330.2,1354026.7,5.3,836710.5,796206.7,5.1,588619.7,557820.0,5.5,789650.8,768123.0,2.8,676203.0,654861.1,3.3,16718.8,16616.4,0.6,24319.1,23841.0,2.0,7046.8,6870.5,2.6,5574.4,5338.2,4.4,38044.6,39863.5,-4.6,38872.3,40878.6,-4.9,11329.2,10202.2,11.0,5844.4,5917.2,-1.2
2024年8月,450489.0,126868.0,120812.0,5.0,705769.6,676335.4,4.4,195904.4,180881.8,8.3,134443.5,128912.7,4.3,52400.3,49468.7,5.9,1414475.8,1341373.6,5.4,829656.3,789367.9,5.1,584819.5,552005.7,5.9,693252.8,672432.6,3.1,593755.1,573920.3,3.5,14634.4,14517.0,0.8,21316.6,20881.7,2.1,6037.6,6063.0,-0.4,4920.5,4346.4,13.2,33617.1,33936.7,-0.9,34430.3,34895.0,-1.3,10120.4,9496.7,6.6,5824.4,5898.4,-1.3
2024年7月,449886.0,129882.0,125173.0,3.8,699865.5,666187.7,5.1,193305.6,178217.6,8.5,134069.8,127602.0,5.1,52052.5,48896.7,6.5,1406455.9,1327377.0,6.0,824723.1,780980.3,5.6,581732.8,546396.7,6.5,604530.0,583729.7,3.6,517358.6,498301.9,3.8,12863.1,12704.0,1.3,18680.1,18251.4,2.3,5246.6,5344.3,-1.8,4573.5,3920.4,16.7,29748.3,29068.9,2.3,30514.6,29951.2,1.9,8925.3,8721.9,2.3,5824.4,5883.7,-1.0
2024年6月,449210.0,134978.0,131156.0,2.9,697165.8,659698.4,5.7,190693.9,174440.7,9.3,132497.3,126198.2,5.0,51348.1,48345.2,6.2,1401301.9,1317251.3,6.4,820604.2,774393.9,6.0,580697.7,542857.4,7.0,516613.5,498958.3,3.5,441701.4,425859.9,3.7,11060.5,10909.9,1.4,16023.2,15620.4,2.6,4518.4,4453.1,1.5,4011.6,3515.8,14.1,25607.5,25092.7,2.1,26243.3,25863.7,1.5,7813.0,7679.4,1.7,5825.0,5872.5,-0.8
