时间,固定资产投资额_累计增长,内资企业固定资产投资额_累计增长,港澳台投资企业固定资产投资额_累计增长,外商投资企业固定资产投资额_累计增长,有限责任公司固定资产投资额_累计增长,国有独资公司固定资产投资额_累计增长,私营有限责任公司固定资产投资额_累计增长,其他有限责任公司固定资产投资额_累计增长,股份有限公司固定资产投资额_累计增长,私营股份有限公司固定资产投资额_累计增长,其他股份有限公司固定资产投资额_累计增长,全民所有制企业（国有企业）固定资产投资额_累计增长,集体所有制企业（集体企业）固定资产投资额_累计增长,股份合作企业固定资产投资额_累计增长,联营企业固定资产投资额_累计增长,个人独资企业固定资产投资额_累计增长,合伙企业固定资产投资额_累计增长,其他内资企业固定资产投资额_累计增长,港澳台投资有限责任公司固定资产投资额_累计增长,港澳台投资股份有限公司固定资产投资额_累计增长,港澳台投资合伙企业固定资产投资额_累计增长,其他港澳台投资企业固定资产投资额_累计增长,外商投资有限责任公司固定资产投资额_累计增长,外商投资股份有限公司固定资产投资额_累计增长,外商投资合伙企业固定资产投资额_累计增长,其他外商投资企业固定资产投资额_累计增长,农民专业合作社（联合社）固定资产投资额_累计增长,个体工商户固定资产投资额_累计增长,其他市场主体固定资产投资额_累计增长
2025年5月,3.7,3.7,6.5,-13.4,,,,,,,,,,,,,,,,,,,,,,,,,
2025年4月,4.0,3.9,9.2,-11.4,,,,,,,,,,,,,,,,,,,,,,,,,
2025年3月,4.2,4.0,10.8,-9.5,4.2,9.5,2.1,4.3,7.0,2.9,9.1,-0.5,13.6,-9.8,-48.3,1.8,-13.3,6.6,10.1,31.8,-29.4,6.0,-9.2,30.0,-49.5,-40.0,14.3,3.6,94.2
2025年2月,4.1,4.0,10.1,-10.0,3.7,10.7,0.0001,4.3,8.1,-6.1,17.6,-0.7,3.8,-24.3,5.4,3.6,3.9,7.6,8.5,42.6,-11.3,10.7,-7.9,20.8,-52.3,-43.2,15.0,-0.1,73.0
2024年12月,3.2,2.8983573412,4.1722707313,-9.9924315118,9.2054364243,-32.1882882957,-3.860969673,29.8440639659,4.3138674291,41.908636509,-7.3227349041,-21.837617245,33.1932409689,-53.6523677144,-74.4184004372,-30.2243325754,-41.2951810763,0.8998795949,78.3804952263,51.3322598353,962.6597808246,-90.8959745654,70.3076687032,18.1657482296,341.5722421182,-92.6265358486,,-15.7989751802,4066.7017717755
2024年11月,3.3,3.1,7.2,-20.0,11.6,-37.3,-8.0,43.5,-3.6,26.8,-13.9,-25.7,24.8,-59.6,-79.2,-43.6,-41.3,0.5,163.4,24.3,,-93.4,72.9,8.6,,-94.5,,-14.7,3592.2
2024年10月,3.4,3.2,8.2,-20.6,11.9,-36.8,-7.7,43.7,-3.5,27.2,-14.1,-26.1,26.6,-59.3,-79.9,-43.0,-40.6,0.1,165.4,27.7,,-93.4,74.2,11.0,,-94.7,,-13.9,3698.8
2024年9月,3.4,3.3,6.9,-19.1,11.8,-39.1,-6.8,43.5,-3.0,28.7,-13.9,-26.0,28.4,-58.7,-78.4,-43.3,-40.9,0.7,162.3,20.9,,-93.5,76.2,11.2,,-94.6,,-12.4,3434.5
2024年8月,3.4,3.3,4.7,-17.7,11.9,-38.0,-7.2,43.8,-2.5,27.3,-12.9,-26.6,28.3,-59.5,-77.9,-43.7,-40.5,0.1,154.7,15.7,,-93.4,78.5,15.5,,-94.9,,-12.0,3362.1
2024年7月,3.6,3.4,5.1,-15.2,12.1,-39.1,-6.5,43.9,-2.4,26.9,-12.7,-26.6,31.3,-58.8,-77.3,-44.1,-41.7,0.2,151.3,23.3,,-93.3,83.5,16.1,,-94.9,,-9.7,3363.8
2024年6月,3.9,3.8,5.1,-15.8,12.4,-39.0,-7.2,45.2,-3.3,27.1,-13.8,-26.4,34.7,-61.1,-76.0,-46.0,-41.9,1.0,152.8,19.1,,-93.6,81.2,17.4,,-95.0,,-5.6,3449.6
