时间,工业生产者购进价格指数(上年同期=100),燃料、动力类购进价格指数(上年同期=100),黑色金属材料类购进价格指数(上年同期=100),有色金属材料和电线类购进价格指数(上年同期=100),化工原料类购进价格指数(上年同期=100),木材及纸浆类购进价格指数(上年同期=100),建筑材料及非金属矿类购进价格指数(上年同期=100),其它工业原材料及半成品类购进价格指数(上年同期=100),农副产品类购进价格指数(上年同期=100),纺织原料类购进价格指数(上年同期=100)
2025年6月,97.1,92.5,92.1,107.9,95.5,96.9,98.0,98.3,96.7,97.9
2025年5月,97.4,93.1,92.1,109.1,95.8,97.1,98.2,98.4,96.9,98.0
2025年4月,97.6,93.8,91.9,110.3,96.1,97.3,98.0,98.4,96.8,98.1
2025年3月,97.7,94.3,91.5,111.0,96.2,97.5,97.8,98.4,96.8,98.3
2025年2月,97.7,94.9,91.1,111.0,96.0,97.6,97.7,98.5,96.6,98.5
2025年1月,97.7,94.8,91.1,110.9,95.9,97.5,97.7,98.6,96.7,98.6
2024年12月,97.8,95.9,95.7,107.1,96.4,97.7,94.3,98.4,95.8,99.4
2024年11月,97.8,96.1,96.0,106.7,96.5,97.7,94.0,98.4,95.8,99.5
2024年10月,97.9,96.3,96.3,106.3,96.6,97.7,93.7,98.4,95.7,99.6
2024年9月,97.9,96.6,96.7,105.9,96.8,97.5,93.5,98.4,95.8,99.7
2024年8月,97.9,96.7,97.1,105.7,96.9,97.3,93.2,98.4,95.7,99.9
2024年7月,97.8,96.4,97.3,105.2,96.5,96.8,92.9,98.4,95.5,100.1
2024年6月,97.4,95.7,97.2,104.2,95.9,96.3,92.6,98.3,95.1,100.2
