时间,工业企业管理费用_累计值,工业企业管理费用_上年同期累计值,工业企业管理费用_累计增长,采矿业管理费用_累计值,采矿业管理费用_上年同期累计值,采矿业管理费用_累计增长,煤炭开采和洗选业管理费用_累计值,煤炭开采和洗选业管理费用_上年同期累计值,煤炭开采和洗选业管理费用_累计增长,石油和天然气开采业管理费用_累计值,石油和天然气开采业管理费用_上年同期累计值,石油和天然气开采业管理费用_累计增长,黑色金属矿采选业管理费用_累计值,黑色金属矿采选业管理费用_上年同期累计值,黑色金属矿采选业管理费用_累计增长,有色金属矿采选业管理费用_累计值,有色金属矿采选业管理费用_上年同期累计值,有色金属矿采选业管理费用_累计增长,非金属矿采选业管理费用_累计值,非金属矿采选业管理费用_上年同期累计值,非金属矿采选业管理费用_累计增长,开采专业及辅助性活动管理费用_累计值,开采专业及辅助性活动管理费用_上年同期累计值,开采专业及辅助性活动管理费用_累计增长,其他采矿业管理费用_累计值,其他采矿业管理费用_上年同期累计值,其他采矿业管理费用_累计增长,制造业管理费用_累计值,制造业管理费用_上年同期累计值,制造业管理费用_累计增长,农副食品加工业管理费用_累计值,农副食品加工业管理费用_上年同期累计值,农副食品加工业管理费用_累计增长,食品制造业管理费用_累计值,食品制造业管理费用_上年同期累计值,食品制造业管理费用_累计增长,酒、饮料和精制茶制造业管理费用_累计值,酒、饮料和精制茶制造业管理费用_上年同期累计值,酒、饮料和精制茶制造业管理费用_累计增长,烟草制品业管理费用_累计值,烟草制品业管理费用_上年同期累计值,烟草制品业管理费用_累计增长,纺织业管理费用_累计值,纺织业管理费用_上年同期累计值,纺织业管理费用_累计增长,纺织服装、服饰业管理费用_累计值,纺织服装、服饰业管理费用_上年同期累计值,纺织服装、服饰业管理费用_累计增长,皮革、毛皮、羽毛及其制品和制鞋业管理费用_累计值,皮革、毛皮、羽毛及其制品和制鞋业管理费用_上年同期累计值,皮革、毛皮、羽毛及其制品和制鞋业管理费用_累计增长,木材加工和木、竹、藤、棕、草制品业管理费用_累计值,木材加工和木、竹、藤、棕、草制品业管理费用_上年同期累计值,木材加工和木、竹、藤、棕、草制品业管理费用_累计增长,家具制造业管理费用_累计值,家具制造业管理费用_上年同期累计值,家具制造业管理费用_累计增长,造纸和纸制品业管理费用_累计值,造纸和纸制品业管理费用_上年同期累计值,造纸和纸制品业管理费用_累计增长,印刷和记录媒介复制业管理费用_累计值,印刷和记录媒介复制业管理费用_上年同期累计值,印刷和记录媒介复制业管理费用_累计增长,文教、工美、体育和娱乐用品制造业管理费用_累计值,文教、工美、体育和娱乐用品制造业管理费用_上年同期累计值,文教、工美、体育和娱乐用品制造业管理费用_累计增长,石油、煤炭及其他燃料加工业管理费用_累计值,石油、煤炭及其他燃料加工业管理费用_上年同期累计值,石油、煤炭及其他燃料加工业管理费用_累计增长,化学原料和化学制品制造业管理费用_累计值,化学原料和化学制品制造业管理费用_上年同期累计值,化学原料和化学制品制造业管理费用_累计增长,医药制造业管理费用_累计值,医药制造业管理费用_上年同期累计值,医药制造业管理费用_累计增长,化学纤维制造业管理费用_累计值,化学纤维制造业管理费用_上年同期累计值,化学纤维制造业管理费用_累计增长,橡胶和塑料制品业管理费用_累计值,橡胶和塑料制品业管理费用_上年同期累计值,橡胶和塑料制品业管理费用_累计增长,非金属矿物制品业管理费用_累计值,非金属矿物制品业管理费用_上年同期累计值,非金属矿物制品业管理费用_累计增长,黑色金属冶炼和压延加工业管理费用_累计值,黑色金属冶炼和压延加工业管理费用_上年同期累计值,黑色金属冶炼和压延加工业管理费用_累计增长,有色金属冶炼和压延加工业管理费用_累计值,有色金属冶炼和压延加工业管理费用_上年同期累计值,有色金属冶炼和压延加工业管理费用_累计增长,金属制品业管理费用_累计值,金属制品业管理费用_上年同期累计值,金属制品业管理费用_累计增长,通用设备制造业管理费用_累计值,通用设备制造业管理费用_上年同期累计值,通用设备制造业管理费用_累计增长,专用设备制造业管理费用_累计值,专用设备制造业管理费用_上年同期累计值,专用设备制造业管理费用_累计增长,汽车制造业管理费用_累计值,汽车制造业管理费用_上年同期累计值,汽车制造业管理费用_累计增长,铁路、船舶、航空航天和其他运输设备制造业管理费用_累计值,铁路、船舶、航空航天和其他运输设备制造业管理费用_上年同期累计值,铁路、船舶、航空航天和其他运输设备制造业管理费用_累计增长,电气机械和器材制造业管理费用_累计值,电气机械和器材制造业管理费用_上年同期累计值,电气机械和器材制造业管理费用_累计增长,计算机、通信和其他电子设备制造业管理费用_累计值,计算机、通信和其他电子设备制造业管理费用_上年同期累计值,计算机、通信和其他电子设备制造业管理费用_累计增长,仪器仪表制造业管理费用_累计值,仪器仪表制造业管理费用_上年同期累计值,仪器仪表制造业管理费用_累计增长,其他制造业管理费用_累计值,其他制造业管理费用_上年同期累计值,其他制造业管理费用_累计增长,废弃资源综合利用业管理费用_累计值,废弃资源综合利用业管理费用_上年同期累计值,废弃资源综合利用业管理费用_累计增长,金属制品、机械和设备修理业管理费用_累计值,金属制品、机械和设备修理业管理费用_上年同期累计值,金属制品、机械和设备修理业管理费用_累计增长,电力、热力、燃气及水生产和供应业管理费用_累计值,电力、热力、燃气及水生产和供应业管理费用_上年同期累计值,电力、热力、燃气及水生产和供应业管理费用_累计增长,电力、热力生产和供应业管理费用_累计值,电力、热力生产和供应业管理费用_上年同期累计值,电力、热力生产和供应业管理费用_累计增长,燃气生产和供应业管理费用_累计值,燃气生产和供应业管理费用_上年同期累计值,燃气生产和供应业管理费用_累计增长,水的生产和供应业管理费用_累计值,水的生产和供应业管理费用_上年同期累计值,水的生产和供应业管理费用_累计增长
2025年5月,17351.1,17197.8,0.9,1269.8,1340.7,-5.3,676.7,738.5,-8.4,255.8,266.0,-3.8,101.7,106.3,-4.3,103.3,99.1,4.2,104.1,104.7,-0.6,27.9,25.7,8.6,0.2,0.4,-50.0,15200.0,14976.9,1.5,432.9,425.2,1.8,389.4,380.0,2.5,281.3,284.3,-1.1,188.3,180.0,4.6,333.0,326.6,2.0,276.6,275.6,0.4,161.1,159.2,1.2,90.4,90.8,-0.4,154.4,156.5,-1.3,194.8,194.8,0.0,160.4,159.0,0.9,233.3,228.5,2.1,296.6,318.0,-6.7,1147.9,1139.2,0.8,671.3,673.9,-0.4,78.2,78.9,-0.9,577.1,552.6,4.4,923.9,949.4,-2.7,417.0,434.5,-4.0,348.0,350.0,-0.6,719.8,702.2,2.5,1054.3,1026.7,2.7,884.7,871.7,1.5,1339.7,1299.0,3.1,263.9,242.4,8.9,1364.4,1347.0,1.3,1762.8,1699.9,3.7,265.3,260.0,2.0,51.2,47.1,8.7,71.1,68.5,3.8,66.9,55.5,20.5,881.3,880.2,0.1,581.8,582.2,-0.1,143.4,141.7,1.2,156.1,156.3,-0.1
2025年4月,13953.7,13796.6,1.1,1016.5,1077.7,-5.7,545.8,593.7,-8.1,199.5,210.7,-5.3,81.3,86.6,-6.1,84.0,80.3,4.6,83.6,85.5,-2.2,22.1,20.6,7.3,0.2,0.3,-33.3,12221.9,12004.9,1.8,349.8,342.9,2.0,312.2,306.6,1.8,228.6,234.0,-2.3,153.8,146.9,4.7,269.4,261.9,2.9,223.4,221.2,1.0,130.1,127.0,2.4,72.5,72.6,-0.1,124.2,125.2,-0.8,156.8,156.8,0.0,129.1,127.7,1.1,188.8,182.2,3.6,239.6,252.9,-5.3,924.5,914.3,1.1,541.5,543.8,-0.4,63.0,63.3,-0.5,465.0,442.7,5.0,743.7,767.1,-3.1,336.8,347.7,-3.1,280.8,282.7,-0.7,576.8,560.6,2.9,847.3,824.9,2.7,711.8,701.0,1.5,1069.1,1032.0,3.6,211.8,195.9,8.1,1098.8,1079.7,1.8,1406.1,1348.7,4.3,214.1,208.0,2.9,41.5,37.4,11.0,56.9,55.0,3.5,53.9,42.1,28.0,715.2,714.0,0.2,473.2,472.4,0.2,116.1,115.2,0.8,125.9,126.5,-0.5
2025年3月,10570.7,10448.3,1.2,767.2,802.5,-4.4,408.3,447.2,-8.7,151.1,147.6,2.4,63.1,67.3,-6.2,63.7,60.4,5.5,63.6,64.7,-1.7,17.2,15.0,14.7,0.2,0.3,-33.3,9252.8,9103.2,1.6,266.9,260.0,2.7,238.0,235.9,0.9,177.9,179.8,-1.1,116.2,113.8,2.1,204.0,197.6,3.2,171.3,168.6,1.6,97.3,95.5,1.9,55.2,55.2,0.0,94.1,93.1,1.1,118.2,118.9,-0.6,97.3,97.2,0.1,145.1,139.7,3.9,175.7,185.4,-5.2,699.5,695.2,0.6,409.5,414.0,-1.1,48.1,48.5,-0.8,350.3,331.6,5.6,565.6,583.4,-3.1,254.6,261.9,-2.8,208.3,210.4,-1.0,436.5,423.9,3.0,642.1,625.4,2.7,539.2,533.4,1.1,809.7,784.3,3.2,160.4,150.0,6.9,834.0,817.4,2.0,1060.4,1022.4,3.7,161.9,156.9,3.2,31.4,29.3,7.2,43.2,41.8,3.3,41.0,32.8,25.0,550.7,542.6,1.5,366.2,358.9,2.0,88.6,87.7,1.0,96.0,95.9,0.1
2025年2月,6779.6,6717.9,0.9,495.4,503.6,-1.6,270.3,279.3,-3.2,95.8,92.2,3.9,38.5,41.5,-7.2,40.6,38.7,4.9,41.1,41.9,-1.9,9.0,9.8,-8.2,0.2,0.2,0.0,5925.5,5856.8,1.2,173.6,167.7,3.5,149.6,145.2,3.0,119.5,121.9,-2.0,81.5,77.5,5.2,131.1,128.2,2.3,108.6,106.8,1.7,63.0,61.6,2.3,35.4,35.7,-0.8,60.4,59.6,1.3,80.7,77.3,4.4,63.1,63.3,-0.3,93.4,90.3,3.4,114.4,120.2,-4.8,447.0,446.0,0.2,261.9,263.5,-0.6,31.5,32.1,-1.9,226.5,213.6,6.0,369.7,380.4,-2.8,162.2,173.4,-6.5,135.8,132.4,2.6,280.9,273.2,2.8,411.2,405.2,1.5,345.5,335.9,2.9,498.6,509.7,-2.2,99.9,93.7,6.6,531.2,519.4,2.3,673.0,657.0,2.4,102.5,99.1,3.4,19.7,18.3,7.7,27.7,27.4,1.1,26.4,21.3,23.9,358.7,357.5,0.3,236.2,237.8,-0.7,57.9,55.1,5.1,64.6,64.6,0.0
2024年12月,44639.5,43947.1,1.6,3497.5,3560.2,-1.8,1933.3,2036.5,-5.1,682.9,656.7,4.0,267.0,270.6,-1.3,262.2,243.5,7.7,267.1,272.7,-2.1,84.0,77.4,8.5,0.9,2.8,-67.9,38688.1,37987.7,1.8,1115.9,1083.6,3.0,966.4,930.5,3.9,733.4,734.7,-0.2,518.8,620.8,-16.4,833.9,800.0,4.2,711.3,701.8,1.4,416.6,395.5,5.3,233.6,228.2,2.4,389.9,381.0,2.3,493.6,483.2,2.2,405.3,402.9,0.6,581.2,567.4,2.4,772.0,808.1,-4.5,2909.9,2917.9,-0.3,1749.6,1719.1,1.8,196.2,191.4,2.5,1398.1,1354.4,3.2,2444.2,2498.0,-2.2,1085.4,1128.6,-3.8,927.7,853.4,8.7,1802.0,1750.6,2.9,2635.1,2557.1,3.1,2236.0,2191.5,2.0,3415.9,3324.4,2.8,663.1,627.6,5.7,3493.2,3361.8,3.9,4412.2,4285.2,3.0,675.6,650.3,3.9,127.0,113.8,11.6,178.0,173.9,2.4,166.8,150.9,10.5,2453.9,2399.2,2.3,1653.0,1603.1,3.1,388.9,383.7,1.4,412.0,412.4,-0.1
2024年11月,38803.6,38190.7,1.6,3027.1,3047.8,-0.7,1701.2,1755.6,-3.1,568.1,538.9,5.4,237.7,237.3,0.2,224.1,211.7,5.9,234.9,242.1,-3.0,60.3,59.5,1.3,0.7,2.6,-73.1,33758.7,33211.4,1.6,958.9,949.6,1.0,850.2,821.1,3.5,631.5,629.8,0.3,414.9,473.3,-12.3,737.9,707.8,4.3,622.1,612.4,1.6,370.5,353.5,4.8,204.7,201.1,1.8,348.2,336.7,3.4,439.5,432.5,1.6,357.1,352.4,1.3,514.3,504.9,1.9,684.9,709.7,-3.5,2562.9,2567.8,-0.2,1529.7,1495.2,2.3,172.6,169.1,2.1,1230.6,1195.1,3.0,2144.3,2195.3,-2.3,961.4,998.5,-3.7,784.7,737.3,6.4,1581.8,1541.3,2.6,2297.9,2235.9,2.8,1944.6,1904.6,2.1,2988.8,2922.5,2.3,564.0,536.3,5.2,3063.1,2930.0,4.5,3810.1,3757.1,1.4,583.4,562.2,3.8,109.9,99.8,10.1,152.8,150.5,1.5,141.4,128.3,10.2,2017.8,1931.5,4.5,1347.1,1267.2,6.3,321.4,313.7,2.5,349.4,350.7,-0.4
2024年10月,35057.1,34405.3,1.9,2735.8,2758.6,-0.8,1521.3,1588.7,-4.2,528.0,487.8,8.2,218.4,219.0,-0.3,201.4,191.2,5.3,211.4,216.2,-2.2,54.7,53.5,2.2,0.6,2.3,-73.9,30501.9,29921.2,1.9,865.9,850.1,1.9,772.9,741.6,4.2,576.4,573.7,0.5,371.6,410.2,-9.4,671.1,645.4,4.0,561.0,554.9,1.1,333.5,318.2,4.8,183.6,180.7,1.6,314.4,303.5,3.6,397.5,390.7,1.7,324.6,319.0,1.8,465.5,456.4,2.0,623.9,650.6,-4.1,2329.6,2320.6,0.4,1379.4,1346.4,2.5,156.3,152.5,2.5,1112.1,1077.0,3.3,1930.1,1971.1,-2.1,866.5,903.1,-4.1,717.6,669.3,7.2,1428.0,1392.4,2.6,2083.2,2022.1,3.0,1760.7,1718.1,2.5,2683.9,2588.1,3.7,504.2,478.3,5.4,2743.2,2628.2,4.4,3463.6,3410.1,1.6,526.0,506.0,4.0,98.6,89.8,9.8,137.5,136.0,1.1,119.4,117.1,2.0,1819.3,1725.4,5.4,1218.0,1125.9,8.2,286.7,284.1,0.9,314.6,315.5,-0.3
2024年9月,31404.2,30853.7,1.8,2433.4,2472.1,-1.6,1345.2,1427.9,-5.8,470.1,434.1,8.3,197.9,194.5,1.7,180.9,170.2,6.3,190.7,194.0,-1.7,48.0,49.2,-2.4,0.7,2.1,-66.7,27358.6,26838.1,1.9,774.2,759.5,1.9,693.1,665.3,4.2,519.8,515.1,0.9,331.7,372.1,-10.9,600.2,580.4,3.4,502.3,500.4,0.4,296.5,283.3,4.7,163.4,161.0,1.5,281.3,271.3,3.7,355.4,351.7,1.1,291.4,286.1,1.9,416.6,408.8,1.9,554.2,581.4,-4.7,2087.5,2085.0,0.1,1238.4,1216.4,1.8,139.8,136.6,2.3,996.3,962.0,3.6,1729.8,1765.6,-2.0,788.8,820.5,-3.9,642.8,595.1,8.0,1278.4,1244.3,2.7,1854.6,1800.7,3.0,1580.3,1537.8,2.8,2404.2,2327.4,3.3,452.1,430.6,5.0,2468.5,2362.6,4.5,3127.8,3059.0,2.2,472.7,453.9,4.1,87.4,80.1,9.1,122.4,120.7,1.4,106.8,103.1,3.6,1612.2,1543.5,4.5,1071.7,1006.5,6.5,258.4,254.9,1.4,282.0,282.1,0.0
2024年8月,27520.0,27011.8,1.9,2128.8,2161.9,-1.5,1178.6,1245.4,-5.4,410.4,384.5,6.7,173.1,168.2,2.9,157.6,149.0,5.8,166.5,170.1,-2.1,42.1,42.8,-1.6,0.6,2.0,-70.0,23978.7,23498.6,2.0,679.1,666.5,1.9,603.3,577.9,4.4,459.0,447.1,2.7,294.1,320.5,-8.2,526.8,510.5,3.2,437.2,437.8,-0.1,260.9,248.9,4.8,143.4,141.8,1.1,247.5,237.2,4.3,312.7,309.5,1.0,256.5,251.3,2.1,364.6,358.4,1.7,489.9,511.3,-4.2,1833.8,1829.6,0.2,1077.1,1062.9,1.3,123.6,120.3,2.7,877.7,842.9,4.1,1516.9,1551.4,-2.2,698.4,727.9,-4.1,563.8,529.8,6.4,1122.7,1088.6,3.1,1629.5,1577.9,3.3,1388.6,1344.1,3.3,2091.3,2010.8,4.0,391.2,372.8,4.9,2171.9,2059.0,5.5,2727.9,2699.2,1.1,413.5,397.6,4.0,76.9,70.5,9.1,107.3,104.9,2.3,91.6,89.7,2.1,1412.5,1351.3,4.5,938.9,879.5,6.8,227.0,223.4,1.6,246.6,248.3,-0.7
2024年7月,24117.1,23605.1,2.2,1868.4,1906.6,-2.0,1036.4,1099.2,-5.7,356.2,340.8,4.5,153.0,147.3,3.9,139.0,131.3,5.9,146.1,150.0,-2.6,37.2,36.8,1.1,0.5,1.2,-58.3,21010.2,20519.8,2.4,594.9,583.0,2.0,528.9,504.8,4.8,402.6,391.6,2.8,255.0,279.2,-8.7,461.5,446.2,3.4,383.3,384.2,-0.2,227.0,218.4,3.9,125.4,124.3,0.9,216.8,205.8,5.3,273.8,270.5,1.2,224.2,219.8,2.0,317.3,312.7,1.5,436.1,453.1,-3.8,1613.7,1600.0,0.9,939.2,924.2,1.6,109.0,106.3,2.5,768.2,736.1,4.4,1331.7,1355.8,-1.8,617.6,638.5,-3.3,497.7,463.7,7.3,984.1,950.4,3.5,1428.5,1378.6,3.6,1219.2,1174.5,3.8,1828.9,1756.9,4.1,340.9,325.2,4.8,1897.3,1791.6,5.9,2387.1,2346.9,1.7,361.8,347.5,4.1,66.9,61.5,8.8,94.1,91.3,3.1,77.4,77.3,0.1,1238.5,1178.8,5.1,822.9,765.6,7.5,199.2,195.0,2.2,216.4,218.2,-0.8
