时间,商品房销售面积_累计值,商品房销售面积_累计增长,商品房现房销售面积_累计值,商品房现房销售面积_累计增长,商品房期房销售面积_累计值,商品房期房销售面积_累计增长
2025年5月,35315.19,-2.9,12587.06,13.2,22728.13,-10.0
2025年4月,28261.74,-2.8,10102.94,13.4,18158.8,-9.9
2025年3月,21869.3491,-3.0,7873.2924,14.3,13996.0567,-10.5
2025年2月,10745.9154,-5.1,3805.9005,10.0,6940.0149,-11.8
2024年12月,97385.0119,-12.9,30031.9223,19.1,67353.0896,-22.2
2024年11月,86117.9532,-14.3,26147.2032,19.4,59970.75,-23.7
2024年10月,77930.1583,-15.8,23669.6424,18.8,54260.5159,-25.3
2024年9月,70284.0334,-17.1,21375.8855,18.1,48908.1479,-26.7
2024年8月,60601.8928,-18.0,18324.8916,18.6,42277.0012,-27.7
2024年7月,54148.9431,-18.6,16427.0491,20.5,37721.894,-28.6
2024年6月,47916.2364,-19.0,14610.2873,21.7,33305.9491,-29.4
