时间,货物周转量_当期值,货物周转量_累计值,货物周转量_同比增长,货物周转量_累计增长,铁路货物周转量_当期值,铁路货物周转量_累计值,铁路货物周转量_同比增长,铁路货物周转量_累计增长,公路货物周转量_当期值,公路货物周转量_累计值,公路货物周转量_同比增长,公路货物周转量_累计增长,水运货物周转量_当期值,水运货物周转量_累计值,水运货物周转量_同比增长,水运货物周转量_累计增长,民航货物周转量_当期值,民航货物周转量_累计值,民航货物周转量_同比增长,民航货物周转量_累计增长
2025年6月,22101.54134102,126729.19193383,5.717923496,5.0975151002,2942.7841,17674.60269,-0.0553448047,1.1646242907,6782.22829103,37823.62747659,3.264614214,3.9820296734,12341.55465999,71037.28067724,8.593347929,6.7068761159,34.97429,193.68109,18.7,17.9
2025年5月,22412.1463396971,104627.650592503,4.4458469915,4.9674118021,3080.60529,14731.81859,2.2207697853,1.4120410063,6745.95121863,31041.39918556,1.7856406885,4.1400951806,12550.92052698,58695.72601725,6.4734,6.3185,34.6693040871,158.7067996928,19.4738262941,17.6942312298
2025年4月,21918.71918668,82215.5024372,5.4772588866,5.1104940288,3018.65891,11651.2133,8.3528689954,1.2003459812,6886.22368086,24295.44796693,2.818952659,4.810033447,11981.07431582,46144.80549027,6.3029855478,6.2764866703,32.76228,124.03568,20.5,17.2
2025年3月,22463.0967594471,60296.7832578492,5.3482558272,4.9778012381,3126.18554,8632.55439,2.8537615841,-1.0829629099,6859.36458933,17409.22428607,4.6026818058,5.6189649751,12443.49565641,34163.73117445,6.3756480922,6.2671967561,34.0509737071,91.2734073292,21.5094469784,16.0622562228
2025年2月,,37833.68649478,,4.7590802976,,5506.36885,,-3.1867374026,,10549.85969674,,6.2882701313,,21720.23551804,,6.2051646973,,57.22243,,13.0
2024年9月,21848.83732614,185557.780487699,6.0581182016,4.9071345336,2922.98183,26163.20149,-2.4574670783,-2.8193009458,6796.38481634,56296.62329264,1.0343061338,3.0928179204,12098.47193877,102841.40414574,11.490166702,8.0861888192,30.99874103,256.551559319,20.2470161138,27.8819210747
2024年8月,21648.24205144,163708.94317327,4.0921100949,4.7566438462,2911.91081,23240.21967,-2.3219003419,-2.8646197161,6605.28636941,49500.2384763,1.1895962165,3.3820191764,12100.34652203,90742.93220697,7.4088984061,7.6479873874,30.69835,225.55282,24.8,29.0
2024年7月,21478.2811610969,142060.701031685,6.5518264385,4.8586558396,2857.21022,20328.30885,-4.2150134477,-2.9418676976,6520.26248101,42894.95210689,2.3368204892,3.728094267,12070.23040384,78642.58568494,11.9723703525,7.6848693488,30.5780562469,194.8543898552,29.4,29.7
2024年6月,20906.12,120582.41,5.4,4.6,2944.4,17471.1,4.2,-2.7,6567.34,36374.69,3.7,4.0,11364.93,66572.36,6.6,6.9,29.44,164.27,23.9,29.7
2024年12月,23718.25725782,254486.25132903,9.2631503081,5.8299704277,3259.03098,35861.89874,3.6926795242,-1.1356560224,6851.84877678,76847.5338973,10.623566295,3.9068402477,13575.10539104,141422.93117173,9.9947080793,8.8274568158,32.27211,353.88752,11.1,24.8
2024年11月,22872.2264949013,230767.980284906,8.6947892527,5.4165541374,3245.2081,32602.86776,2.3746696803,-2.0399966352,6850.54792718,69995.68512052,4.3374101399,3.2929128637,12743.32900225,127847.82578069,12.9790327723,8.7049693013,33.1414654713,321.6016236964,20.3,26.3
2024年10月,22337.9732923062,207895.753790005,6.4228779023,5.0679245234,3194.45816,29357.65966,0.1503306092,-2.504736552,6848.5139007,63145.13719334,3.9102590944,3.1808525667,12263.0926327,115104.49677844,9.6588055872,8.2515834347,31.9085989062,288.4601582251,20.8,27.1
