时间,商品住宅销售额_累计值,商品住宅销售额_累计增长,商品住宅现房销售额_累计值,商品住宅现房销售额_累计增长,商品住宅期房销售额_累计值,商品住宅期房销售额_累计增长
2025年5月,30118.75,-2.8,7996.33,14.7,22122.42,-7.9
2025年4月,23865.55,-1.9,6427.21,16.1,17438.34,-7.2
2025年3月,18362.3227,-0.4,5006.9914,18.4,13355.3313,-6.0
2025年2月,9159.8332,-0.4,2527.8061,14.7,6632.0271,-5.2
2024年12月,84864.0861,-17.6,18570.1824,19.1,66293.9037,-24.2
2024年11月,74870.5922,-20.0,16119.9953,18.0,58750.5969,-26.5
2024年10月,67485.7881,-22.0,14614.7577,17.7,52871.0304,-28.6
2024年9月,60239.7091,-24.0,13093.0757,16.3,47146.6334,-30.7
2024年8月,52425.0062,-25.0,11371.3407,16.6,41053.6655,-31.8
2024年7月,46787.0687,-25.9,10227.5724,18.8,36559.4963,-33.0
2024年6月,41269.7443,-26.9,9041.6472,18.0,32228.0971,-34.0
