时间,工业企业营业利润_累计值,工业企业营业利润_上年同期累计值,工业企业营业利润_累计增长,采矿业营业利润_累计值,采矿业营业利润_上年同期累计值,采矿业营业利润_累计增长,煤炭开采和洗选业营业利润_累计值,煤炭开采和洗选业营业利润_上年同期累计值,煤炭开采和洗选业营业利润_累计增长,石油和天然气开采业营业利润_累计值,石油和天然气开采业营业利润_上年同期累计值,石油和天然气开采业营业利润_累计增长,黑色金属矿采选业营业利润_累计值,黑色金属矿采选业营业利润_上年同期累计值,黑色金属矿采选业营业利润_累计增长,有色金属矿采选业营业利润_累计值,有色金属矿采选业营业利润_上年同期累计值,有色金属矿采选业营业利润_累计增长,非金属矿采选业营业利润_累计值,非金属矿采选业营业利润_上年同期累计值,非金属矿采选业营业利润_累计增长,开采专业及辅助性活动营业利润_累计值,开采专业及辅助性活动营业利润_上年同期累计值,开采专业及辅助性活动营业利润_累计增长,其他采矿业营业利润_累计值,其他采矿业营业利润_上年同期累计值,其他采矿业营业利润_累计增长,制造业营业利润_累计值,制造业营业利润_上年同期累计值,制造业营业利润_累计增长,农副食品加工业营业利润_累计值,农副食品加工业营业利润_上年同期累计值,农副食品加工业营业利润_累计增长,食品制造业营业利润_累计值,食品制造业营业利润_上年同期累计值,食品制造业营业利润_累计增长,酒、饮料和精制茶制造业营业利润_累计值,酒、饮料和精制茶制造业营业利润_上年同期累计值,酒、饮料和精制茶制造业营业利润_累计增长,烟草制品业营业利润_累计值,烟草制品业营业利润_上年同期累计值,烟草制品业营业利润_累计增长,纺织业营业利润_累计值,纺织业营业利润_上年同期累计值,纺织业营业利润_累计增长,纺织服装、服饰业营业利润_累计值,纺织服装、服饰业营业利润_上年同期累计值,纺织服装、服饰业营业利润_累计增长,皮革、毛皮、羽毛及其制品和制鞋业营业利润_累计值,皮革、毛皮、羽毛及其制品和制鞋业营业利润_上年同期累计值,皮革、毛皮、羽毛及其制品和制鞋业营业利润_累计增长,木材加工和木、竹、藤、棕、草制品业营业利润_累计值,木材加工和木、竹、藤、棕、草制品业营业利润_上年同期累计值,木材加工和木、竹、藤、棕、草制品业营业利润_累计增长,家具制造业营业利润_累计值,家具制造业营业利润_上年同期累计值,家具制造业营业利润_累计增长,造纸和纸制品业营业利润_累计值,造纸和纸制品业营业利润_上年同期累计值,造纸和纸制品业营业利润_累计增长,印刷和记录媒介复制业营业利润_累计值,印刷和记录媒介复制业营业利润_上年同期累计值,印刷和记录媒介复制业营业利润_累计增长,文教、工美、体育和娱乐用品制造业营业利润_累计值,文教、工美、体育和娱乐用品制造业营业利润_上年同期累计值,文教、工美、体育和娱乐用品制造业营业利润_累计增长,石油、煤炭及其他燃料加工业营业利润_累计值,石油、煤炭及其他燃料加工业营业利润_上年同期累计值,石油、煤炭及其他燃料加工业营业利润_累计增长,化学原料和化学制品制造业营业利润_累计值,化学原料和化学制品制造业营业利润_上年同期累计值,化学原料和化学制品制造业营业利润_累计增长,医药制造业营业利润_累计值,医药制造业营业利润_上年同期累计值,医药制造业营业利润_累计增长,化学纤维制造业营业利润_累计值,化学纤维制造业营业利润_上年同期累计值,化学纤维制造业营业利润_累计增长,橡胶和塑料制品业营业利润_累计值,橡胶和塑料制品业营业利润_上年同期累计值,橡胶和塑料制品业营业利润_累计增长,非金属矿物制品业营业利润_累计值,非金属矿物制品业营业利润_上年同期累计值,非金属矿物制品业营业利润_累计增长,黑色金属冶炼和压延加工业营业利润_累计值,黑色金属冶炼和压延加工业营业利润_上年同期累计值,黑色金属冶炼和压延加工业营业利润_累计增长,有色金属冶炼和压延加工业营业利润_累计值,有色金属冶炼和压延加工业营业利润_上年同期累计值,有色金属冶炼和压延加工业营业利润_累计增长,金属制品业营业利润_累计值,金属制品业营业利润_上年同期累计值,金属制品业营业利润_累计增长,通用设备制造业营业利润_累计值,通用设备制造业营业利润_上年同期累计值,通用设备制造业营业利润_累计增长,专用设备制造业营业利润_累计值,专用设备制造业营业利润_上年同期累计值,专用设备制造业营业利润_累计增长,汽车制造业营业利润_累计值,汽车制造业营业利润_上年同期累计值,汽车制造业营业利润_累计增长,铁路、船舶、航空航天和其他运输设备制造业营业利润_累计值,铁路、船舶、航空航天和其他运输设备制造业营业利润_上年同期累计值,铁路、船舶、航空航天和其他运输设备制造业营业利润_累计增长,电气机械和器材制造业营业利润_累计值,电气机械和器材制造业营业利润_上年同期累计值,电气机械和器材制造业营业利润_累计增长,计算机、通信和其他电子设备制造业营业利润_累计值,计算机、通信和其他电子设备制造业营业利润_上年同期累计值,计算机、通信和其他电子设备制造业营业利润_累计增长,仪器仪表制造业营业利润_累计值,仪器仪表制造业营业利润_上年同期累计值,仪器仪表制造业营业利润_累计增长,其他制造业营业利润_累计值,其他制造业营业利润_上年同期累计值,其他制造业营业利润_累计增长,废弃资源综合利用业营业利润_累计值,废弃资源综合利用业营业利润_上年同期累计值,废弃资源综合利用业营业利润_累计增长,金属制品、机械和设备修理业营业利润_累计值,金属制品、机械和设备修理业营业利润_上年同期累计值,金属制品、机械和设备修理业营业利润_累计增长,电力、热力、燃气及水生产和供应业营业利润_累计值,电力、热力、燃气及水生产和供应业营业利润_上年同期累计值,电力、热力、燃气及水生产和供应业营业利润_累计增长,电力、热力生产和供应业营业利润_累计值,电力、热力生产和供应业营业利润_上年同期累计值,电力、热力生产和供应业营业利润_累计增长,燃气生产和供应业营业利润_累计值,燃气生产和供应业营业利润_上年同期累计值,燃气生产和供应业营业利润_累计增长,水的生产和供应业营业利润_累计值,水的生产和供应业营业利润_上年同期累计值,水的生产和供应业营业利润_累计增长
2025年5月,26594.5,26840.3,-0.9,3616.7,5136.6,-29.6,1288.9,2637.2,-51.1,1533.4,1722.8,-11.0,163.1,293.3,-44.4,478.2,337.7,41.6,139.1,138.7,0.3,12.9,6.5,98.5,1.2,0.5,140.0,19632.1,18478.1,6.2,492.4,349.2,41.0,710.5,713.6,-0.4,1162.2,1110.2,4.7,1041.4,1030.6,1.0,229.0,234.9,-2.5,139.9,168.1,-16.8,132.3,134.7,-1.8,93.6,101.0,-7.3,76.5,106.5,-28.2,122.6,161.3,-24.0,120.8,122.9,-1.7,187.7,226.9,-17.3,-144.2,-102.6,40.5,1487.9,1568.8,-5.2,1366.6,1419.5,-3.7,79.5,91.0,-12.6,589.7,581.8,1.4,549.2,539.6,1.8,302.0,-133.4,-326.4,1148.9,1028.4,11.7,564.3,519.6,8.6,1222.1,1096.9,11.4,911.9,846.4,7.7,1724.2,1969.8,-12.5,520.3,330.0,57.7,2231.3,1980.7,12.7,2114.8,1873.8,12.9,327.7,301.0,8.9,47.3,46.4,1.9,19.0,-3.8,-600.0,60.6,64.1,-5.5,3345.8,3225.5,3.7,2869.5,2713.3,5.8,339.9,354.0,-4.0,136.4,158.2,-13.8
2025年4月,20623.4,20313.7,1.5,2902.5,4012.5,-27.7,1044.6,2077.5,-49.7,1262.5,1365.1,-7.5,122.0,217.0,-43.8,367.7,249.4,47.4,98.3,99.2,-0.9,6.4,3.7,73.0,0.9,0.5,80.0,15035.2,13732.9,9.5,393.1,262.9,49.5,578.0,573.3,0.8,979.6,943.9,3.8,930.1,918.5,1.3,171.8,167.9,2.3,111.2,131.5,-15.4,102.8,106.3,-3.3,72.6,77.1,-5.8,56.8,84.8,-33.0,97.5,132.7,-26.5,94.7,92.6,2.3,148.7,173.7,-14.4,-95.8,-35.5,,1129.0,1151.0,-1.9,1098.3,1127.2,-2.6,64.1,72.4,-11.5,432.8,419.6,3.1,375.6,377.7,-0.6,156.2,-221.7,,862.7,676.8,27.5,423.3,376.5,12.4,915.2,812.3,12.7,700.8,616.5,13.7,1275.0,1359.6,-6.2,385.2,238.5,61.5,1686.7,1447.0,16.6,1552.2,1384.1,12.1,244.9,197.5,24.0,32.5,34.5,-5.8,11.8,-11.9,,47.9,45.5,5.3,2685.8,2568.3,4.6,2317.5,2189.4,5.9,277.4,272.8,1.7,90.9,106.1,-14.3
2025年3月,14714.2,14591.8,0.8,2224.7,3038.2,-26.8,817.3,1598.8,-48.9,994.3,1035.6,-4.0,85.9,174.4,-50.7,261.4,162.4,61.0,60.6,66.5,-8.9,4.9,0.1,4800.0,0.5,0.3,66.7,10471.6,9641.0,8.6,279.8,194.3,44.0,447.5,450.0,-0.6,817.0,796.3,2.6,811.0,798.6,1.6,106.6,99.6,7.0,79.0,89.9,-12.1,73.2,77.0,-4.9,51.4,57.0,-9.8,35.9,60.1,-40.3,78.4,96.1,-18.4,59.3,64.1,-7.5,98.2,113.7,-13.6,-25.3,-33.7,,771.3,762.9,1.1,847.0,839.2,0.9,51.5,48.1,7.1,277.5,268.9,3.2,196.5,229.1,-14.2,71.3,-212.0,,622.0,449.6,38.3,261.7,241.7,8.3,588.7,531.8,10.7,478.6,416.3,15.0,918.6,982.0,-6.5,247.0,151.7,62.8,1029.5,947.8,8.6,994.4,960.5,3.5,142.4,121.2,17.5,21.0,20.9,0.5,5.8,-12.9,,35.0,31.2,12.2,2017.8,1912.7,5.5,1747.4,1644.4,6.3,212.2,196.6,7.9,58.2,71.6,-18.7
2025年2月,8860.1,8854.1,0.1,1419.9,1914.5,-25.8,512.1,980.2,-47.8,645.3,658.0,-1.9,58.0,130.9,-55.7,160.9,96.7,66.4,40.4,48.3,-16.4,3.2,0.2,1500.0,0.1,0.3,-66.7,6173.3,5834.1,5.8,196.0,137.5,42.5,292.3,278.1,5.1,548.4,530.9,3.3,685.6,663.5,3.3,65.0,58.5,11.1,70.2,75.5,-7.0,48.3,53.4,-9.6,33.0,38.3,-13.8,33.2,47.5,-30.1,44.3,55.3,-19.9,35.2,40.6,-13.3,71.7,85.8,-16.4,-16.3,-26.7,,411.0,407.2,0.9,531.7,544.7,-2.4,24.6,22.0,11.8,172.5,175.2,-1.5,99.8,167.1,-40.3,-20.0,-150.5,,344.6,280.5,22.9,179.2,176.2,1.7,323.7,300.5,7.7,214.7,200.1,7.3,600.9,536.9,11.9,150.1,76.8,95.4,564.7,575.9,-1.9,365.7,406.0,-9.9,69.8,54.0,29.3,13.8,14.3,-3.5,-0.8,-8.8,,20.2,17.9,12.8,1266.9,1105.5,14.6,1092.9,953.4,14.6,132.2,106.8,23.8,41.9,45.2,-7.3
2024年9月,51268.1,52967.3,-3.2,9117.0,10189.2,-10.5,4737.1,6003.7,-21.1,2983.6,2957.2,0.9,465.6,364.3,27.8,702.6,592.4,18.6,280.8,270.9,3.7,-53.5,1.4,-3921.4,0.7,-0.7,,36244.7,37585.0,-3.6,800.1,738.9,8.3,1224.8,1147.0,6.8,2296.4,2423.4,-5.2,1567.2,1544.5,1.5,465.8,414.8,12.3,367.7,372.1,-1.2,319.1,300.6,6.2,185.8,204.8,-9.3,235.4,209.3,12.5,285.8,177.5,61.0,206.7,213.6,-3.2,416.4,389.6,6.9,-310.7,405.7,-176.6,2965.8,3080.8,-3.7,2564.1,2558.8,0.2,167.1,114.8,45.6,1099.1,1082.8,1.5,1026.2,2131.7,-51.9,-343.2,212.6,-261.4,2123.0,1348.9,57.4,1079.8,1108.4,-2.6,2251.6,2245.5,0.3,1841.2,1939.1,-5.0,3275.5,3334.6,-1.8,727.1,561.7,29.4,4049.4,4378.5,-7.5,4412.3,4078.6,8.2,688.5,686.4,0.3,91.5,72.5,26.2,33.8,17.4,94.3,131.6,89.7,46.7,5906.5,5193.1,13.7,4924.0,4260.3,15.6,641.0,630.3,1.7,341.5,302.5,12.9
2024年8月,45531.4,45167.7,0.8,8264.6,9093.6,-9.1,4289.7,5380.5,-20.3,2721.7,2614.7,4.1,429.8,328.6,30.8,616.6,523.6,17.8,253.4,244.8,3.5,-47.0,2.2,-2236.4,0.5,-0.9,,31933.8,31469.6,1.5,711.0,591.9,20.1,1087.4,992.6,9.6,1983.9,1779.0,11.5,1422.0,1404.9,1.2,406.4,349.0,16.4,326.7,327.2,-0.2,283.5,263.0,7.8,161.0,172.7,-6.8,198.0,183.2,8.1,251.9,116.7,115.9,207.0,179.6,15.3,367.4,325.0,13.0,-211.3,246.1,-185.9,2621.1,2589.9,1.2,2215.3,2203.7,0.5,152.7,85.9,77.8,983.3,918.5,7.1,912.4,1901.2,-52.0,-218.5,115.0,-290.0,1809.6,1067.5,69.5,994.3,942.1,5.5,2001.9,1953.2,2.5,1569.7,1666.1,-5.8,2959.8,2887.0,2.5,631.6,465.4,35.7,3465.9,3916.6,-11.5,3842.9,3097.3,24.1,589.7,584.7,0.9,83.5,61.6,35.6,12.3,3.0,310.0,111.4,79.9,39.4,5333.0,4604.5,15.8,4472.6,3797.6,17.8,554.3,543.3,2.0,306.1,263.7,16.1
2024年7月,40048.8,38518.6,4.0,7296.0,8047.1,-9.3,3822.2,4840.2,-21.0,2407.9,2278.1,5.7,390.6,264.1,47.9,520.1,454.0,14.6,201.1,210.1,-4.3,-46.3,0.9,-5244.4,0.4,-0.2,,28080.9,26615.3,5.5,594.0,470.6,26.2,941.8,853.9,10.3,1800.8,1568.5,14.8,1285.7,1275.7,0.8,348.1,288.1,20.8,279.4,274.6,1.7,195.9,181.4,8.0,139.5,139.5,0.0,173.1,152.4,13.6,235.2,94.8,148.1,176.1,147.2,19.6,316.7,267.3,18.5,-180.8,192.3,-194.0,2333.6,2211.7,5.5,1995.6,1996.1,0.0,140.7,63.5,121.6,854.8,766.7,11.5,807.1,1610.9,-49.9,-86.7,10.3,-941.7,1607.9,846.6,89.9,835.2,774.6,7.8,1739.0,1661.6,4.7,1373.9,1412.1,-2.7,2661.2,2498.6,6.5,548.9,396.5,38.4,2989.9,3261.5,-8.3,3285.8,2590.7,26.8,512.7,498.7,2.8,73.3,53.4,37.3,5.4,-13.4,,97.1,69.1,40.5,4671.9,3856.2,21.2,3922.8,3157.4,24.2,490.7,481.3,2.0,258.4,217.6,18.8
2024年6月,34322.3,33005.5,4.0,6281.1,7002.5,-10.3,3260.8,4297.7,-24.1,2070.4,1917.8,8.0,347.9,224.8,54.8,434.5,386.9,12.3,164.4,173.3,-5.1,2.9,2.0,45.0,0.4,-0.1,,24158.4,22889.7,5.5,485.0,400.4,21.1,829.7,744.0,11.5,1589.3,1401.6,13.4,1133.7,1128.2,0.5,290.2,240.2,20.8,230.6,230.3,0.1,168.3,153.0,10.0,119.0,115.1,3.4,133.7,127.5,4.9,203.3,82.5,146.4,145.2,121.8,19.2,273.2,222.7,22.7,-154.4,186.9,-182.6,2010.8,1943.8,3.4,1811.1,1786.9,1.4,118.6,47.9,147.6,712.3,637.5,11.7,688.1,1403.2,-51.0,-54.9,-32.7,,1364.0,722.1,88.9,681.6,621.1,9.7,1454.8,1401.0,3.8,1193.7,1245.7,-4.2,2317.3,2097.6,10.5,458.7,333.4,37.6,2509.0,2731.6,-8.1,2875.7,2289.0,25.6,428.9,423.6,1.3,61.1,44.1,38.5,-1.2,-18.1,,82.4,57.8,42.6,3882.7,3113.4,24.7,3243.5,2517.2,28.9,432.0,424.6,1.7,207.2,171.6,20.7
2024年12月,73084.7,75377.5,-3.0,11644.9,12907.9,-9.8,6309.5,8007.7,-21.2,3485.0,3087.1,12.9,566.6,581.0,-2.5,932.0,792.2,17.6,413.1,426.2,-3.1,-62.6,15.2,-511.8,1.3,-1.4,,53682.2,55809.7,-3.8,1324.8,1313.0,0.9,1735.9,1627.2,6.7,3274.1,3047.9,7.4,1623.6,1551.9,4.6,796.8,766.1,4.0,599.3,581.8,3.0,452.9,438.6,3.3,353.1,400.5,-11.8,361.4,360.1,0.4,456.7,434.7,5.1,324.1,354.7,-8.6,632.2,595.9,6.1,-458.8,522.3,-187.8,4178.0,4597.2,-9.1,3433.4,3448.0,-0.4,336.4,248.6,35.3,1628.3,1633.5,-0.3,1739.2,3207.5,-45.8,444.9,750.4,-40.7,3137.2,2750.2,14.1,1765.2,1806.9,-2.3,3297.1,3254.6,1.3,2796.2,2734.2,2.3,4495.6,4878.5,-7.8,1063.8,863.7,23.2,6055.0,6187.6,-2.1,6278.0,6043.9,3.9,1064.5,1017.1,4.7,130.2,103.2,26.2,165.7,127.2,30.3,197.5,162.9,21.2,7757.6,6660.0,16.5,6461.4,5386.0,20.0,866.2,877.7,-1.3,430.0,396.3,8.5
2024年11月,65446.5,68550.0,-4.5,10985.0,12682.6,-13.4,5807.3,7445.8,-22.0,3422.9,3592.7,-4.7,528.7,508.4,4.0,881.4,738.8,19.3,375.1,379.6,-1.2,-31.5,18.0,-275.0,1.1,-0.7,,47240.7,49444.4,-4.5,1105.5,1089.5,1.5,1516.5,1433.8,5.8,2964.2,2708.6,9.4,1757.6,1725.1,1.9,638.5,599.6,6.5,532.1,505.5,5.3,403.9,381.0,6.0,283.0,321.0,-11.8,308.1,299.0,3.0,363.5,315.7,15.1,280.5,294.6,-4.8,557.5,513.7,8.5,-409.8,564.8,-172.6,3743.3,4129.4,-9.4,3068.8,3137.7,-2.2,249.6,184.0,35.7,1435.8,1449.1,-0.9,1469.9,2892.5,-49.2,149.7,522.1,-71.3,2842.9,2366.3,20.1,1491.8,1552.0,-3.9,2876.9,2862.1,0.5,2399.2,2398.1,0.0,4026.1,4359.2,-7.6,962.9,733.9,31.2,5372.3,5552.6,-3.2,5526.6,5350.9,3.3,908.2,896.2,1.3,116.6,93.9,24.2,114.1,71.0,60.7,184.9,141.7,30.5,7220.8,6423.0,12.4,6025.2,5234.7,15.1,761.3,794.6,-4.2,434.3,393.7,10.3
